Time,GPA_I,GPA_VDop,GPA_HAcc,GPA_VAcc,GPA_SAcc,GPA_YAcc,GPA_VV,GPA_SMS,GPA_Delta
 74993324, 0, 2, 0.3, 0.3, 0.04, 0, 1, 74967, 200
 75194077, 0, 2, 0.3, 0.3, 0.04, 0, 1, 75167, 200
 75393997, 0, 2, 0.3, 0.3, 0.04, 0, 1, 75367, 200
 75593917, 0, 2, 0.3, 0.3, 0.04, 0, 1, 75567, 200
 75793837, 0, 2, 0.3, 0.3, 0.04, 0, 1, 75767, 200
 75993757, 0, 2, 0.3, 0.3, 0.04, 0, 1, 75967, 200
 76193677, 0, 2, 0.3, 0.3, 0.04, 0, 1, 76167, 200
 76393597, 0, 2, 0.3, 0.3, 0.04, 0, 1, 76367, 200
 76593517, 0, 2, 0.3, 0.3, 0.04, 0, 1, 76567, 200
 76793437, 0, 2, 0.3, 0.3, 0.04, 0, 1, 76767, 200
 76993357, 0, 2, 0.3, 0.3, 0.04, 0, 1, 76967, 200
 77193277, 0, 2, 0.3, 0.3, 0.04, 0, 1, 77167, 200
 77394030, 0, 2, 0.3, 0.3, 0.04, 0, 1, 77367, 200
 77593950, 0, 2, 0.3, 0.3, 0.04, 0, 1, 77567, 200
 77793870, 0, 2, 0.3, 0.3, 0.04, 0, 1, 77767, 200
 77993790, 0, 2, 0.3, 0.3, 0.04, 0, 1, 77967, 200
 78193710, 0, 2, 0.3, 0.3, 0.04, 0, 1, 78167, 200
 78393630, 0, 2, 0.3, 0.3, 0.04, 0, 1, 78367, 200
 78593550, 0, 2, 0.3, 0.3, 0.04, 0, 1, 78567, 200
 78793470, 0, 2, 0.3, 0.3, 0.04, 0, 1, 78767, 200
 78993390, 0, 2, 0.3, 0.3, 0.04, 0, 1, 78967, 200
 79193310, 0, 2, 0.3, 0.3, 0.04, 0, 1, 79167, 200
 79394063, 0, 2, 0.3, 0.3, 0.04, 0, 1, 79367, 200
 79593983, 0, 2, 0.3, 0.3, 0.04, 0, 1, 79567, 200
 79793903, 0, 2, 0.3, 0.3, 0.04, 0, 1, 79767, 200
 79993823, 0, 2, 0.3, 0.3, 0.04, 0, 1, 79967, 200
 80193743, 0, 2, 0.3, 0.3, 0.04, 0, 1, 80167, 200
 80393663, 0, 2, 0.3, 0.3, 0.04, 0, 1, 80367, 200
 80593583, 0, 2, 0.3, 0.3, 0.04, 0, 1, 80567, 200
 80793503, 0, 2, 0.3, 0.3, 0.04, 0, 1, 80767, 200
