Time,GPS_I,GPS_Status,GPS_GMS,GPS_GWk,GPS_NSats,GPS_HDop,GPS_Lat,GPS_Lng,GPS_Alt,GPS_Spd,GPS_GCrs,GPS_VZ,GPS_Yaw,GPS_U
 74993324, 0, 6, 497238800, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 75194077, 0, 6, 497239000, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 75393997, 0, 6, 497239200, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 75593917, 0, 6, 497239400, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 75793837, 0, 6, 497239600, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 75993757, 0, 6, 497239800, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 76193677, 0, 6, 497240000, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 76393597, 0, 6, 497240200, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 76593517, 0, 6, 497240400, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 76793437, 0, 6, 497240600, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 76993357, 0, 6, 497240800, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 77193277, 0, 6, 497241000, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 77394030, 0, 6, 497241200, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 77593950, 0, 6, 497241400, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 77793870, 0, 6, 497241600, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 77993790, 0, 6, 497241800, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 78193710, 0, 6, 497242000, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 78393630, 0, 6, 497242200, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 78593550, 0, 6, 497242400, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 78793470, 0, 6, 497242600, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 0, 0, 0, 1
 78993390, 0, 6, 497242800, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 133.5759, 0, 0, 1
 79193310, 0, 6, 497243000, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 132.0893, 0, 0, 1
 79394063, 0, 6, 497243200, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 315.341, 0, 0, 1
 79593983, 0, 6, 497243400, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.09, 0, 311.8269, 0, 0, 1
 79793903, 0, 6, 497243600, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.1, 0, 312.291, -0.117, 0, 1
 79993823, 0, 6, 497243800, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.15, 0, 314.1407, -0.369, 0, 1
 80193743, 0, 6, 497244000, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.28, 0.003, 313.5923, -0.9720001, 0, 1
 80393663, 0, 6, 497244200, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.54, 0.013, 313.1351, -1.656, 0, 1
 80593583, 0, 6, 497244400, 2220, 10, 1.21, 33.6412058, 72.9955928, 558.91, 0.025, 313.0735, -1.921, 0, 1
 80793503, 0, 6, 497244600, 2220, 10, 1.21, 33.6412058, 72.9955928, 559.3, 0.034, 313.3388, -2.067, 0, 1
