Time,IMU_I,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_EG,IMU_EA,IMU_T,IMU_GH,IMU_AH,IMU_GHz,IMU_AHz
 74893364, 0, 0.001016104, 0.001037388, 0.00111029, -0.001970661, -0.0009954472, -9.817921, 0, 0, 29.32779, 1, 1, 1000, 1000
 74893364, 1, 0.00113509, 0.001194789, 0.001071268, 0.0002110713, -0.002470789, -9.817842, 0, 0, 29.32779, 1, 1, 760, 800
 74933348, 0, 0.001091008, 0.001061215, 0.001090188, -0.0007669421, -0.0009466363, -9.817925, 0, 0, 29.32988, 1, 1, 1000, 1000
 74933348, 1, 0.001260448, 0.001220977, 0.001050037, -0.001006494, -0.0002525469, -9.817127, 0, 0, 29.32988, 1, 1, 760, 800
 74973332, 0, 0.001065835, 0.001077033, 0.001089963, -0.0005585818, -0.0007884878, -9.816838, 0, 0, 29.33197, 1, 1, 1000, 1000
 74973332, 1, 0.001096642, 0.00112903, 0.001016594, -0.001514035, 0.001238045, -9.816677, 0, 0, 29.33197, 1, 1, 760, 800
 75013316, 0, 0.001076584, 0.00106194, 0.001079339, -0.001641361, -0.0002831453, -9.817198, 0, 0, 29.33406, 1, 1, 1000, 1000
 75013316, 1, 0.001063046, 0.000999695, 0.0009577581, -0.001413227, -5.516618E-05, -9.819034, 0, 0, 29.33406, 1, 1, 760, 800
 75053300, 0, 0.001093018, 0.001056017, 0.001074318, -0.001037697, -0.001607792, -9.817126, 0, 0, 29.33615, 1, 1, 1000, 1000
 75053300, 1, 0.001141847, 0.001230504, 0.001166948, -0.0003556146, 0.0007284719, -9.817072, 0, 0, 29.33615, 1, 1, 760, 800
 75093284, 0, 0.001094565, 0.00105237, 0.001092516, -0.0003208923, -0.001559254, -9.817749, 0, 0, 29.33824, 1, 1, 1000, 1000
 75093284, 1, 0.0009955878, 0.001004661, 0.001335165, -0.002207418, 0.0007511005, -9.817593, 0, 0, 29.33824, 1, 1, 760, 800
 75133268, 0, 0.001086027, 0.001081242, 0.001042456, -0.001558447, -0.001025843, -9.817919, 0, 0, 29.34032, 1, 1, 1000, 1000
 75133268, 1, 0.0009266397, 0.001203811, 0.00106345, -0.0009501584, -0.002449344, -9.817707, 0, 0, 29.34032, 1, 1, 760, 800
 75174085, 0, 0.001020856, 0.00105102, 0.00116713, -1.987547E-05, -0.0005419187, -9.816957, 0, 0, 29.34241, 1, 1, 1000, 1000
 75174085, 1, 0.001126799, 0.001310623, 0.001106597, -0.0009590563, -9.244234E-05, -9.815166, 0, 0, 29.34246, 1, 1, 760, 800
 75214069, 0, 0.001154682, 0.001060699, 0.001069157, -0.001151123, -0.0005967524, -9.818085, 0, 0, 29.3445, 1, 1, 1000, 1000
 75214069, 1, 0.0009741837, 0.001064441, 0.001032413, -0.0004050323, -0.0001039899, -9.817268, 0, 0, 29.34455, 1, 1, 760, 800
 75254053, 0, 0.001154462, 0.001039344, 0.001008562, -0.0004958851, -0.0004703857, -9.815434, 0, 0, 29.34659, 1, 1, 1000, 1000
 75254053, 1, 0.0008923817, 0.001220238, 0.001145383, -0.0007526694, -0.001080559, -9.81775, 0, 0, 29.34664, 1, 1, 760, 800
 75294037, 0, 0.001013934, 0.0009981575, 0.00107612, -0.001414086, -0.0009533124, -9.817181, 0, 0, 29.34867, 1, 1, 1000, 1000
 75294037, 1, 0.001098415, 0.001119161, 0.000807647, -0.003453732, -0.001977911, -9.818013, 0, 0, 29.34873, 1, 1, 760, 800
 75334021, 0, 0.001007267, 0.0009809769, 0.001085806, -0.001133127, -0.001079341, -9.81636, 0, 0, 29.35076, 1, 1, 1000, 1000
 75334021, 1, 0.0009743463, 0.0008823122, 0.001317361, -0.001835229, 0.000705561, -9.818212, 0, 0, 29.35081, 1, 1, 760, 800
 75374005, 0, 0.0009832088, 0.001093568, 0.001074805, -0.0007129744, -0.0003600561, -9.818369, 0, 0, 29.35285, 1, 1, 1000, 1000
 75374005, 1, 0.0009252845, 0.001051935, 0.001089885, 0.001902932, -0.0004805702, -9.816277, 0, 0, 29.3529, 1, 1, 760, 800
 75413989, 0, 0.001090313, 0.001064012, 0.001095251, -0.001457522, -0.0003644631, -9.817141, 0, 0, 29.35493, 1, 1, 1000, 1000
 75413989, 1, 0.001046937, 0.00109953, 0.001158999, -0.0007128346, -0.001316248, -9.817369, 0, 0, 29.35493, 1, 1, 760, 800
 75453973, 0, 0.001105793, 0.001091019, 0.00111844, -0.0009725619, -0.001286389, -9.817291, 0, 0, 29.35702, 1, 1, 1000, 1000
 75453973, 1, 0.001170962, 0.0007479978, 0.001099559, -0.001260154, -0.002272789, -9.817087, 0, 0, 29.35702, 1, 1, 760, 800
 75493957, 0, 0.001096081, 0.001081885, 0.001079144, -0.001734062, -0.0009341566, -9.817508, 0, 0, 29.35911, 1, 1, 1000, 1000
 75493957, 1, 0.0009597553, 0.001219879, 0.001023078, -0.00029467, -0.0002513667, -9.816748, 0, 0, 29.35911, 1, 1, 760, 800
 75533941, 0, 0.001020507, 0.001060789, 0.001094067, -0.0002989983, -0.001536213, -9.817555, 0, 0, 29.36119, 1, 1, 1000, 1000
 75533941, 1, 0.001093536, 0.001058568, 0.0009971887, -0.00157581, -0.0005744829, -9.816596, 0, 0, 29.36119, 1, 1, 760, 800
 75573925, 0, 0.001063926, 0.001084489, 0.001085183, -7.937226E-05, -0.0004792993, -9.817062, 0, 0, 29.36328, 1, 1, 1000, 1000
 75573925, 1, 0.001345578, 0.001325948, 0.001195046, -0.0002782154, 0.001902707, -9.817923, 0, 0, 29.36328, 1, 1, 760, 800
 75613909, 0, 0.001111939, 0.00108295, 0.001021271, -0.0009349002, -0.001503144, -9.817541, 0, 0, 29.36536, 1, 1, 1000, 1000
 75613909, 1, 0.00094687, 0.001001734, 0.000984517, -0.001255237, -0.0005675456, -9.818107, 0, 0, 29.36536, 1, 1, 760, 800
