Time,MAG_I,MAG_MagX,MAG_MagY,MAG_MagZ,MAG_OfsX,MAG_OfsY,MAG_OfsZ,MAG_MOX,MAG_MOY,MAG_MOZ,MAG_Health,MAG_S
 74893364, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 74893364
 74893364, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 74893364
 74893364, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 74893364
 74993324, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 74993324
 74993324, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 74993324
 74993324, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 74993324
 75093284, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75093284
 75093284, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75093284
 75093284, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75093284
 75194077, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75194077
 75194077, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75194077
 75194077, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75194077
 75294037, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75294037
 75294037, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75294037
 75294037, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75294037
 75393997, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75393997
 75393997, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75393997
 75393997, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75393997
 75493957, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75493957
 75493957, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75493957
 75493957, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75493957
 75593917, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75593917
 75593917, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75593917
 75593917, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75593917
 75693877, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75693877
 75693877, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75693877
 75693877, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75693877
 75793837, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75793837
 75793837, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75793837
 75793837, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75793837
 75893797, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75893797
 75893797, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75893797
 75893797, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75893797
 75993757, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75993757
 75993757, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75993757
 75993757, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 75993757
 76093717, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76093717
 76093717, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76093717
 76093717, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76093717
 76193677, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76193677
 76193677, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76193677
 76193677, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76193677
 76293637, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76293637
 76293637, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76293637
 76293637, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76293637
 76393597, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76393597
 76393597, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76393597
 76393597, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76393597
 76493557, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76493557
 76493557, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76493557
 76493557, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76493557
 76593517, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76593517
 76593517, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76593517
 76593517, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76593517
 76693477, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76693477
 76693477, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76693477
 76693477, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76693477
 76793437, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76793437
 76793437, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76793437
 76793437, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76793437
 76893397, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76893397
 76893397, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76893397
 76893397, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76893397
 76993357, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76993357
 76993357, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76993357
 76993357, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 76993357
 77093317, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77093317
 77093317, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77093317
 77093317, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77093317
 77193277, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77193277
 77193277, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77193277
 77193277, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77193277
 77294070, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77294070
 77294070, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77294070
 77294070, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77294070
 77394030, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77394030
 77394030, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77394030
 77394030, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77394030
 77493990, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77493990
 77493990, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77493990
 77493990, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77493990
 77593950, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77593950
 77593950, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77593950
 77593950, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77593950
 77693910, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77693910
 77693910, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77693910
 77693910, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77693910
 77793870, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77793870
 77793870, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77793870
 77793870, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77793870
 77893830, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77893830
 77893830, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77893830
 77893830, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77893830
 77993790, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77993790
 77993790, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77993790
 77993790, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 77993790
 78093750, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78093750
 78093750, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78093750
 78093750, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78093750
 78193710, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78193710
 78193710, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78193710
 78193710, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78193710
 78293670, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78293670
 78293670, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78293670
 78293670, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78293670
 78393630, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78393630
 78393630, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78393630
 78393630, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78393630
 78493590, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78493590
 78493590, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78493590
 78493590, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78493590
 78593550, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78593550
 78593550, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78593550
 78593550, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78593550
 78693510, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78693510
 78693510, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78693510
 78693510, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78693510
 78793470, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78793470
 78793470, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78793470
 78793470, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78793470
 78893430, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78893430
 78893430, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78893430
 78893430, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78893430
 78993390, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78993390
 78993390, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78993390
 78993390, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 78993390
 79093350, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79093350
 79093350, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79093350
 79093350, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79093350
 79193310, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79193310
 79193310, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79193310
 79193310, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79193310
 79293270, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79293270
 79293270, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79293270
 79293270, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79293270
 79394063, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79394063
 79394063, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79394063
 79394063, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79394063
 79494023, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79494023
 79494023, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79494023
 79494023, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79494023
 79593983, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79593983
 79593983, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79593983
 79593983, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79593983
 79693943, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79693943
 79693943, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79693943
 79693943, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79693943
 79793903, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79793903
 79793903, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79793903
 79793903, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79793903
 79893863, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79893863
 79893863, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79893863
 79893863, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79893863
 79993823, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79993823
 79993823, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79993823
 79993823, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 79993823
 80093783, 0, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 80093783
 80093783, 1, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 80093783
 80093783, 2, 309, 15, 395, 5, 13, -18, 0, 0, 0, 1, 80093783
 80193743, 0, 310, 13, 394, 5, 13, -18, 0, 0, 0, 1, 80193743
 80193743, 1, 310, 13, 394, 5, 13, -18, 0, 0, 0, 1, 80193743
 80193743, 2, 310, 13, 394, 5, 13, -18, 0, 0, 0, 1, 80193743
 80293703, 0, 311, 13, 394, 5, 13, -18, 0, 0, 0, 1, 80293703
 80293703, 1, 311, 13, 394, 5, 13, -18, 0, 0, 0, 1, 80293703
 80293703, 2, 311, 13, 394, 5, 13, -18, 0, 0, 0, 1, 80293703
 80393663, 0, 311, 13, 394, 5, 13, -18, 0, 0, 0, 1, 80393663
 80393663, 1, 311, 13, 394, 5, 13, -18, 0, 0, 0, 1, 80393663
