Time,MAV_chan,MAV_txp,MAV_rxp,MAV_rxdp,MAV_flags,MAV_ss,MAV_tf
 75143264, 0, 6251, 379, 0, 6, 0, 0
 76146196, 0, 6334, 382, 0, 6, 0, 0
 77148295, 0, 6440, 385, 0, 6, 0, 0
 78151227, 0, 6549, 388, 0, 6, 0, 0
 79153326, 0, 6659, 392, 0, 6, 0, 0
 80156258, 0, 6769, 397, 0, 6, 0, 0
 81158357, 0, 6832, 412, 0, 6, 0, 0
 82161289, 0, 6897, 415, 0, 6, 0, 0
 83163388, 0, 6960, 418, 0, 6, 0, 0
 84166320, 0, 7023, 421, 0, 6, 0, 0
 85168419, 0, 7086, 424, 0, 6, 0, 0
 86171351, 0, 7149, 427, 0, 6, 0, 0
 87173450, 0, 7212, 430, 0, 6, 0, 0
 88176382, 0, 7275, 433, 0, 6, 0, 0
 89178481, 0, 7341, 437, 0, 6, 0, 0
 90181413, 0, 7405, 443, 0, 6, 0, 0
 91183512, 0, 7491, 446, 0, 6, 0, 0
 92186444, 0, 7602, 449, 0, 6, 0, 0
 93188543, 0, 7711, 452, 0, 6, 0, 0
 94191475, 0, 7820, 455, 0, 6, 0, 0
 95193574, 0, 7929, 458, 0, 6, 0, 0
 96194007, 0, 8038, 461, 0, 6, 0, 0
 97196106, 0, 8147, 464, 0, 6, 0, 0
 98199038, 0, 8256, 467, 0, 6, 0, 0
 99201137, 0, 8365, 470, 0, 6, 0, 0
 100204069, 0, 8475, 475, 0, 6, 0, 0
 101206168, 0, 8584, 478, 0, 6, 0, 0
 102208267, 0, 8647, 493, 0, 6, 0, 0
 103211199, 0, 8710, 496, 0, 6, 0, 0
 104213298, 0, 8773, 499, 0, 6, 0, 0
 105216230, 0, 8836, 503, 0, 6, 0, 0
 106218329, 0, 8922, 506, 0, 6, 0, 0
 107221261, 0, 9031, 509, 0, 6, 0, 0
 108223360, 0, 9140, 512, 0, 6, 0, 0
 109226292, 0, 9249, 515, 0, 6, 0, 0
 110228391, 0, 9359, 520, 0, 6, 0, 0
 111231323, 0, 9468, 523, 0, 6, 0, 0
 112233422, 0, 9577, 526, 0, 6, 0, 0
 113236354, 0, 9713, 529, 0, 6, 0, 0
 114238453, 0, 9822, 532, 0, 6, 0, 0
 115241385, 0, 9931, 535, 0, 6, 0, 0
 116243484, 0, 10040, 538, 0, 6, 0, 0
 117246416, 0, 10149, 541, 0, 6, 0, 0
 118248515, 0, 10262, 544, 0, 6, 0, 0
 119251447, 0, 10303, 559, 0, 6, 0, 0
 120253546, 0, 10369, 565, 0, 6, 0, 0
 121256478, 0, 10482, 568, 0, 6, 0, 0
 122258577, 0, 10595, 571, 0, 6, 0, 0
 123259010, 0, 10710, 574, 0, 6, 0, 0
 124261109, 0, 10823, 577, 0, 6, 0, 0
 125264041, 0, 10936, 580, 0, 6, 0, 0
 126266140, 0, 11052, 583, 0, 6, 0, 0
 127269072, 0, 11165, 586, 0, 6, 0, 0
 128271171, 0, 11278, 589, 0, 6, 0, 0
 129273270, 0, 11391, 592, 0, 6, 0, 0
