Time,MOTB_LiftMax,MOTB_BatVolt,MOTB_ThLimit,MOTB_ThrAvMx,MOTB_FailFlags
 74893364, 0.9728535, 0.9834396, 1, 0.03450618, 2
 74993324, 0.9728535, 0.9834396, 1, 0.03450618, 2
 75093284, 0.9728535, 0.9834396, 1, 0.03450618, 2
 75194077, 0.9728535, 0.9834396, 1, 0.03450618, 2
 75294037, 0.9728535, 0.9834396, 1, 0.03450618, 2
 75393997, 0.9728535, 0.9834396, 1, 0.03450618, 2
 75493957, 0.9728535, 0.9834396, 1, 0.03450618, 2
 75593917, 0.9728535, 0.9834396, 1, 0.03450618, 2
 75693877, 0.9728535, 0.9834396, 1, 0.03450618, 2
 75793837, 0.9728535, 0.9834396, 1, 0.03450618, 2
 75893797, 0.9728535, 0.9834396, 1, 0.03450618, 2
 75993757, 0.9728535, 0.9834396, 1, 0.03450618, 2
 76093717, 0.9728535, 0.9834396, 1, 0.03450618, 2
 76193677, 0.9728535, 0.9834396, 1, 0.03450618, 2
 76293637, 0.9728535, 0.9834396, 1, 0.03450618, 2
 76393597, 0.9728535, 0.9834396, 1, 0.03450618, 2
 76493557, 0.9728535, 0.9834396, 1, 0.03450618, 2
 76593517, 0.9728535, 0.9834396, 1, 0.03450618, 2
 76693477, 0.9728535, 0.9834396, 1, 0.03450618, 2
 76793437, 0.9728535, 0.9834396, 1, 0.03450618, 2
 76893397, 0.9728535, 0.9834396, 1, 0.03450618, 2
 76993357, 0.9728535, 0.9834396, 1, 0.03450618, 2
 77093317, 0.9728535, 0.9834396, 1, 0.03450618, 2
 77193277, 0.9728535, 0.9834396, 1, 0.03450618, 2
 77294070, 0.9728535, 0.9834396, 1, 0.03450618, 2
 77394030, 0.9728535, 0.9834396, 1, 0.03450618, 2
 77493990, 0.9728535, 0.9834396, 1, 0.03450618, 2
 77593950, 0.9728535, 0.9834396, 1, 0.03450618, 2
 77693910, 0.9728535, 0.9834396, 1, 0.03450618, 2
 77793870, 0.9728535, 0.9834396, 1, 0.03450618, 2
 77893830, 0.9728535, 0.9834396, 1, 0.03450618, 2
 77993790, 0.9728535, 0.9834396, 1, 0.03450618, 2
 78093750, 0.9728535, 0.9834396, 1, 0.03450618, 2
 78193710, 0.9728535, 0.9834396, 1, 0.03450618, 2
 78293670, 0.9728535, 0.9834396, 1, 0.03450618, 2
 78393630, 0.9728535, 0.9834396, 1, 0.03450618, 2
 78493590, 0.9728535, 0.9834396, 1, 0.03450618, 2
 78593550, 0.9728535, 0.9834396, 1, 0.03450618, 2
 78693510, 0.9728535, 0.9834396, 1, 0.03450618, 2
 78793470, 0.9728535, 0.9834396, 1, 0.03450618, 2
 78893430, 0.9728535, 0.9834396, 1, 0.09429103, 2
 78993390, 0.9728535, 0.9834396, 1, 0.1852548, 2
 79093350, 0.9728535, 0.9834396, 1, 0.2300624, 2
 79193310, 0.9728535, 0.9834396, 1, 0.2554478, 2
 79293270, 0.9728535, 0.9834396, 1, 0.2852322, 2
 79394063, 0.9728535, 0.9834396, 1, 0.3196709, 2
 79494023, 0.9728535, 0.9834396, 1, 0.3728863, 2
 79593983, 0.9728535, 0.9834396, 1, 0.4577985, 2
 79693943, 0.9728535, 0.9834396, 1, 0.4710251, 2
 79793903, 0.9728535, 0.9834396, 1, 0.5199168, 2
 79893863, 0.9728535, 0.9834396, 1, 0.5745624, 2
 79993823, 0.9728535, 0.9834396, 1, 0.6321771, 2
 80093783, 0.9728535, 0.9834396, 1, 0.3967269, 2
 80193743, 0.9728535, 0.9834396, 1, 0.3409644, 2
 80293703, 0.9728535, 0.9834396, 1, 0.3828482, 2
 80393663, 0.9741257, 0.9842206, 1, 0.4355475, 2
 80493623, 0.9751594, 0.9848548, 1, 0.4596441, 2
 80593583, 0.9760337, 0.9853909, 1, 0.4582534, 2
 80693543, 0.9767268, 0.9858157, 1, 0.4477796, 2
 80793503, 0.9772258, 0.9861215, 1, 0.4394748, 2
 80893463, 0.9775679, 0.9863312, 1, 0.4366094, 2
 80993423, 0.9777954, 0.9864706, 1, 0.4370638, 2
 81093383, 0.9779541, 0.9865678, 1, 0.4390443, 2
 81193343, 0.9780705, 0.9866391, 1, 0.4409034, 2
 81293303, 0.9781592, 0.9866934, 1, 0.4281617, 2
