Time,PSCD_TPD,PSCD_PD,PSCD_DVD,PSCD_TVD,PSCD_VD,PSCD_DAD,PSCD_TAD,PSCD_AD
 74893364, 0.02748054, 0.02748054, 0.0002308543, 0.0002308543, 0.0002308543, -0.0003948212, -0.0003948212, -0.0003948212
 74993324, 0.02749277, 0.02749277, 0.0002441788, 0.0002441788, 0.0002441788, 0.0001430511, 0.0001430511, 0.0001430511
 75093284, 0.02750123, 0.02750123, 0.0002469369, 0.0002469369, 0.0002469369, -0.0002355576, -0.0002355576, -0.0002355576
 75194077, 0.02751118, 0.02751118, 0.0002107432, 0.0002107432, 0.0002107432, -0.0001859665, -0.0001859665, -0.0001859665
 75294037, 0.02751672, 0.02751672, 0.0002684403, 0.0002684403, 0.0002684403, 0.0003108978, 0.0003108978, 0.0003108978
 75393997, 0.02752993, 0.02752993, 0.0002511968, 0.0002511968, 0.0002511968, -6.103516E-05, -6.103516E-05, -6.103516E-05
 75493957, 0.02753677, 0.02753677, 0.000277922, 0.000277922, 0.000277922, -2.479553E-05, -2.479553E-05, -2.479553E-05
 75593917, 0.02754947, 0.02754947, 0.0002467475, 0.0002467475, 0.0002467475, -0.001601219, -0.001601219, -0.001601219
 75693877, 0.02755159, 0.02755159, 0.00025023, 0.00025023, 0.00025023, 0.0004606247, 0.0004606247, 0.0004606247
 75793837, 0.02756062, 0.02756062, 0.000235251, 0.000235251, 0.000235251, -0.001041412, -0.001041412, -0.001041412
 75893797, 0.02756146, 0.02756146, 0.000224735, 0.000224735, 0.000224735, -0.0005531311, -0.0005531311, -0.0005531311
 75993757, 0.02756627, 0.02756627, 0.0001996148, 0.0001996148, 0.0001996148, -0.0001516342, -0.0001516342, -0.0001516342
 76093717, 0.02756524, 0.02756524, 0.0001987257, 0.0001987257, 0.0001987257, -0.0002822876, -0.0002822876, -0.0002822876
 76193677, 0.02756984, 0.02756984, 0.0001676546, 0.0001676546, 0.0001676546, -0.001111984, -0.001111984, -0.001111984
 76293637, 0.02756484, 0.02756484, 0.0001307078, 0.0001307078, 0.0001307078, 0.0007505417, 0.0007505417, 0.0007505417
 76393597, 0.02756359, 0.02756359, 9.56329E-05, 9.56329E-05, 9.56329E-05, -0.0008192062, -0.0008192062, -0.0008192062
 76493557, 0.02755604, 0.02755604, 0.0001016088, 0.0001016088, 0.0001016088, 0.0008354187, 0.0008354187, 0.0008354187
 76593517, 0.027558, 0.027558, 0.0001658213, 0.0001658213, 0.0001658213, 0.0007076263, 0.0007076263, 0.0007076263
 76693477, 0.02756195, 0.02756195, 0.0001804556, 0.0001804556, 0.0001804556, -0.0004587173, -0.0004587173, -0.0004587173
 76793437, 0.02757102, 0.02757102, 0.0001867688, 0.0001867688, 0.0001867688, -0.0002813339, -0.0002813339, -0.0002813339
 76893397, 0.02757405, 0.02757405, 0.0002224803, 0.0002224803, 0.0002224803, 0.0009880066, 0.0009880066, 0.0009880066
 76993357, 0.0275818, 0.0275818, 0.0001798476, 0.0001798476, 0.0001798476, -5.626678E-05, -5.626678E-05, -5.626678E-05
 77093317, 0.02758228, 0.02758228, 0.0001757316, 0.0001757316, 0.0001757316, -0.0005016327, -0.0005016327, -0.0005016327
 77193277, 0.027587, 0.027587, 0.0001741311, 0.0001741311, 0.0001741311, -0.00041008, -0.00041008, -0.00041008
 77294070, 0.02758615, 0.02758615, 0.0001741377, 0.0001741377, 0.0001741377, 9.536743E-06, 9.536743E-06, 9.536743E-06
 77394030, 0.02758995, 0.02758995, 0.0001488951, 0.0001488951, 0.0001488951, -0.0003728867, -0.0003728867, -0.0003728867
 77493990, 0.02759198, 0.02759198, 0.0002260198, 0.0002260198, 0.0002260198, 0.000711441, 0.000711441, 0.000711441
 77593950, 0.02760131, 0.02760131, 0.0002236218, 0.0002236218, 0.0002236218, 0.0009756088, 0.0009756088, 0.0009756088
 77693910, 0.02760341, 0.02760341, 0.0002202838, 0.0002202838, 0.0002202838, -0.0001773834, -0.0001773834, -0.0001773834
 77793870, 0.02761259, 0.02761259, 0.0002565362, 0.0002565362, 0.0002565362, 0.0008001328, 0.0008001328, 0.0008001328
 77893830, 0.02761648, 0.02761648, 0.0002594523, 0.0002594523, 0.0002594523, 0.0009450912, 0.0009450912, 0.0009450912
 77993790, 0.02762526, 0.02762526, 0.0002444094, 0.0002444094, 0.0002444094, 0.001367569, 0.001367569, 0.001367569
 78093750, 0.02762292, 0.02762292, 0.0002069598, 0.0002069598, 0.0002069598, 0.0002393723, 0.0002393723, 0.0002393723
 78193710, 0.02762803, 0.02762803, 0.0002266468, 0.0002266468, 0.0002266468, 0.0004234314, 0.0004234314, 0.0004234314
 78293670, 0.02762819, 0.02762819, 0.0002270362, 0.0002270362, 0.0002270362, 0.0001811981, 0.0001811981, 0.0001811981
 78393630, 0.02763237, 0.02763237, 0.0001797153, 0.0001797153, 0.0001797153, -0.0006303787, -0.0006303787, -0.0006303787
 78493590, 0.0276227, 0.0276227, 0.0001215532, 0.0001215532, 0.0001215532, -0.0005483627, -0.0005483627, -0.0005483627
 78593550, 0.02761631, 0.02761631, 8.70906E-05, 8.70906E-05, 8.70906E-05, -0.0001211166, -0.0001211166, -0.0001211166
 78693510, 0.02760767, 0.02760767, 0.0001264473, 0.0001264473, 0.0001264473, 0.0003519058, 0.0003519058, 0.0003519058
 78793470, 0.0276092, 0.0276092, 0.0001780727, 0.0001780727, 0.0001780727, 0.0003147125, 0.0003147125, 0.0003147125
 78893430, 0.02709091, 0.02761106, -0.01838861, -0.01890876, 0.0001612208, -0.4372044, -0.4869616, -0.001343727
 78993390, 0.02226369, 0.02761608, -0.08648405, -0.09183644, 0.0001695709, -0.9372044, -1.265556, 0.0002536774
 79093350, 0.008660425, 0.02761604, -0.1860109, -0.2049665, 0.0001754402, -1, -1.844102, 0.000295639
 79193310, -0.01494066, 0.02761836, -0.2860109, -0.3285699, 0.0001618275, -1, -2.444279, 0.0006523132
 79293270, -0.04854174, 0.02761571, -0.3860109, -0.4621683, 0.0001304929, -1, -3.09624, -0.0003232956
