Time,PSCE_TPE,PSCE_PE,PSCE_DVE,PSCE_TVE,PSCE_VE,PSCE_DAE,PSCE_TAE,PSCE_AE
 74893364, 0.0125257, 0.0125257, 0.01579276, 0.01579276, 0.01579276, 0, -3.2245E-06, -3.274883E-06
 74993324, 0.01274493, 0.01274493, 0.01597333, 0.01597333, 0.01597333, 0, -3.224588E-06, -3.274972E-06
 75093284, 0.01239137, 0.01239137, 0.01565569, 0.01565569, 0.01565569, 0, -3.224674E-06, -3.275059E-06
 75194077, 0.01263519, 0.01263519, 0.01575285, 0.01575285, 0.01575285, 0, -3.224743E-06, -3.27513E-06
 75294037, 0.01226992, 0.01226992, 0.01513642, 0.01513642, 0.01513642, 0, -3.224779E-06, -3.275167E-06
 75393997, 0.01244762, 0.01244762, 0.01489204, 0.01489204, 0.01489204, 0, -3.224826E-06, -3.275214E-06
 75493957, 0.01198585, 0.01198585, 0.01371684, 0.01371684, 0.01371684, 0, -3.224895E-06, -3.275284E-06
 75593917, 0.01197922, 0.01197922, 0.01305689, 0.01305689, 0.01305689, 0, -3.224952E-06, -3.275342E-06
 75693877, 0.0113236, 0.0113236, 0.01144692, 0.01144692, 0.01144692, 0, -3.224994E-06, -3.275385E-06
 75793837, 0.01107978, 0.01107978, 0.0104837, 0.0104837, 0.0104837, 0, -3.225052E-06, -3.275443E-06
 75893797, 0.01025576, 0.01025576, 0.00867014, 0.00867014, 0.00867014, 0, -3.225096E-06, -3.275488E-06
 75993757, 0.009794765, 0.009794765, 0.007461549, 0.007461549, 0.007461549, 0, -3.225161E-06, -3.275554E-06
 76093717, 0.008854811, 0.008854811, 0.005745629, 0.005745629, 0.005745629, 0, -3.225211E-06, -3.275604E-06
 76193677, 0.008256925, 0.008256925, 0.004656066, 0.004656066, 0.004656066, 0, -3.225265E-06, -3.275659E-06
 76293637, 0.007312056, 0.007312056, 0.003260943, 0.003260943, 0.003260943, 0, -3.225342E-06, -3.275738E-06
 76393597, 0.00668324, 0.00668324, 0.002310163, 0.002310163, 0.002310163, 0, -3.225409E-06, -3.275806E-06
 76493557, 0.005802402, 0.005802402, 0.001190016, 0.001190016, 0.001190016, 0, -3.225451E-06, -3.275848E-06
 76593517, 0.005204492, 0.005204492, 0.0004358445, 0.0004358445, 0.0004358445, 0, -3.225498E-06, -3.275897E-06
 76693477, 0.004436099, 0.004436099, -0.0003400367, -0.0003400367, -0.0003400367, 0, -3.225539E-06, -3.275938E-06
 76793437, 0.003922292, 0.003922292, -0.0008227599, -0.0008227599, -0.0008227599, 0, -3.225594E-06, -3.275994E-06
 76893397, 0.003287416, 0.003287416, -0.001376614, -0.001376614, -0.001376614, 0, -3.225657E-06, -3.276058E-06
 76993357, 0.002863815, 0.002863815, -0.0016945, -0.0016945, -0.0016945, 0, -3.225718E-06, -3.27612E-06
 77093317, 0.002353643, 0.002353643, -0.002056982, -0.002056982, -0.002056982, 0, -3.225775E-06, -3.276178E-06
 77193277, 0.002017423, 0.002017423, -0.002243188, -0.002243188, -0.002243188, 0, -3.225848E-06, -3.276252E-06
 77294070, 0.001621895, 0.001621895, -0.002380941, -0.002380941, -0.002380941, 0, -3.225914E-06, -3.276319E-06
 77394030, 0.001380424, 0.001380424, -0.002316144, -0.002316144, -0.002316144, 0, -3.22599E-06, -3.276396E-06
 77493990, 0.001098585, 0.001098585, -0.002247327, -0.002247327, -0.002247327, 0, -3.22608E-06, -3.276487E-06
 77593950, 0.0009474998, 0.0009474998, -0.00214718, -0.00214718, -0.00214718, 0, -3.226125E-06, -3.276533E-06
 77693910, 0.0007486027, 0.0007486027, -0.002017521, -0.002017521, -0.002017521, 0, -3.226224E-06, -3.276634E-06
 77793870, 0.0006630185, 0.0006630185, -0.001890274, -0.001890274, -0.001890274, 0, -3.226301E-06, -3.276713E-06
 77893830, 0.0005230907, 0.0005230907, -0.001683809, -0.001683809, -0.001683809, 0, -3.226373E-06, -3.276786E-06
 77993790, 0.0004898543, 0.0004898543, -0.001452943, -0.001452943, -0.001452943, 0, -3.226427E-06, -3.276839E-06
 78093750, 0.0004028884, 0.0004028884, -0.00121368, -0.00121368, -0.00121368, 0, -3.226496E-06, -3.27691E-06
 78193710, 0.0004160317, 0.0004160317, -0.0009172076, -0.0009172076, -0.0009172076, 0, -3.226579E-06, -3.276994E-06
