Time,PSCN_TPN,PSCN_PN,PSCN_DVN,PSCN_TVN,PSCN_VN,PSCN_DAN,PSCN_TAN,PSCN_AN
 74893364, -0.01312812, -0.01312812, -0.01689776, -0.01689776, -0.01689776, 0, -5.454327E-06, -5.539551E-06
 74993324, -0.01338212, -0.01338212, -0.01706804, -0.01706804, -0.01706804, 0, -5.454273E-06, -5.539496E-06
 75093284, -0.01302553, -0.01302553, -0.01666932, -0.01666932, -0.01666932, 0, -5.454222E-06, -5.539445E-06
 75194077, -0.01329222, -0.01329222, -0.01670468, -0.01670468, -0.01670468, 0, -5.454181E-06, -5.539403E-06
 75294037, -0.01290417, -0.01290417, -0.01593107, -0.01593107, -0.01593107, 0, -5.45416E-06, -5.539381E-06
 75393997, -0.01308081, -0.01308081, -0.01565627, -0.01565627, -0.01565627, 0, -5.454133E-06, -5.539353E-06
 75493957, -0.01258708, -0.01258708, -0.01441932, -0.01441932, -0.01441932, 0, -5.454092E-06, -5.539312E-06
 75593917, -0.0125713, -0.0125713, -0.01369283, -0.01369283, -0.01369283, 0, -5.454057E-06, -5.539277E-06
 75693877, -0.01188041, -0.01188041, -0.01206576, -0.01206576, -0.01206576, 0, -5.454031E-06, -5.539251E-06
 75793837, -0.01162136, -0.01162136, -0.01095786, -0.01095786, -0.01095786, 0, -5.453996E-06, -5.539214E-06
 75893797, -0.01074972, -0.01074972, -0.009119674, -0.009119674, -0.009119674, 0, -5.453969E-06, -5.539187E-06
 75993757, -0.01026431, -0.01026431, -0.007879559, -0.007879559, -0.007879559, 0, -5.453931E-06, -5.539149E-06
 76093717, -0.009282549, -0.009282549, -0.006091429, -0.006091429, -0.006091429, 0, -5.4539E-06, -5.539117E-06
 76193677, -0.008653772, -0.008653772, -0.004903462, -0.004903462, -0.004903462, 0, -5.45387E-06, -5.539087E-06
 76293637, -0.007657797, -0.007657797, -0.003380907, -0.003380907, -0.003380907, 0, -5.453823E-06, -5.539039E-06
 76393597, -0.006990406, -0.006990406, -0.002356104, -0.002356104, -0.002356104, 0, -5.453783E-06, -5.538998E-06
 76493557, -0.006061849, -0.006061849, -0.001177131, -0.001177131, -0.001177131, 0, -5.45376E-06, -5.538975E-06
 76593517, -0.00542726, -0.00542726, -0.0003818669, -0.0003818669, -0.0003818669, 0, -5.453732E-06, -5.538947E-06
 76693477, -0.004614239, -0.004614239, 0.000520149, 0.000520149, 0.000520149, 0, -5.453709E-06, -5.538925E-06
 76793437, -0.004062969, -0.004062969, 0.001002869, 0.001002869, 0.001002869, 0, -5.453678E-06, -5.538892E-06
 76893397, -0.003393118, -0.003393118, 0.00163502, 0.00163502, 0.00163502, 0, -5.453641E-06, -5.538854E-06
 76993357, -0.00294004, -0.00294004, 0.001954519, 0.001954519, 0.001954519, 0, -5.453605E-06, -5.538817E-06
 77093317, -0.00240742, -0.00240742, 0.002278743, 0.002278743, 0.002278743, 0, -5.453571E-06, -5.538783E-06
 77193277, -0.002061003, -0.002061003, 0.002435497, 0.002435497, 0.002435497, 0, -5.453525E-06, -5.538736E-06
 77294070, -0.001652116, -0.001652116, 0.002592027, 0.002592027, 0.002592027, 0, -5.453486E-06, -5.538697E-06
 77394030, -0.001394908, -0.001394908, 0.002619058, 0.002619058, 0.002619058, 0, -5.453443E-06, -5.538653E-06
 77493990, -0.001090484, -0.001090484, 0.002650329, 0.002650329, 0.002650329, 0, -5.45339E-06, -5.538599E-06
 77593950, -0.000913618, -0.000913618, 0.0025564, 0.0025564, 0.0025564, 0, -5.453365E-06, -5.538574E-06
 77693910, -0.0007004613, -0.0007004613, 0.002395199, 0.002395199, 0.002395199, 0, -5.453306E-06, -5.538514E-06
 77793870, -0.0006050927, -0.0006050927, 0.002206764, 0.002206764, 0.002206764, 0, -5.453258E-06, -5.538466E-06
 77893830, -0.0004621696, -0.0004621696, 0.002030963, 0.002030963, 0.002030963, 0, -5.453216E-06, -5.538423E-06
 77993790, -0.0004255039, -0.0004255039, 0.001687062, 0.001687062, 0.001687062, 0, -5.453187E-06, -5.538393E-06
 78093750, -0.0003467664, -0.0003467664, 0.001431132, 0.001431132, 0.001431132, 0, -5.453143E-06, -5.538349E-06
 78193710, -0.0003682606, -0.0003682606, 0.001089132, 0.001089132, 0.001089132, 0, -5.453094E-06, -5.538299E-06
 78293670, -0.000332469, -0.000332469, 0.000801754, 0.000801754, 0.000801754, 0, -5.453037E-06, -5.538241E-06
 78393630, -0.000396132, -0.000396132, 0.0004065312, 0.0004065312, 0.0004065312, 0, -5.452983E-06, -5.538185E-06
 78493590, -0.000397598, -0.000397598, 2.8897E-05, 2.8897E-05, 2.8897E-05, 0, -5.452925E-06, -5.538127E-06
 78593550, -0.0005048717, -0.0005048717, -0.0004079101, -0.0004079101, -0.0004079101, 0, -5.452874E-06, -5.538075E-06
 78693510, -0.0005328823, -0.0005328823, -0.0007342585, -0.0007342585, -0.0007342585, 0, -5.452818E-06, -5.538019E-06
 78793470, -0.0006758379, -0.0006758379, -0.001199705, -0.001199705, -0.001199705, 0, -5.45277E-06, -5.53797E-06
