Time,TERR_Status,TERR_Lat,TERR_Lng,TERR_Spacing,TERR_TerrH,TERR_CHeight,TERR_Pending,TERR_Loaded,TERR_ROfs
 75294037, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002483275, 0, 504, 15
 76293637, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002435153, 0, 504, 15
 77294070, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.00241385, 0, 504, 15
 78293670, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002371812, 0, 504, 15
 79293270, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002384286, 0, 504, 15
 80293703, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.4584767, 0, 504, 15
 81293303, 2, 33.6412059, 72.9955927, 100, 549.5798, 2.684884, 0, 504, 15
 82293736, 2, 33.641206, 72.9955926, 100, 549.5801, 5.335967, 0, 504, 15
 83293336, 2, 33.641206, 72.9955926, 100, 549.5801, 7.382061, 0, 504, 15
 84293769, 2, 33.641206, 72.9955926, 100, 549.5801, 8.827498, 0, 504, 15
 85293369, 2, 33.6412059, 72.9955926, 100, 549.58, 9.731758, 0, 504, 15
 86293802, 2, 33.6412059, 72.9955926, 100, 549.58, 10.0365, 0, 504, 15
 87293402, 2, 33.6412059, 72.9955927, 100, 549.5798, 9.970962, 0, 504, 15
 88293835, 2, 33.6412059, 72.9955926, 100, 549.58, 9.968593, 0, 504, 15
 89293435, 2, 33.6412059, 72.9955926, 100, 549.58, 10.06588, 0, 504, 15
 90293868, 2, 33.641206, 72.9955926, 100, 549.5801, 11.06511, 0, 504, 15
 91293468, 2, 33.6412061, 72.9955925, 100, 549.5804, 13.11438, 0, 504, 15
 92293901, 2, 33.6412061, 72.9955925, 100, 549.5804, 15.68726, 0, 504, 15
 93293501, 2, 33.6412061, 72.9955925, 100, 549.5804, 18.19303, 0, 504, 15
 94293934, 2, 33.6412061, 72.9955925, 100, 549.5804, 20.69678, 0, 504, 15
 95293534, 2, 33.641206, 72.9955925, 100, 549.5803, 23.1944, 0, 504, 15
 96293967, 2, 33.641206, 72.9955925, 100, 549.5803, 25.70922, 0, 504, 15
 97293567, 2, 33.641206, 72.9955925, 100, 549.5803, 28.22256, 0, 504, 15
 98294000, 2, 33.641206, 72.9955925, 100, 549.5803, 30.69204, 0, 504, 15
 99293600, 2, 33.641206, 72.9955925, 100, 549.5803, 33.17801, 0, 504, 15
 100294033, 2, 33.641206, 72.9955926, 100, 549.5801, 35.66465, 0, 504, 15
 101293633, 2, 33.641206, 72.9955926, 100, 549.5801, 38.15618, 0, 504, 15
 102294066, 2, 33.641206, 72.9955926, 100, 549.5801, 40.65544, 0, 504, 15
 103293666, 2, 33.641206, 72.9955926, 100, 549.5801, 43.15731, 0, 504, 15
 104293266, 2, 33.641206, 72.9955926, 100, 549.5801, 45.65687, 0, 504, 15
 105293699, 2, 33.641206, 72.9955926, 100, 549.5801, 48.15722, 0, 504, 15
 106293299, 2, 33.641206, 72.9955926, 100, 549.5801, 50.65657, 0, 504, 15
 107293732, 2, 33.641206, 72.9955926, 100, 549.5801, 53.15833, 0, 504, 15
 108293332, 2, 33.641206, 72.9955926, 100, 549.5801, 55.65892, 0, 504, 15
 109293765, 2, 33.641206, 72.9955926, 100, 549.5801, 58.16357, 0, 504, 15
 110293365, 2, 33.641206, 72.9955926, 100, 549.5801, 60.66127, 0, 504, 15
 111293798, 2, 33.641206, 72.9955926, 100, 549.5801, 63.16046, 0, 504, 15
 112293398, 2, 33.641206, 72.9955926, 100, 549.5801, 65.65646, 0, 504, 15
 113293831, 2, 33.641206, 72.9955926, 100, 549.5801, 68.15609, 0, 504, 15
 114293431, 2, 33.641206, 72.9955926, 100, 549.5801, 70.58094, 0, 504, 15
 115293864, 2, 33.641206, 72.9955926, 100, 549.5801, 72.52206, 0, 504, 15
 116293464, 2, 33.641206, 72.9955926, 100, 549.5801, 73.91518, 0, 504, 15
 117293897, 2, 33.641206, 72.9955926, 100, 549.5801, 74.76488, 0, 504, 15
 118293497, 2, 33.6412063, 72.9955925, 100, 549.5807, 75.05323, 0, 504, 15
 119293930, 2, 33.6412129, 72.9955897, 100, 549.5945, 75.11852, 0, 504, 15
 120293530, 2, 33.641228, 72.9955834, 100, 549.6259, 75.10033, 0, 504, 15
 121293963, 2, 33.6412509, 72.9955745, 100, 549.6718, 75.04234, 0, 504, 15
 122293563, 2, 33.641282, 72.9955635, 100, 549.7311, 74.9567, 0, 504, 15
 123293996, 2, 33.6413191, 72.9955528, 100, 549.7963, 74.8521, 0, 504, 15
 124293596, 2, 33.6413503, 72.9955478, 100, 549.8427, 74.76208, 0, 504, 15
 125294029, 2, 33.6413699, 72.9955538, 100, 549.8545, 74.71014, 0, 504, 15
 126293629, 2, 33.6413676, 72.9955732, 100, 549.8149, 74.73353, 0, 504, 15
 127294062, 2, 33.6413543, 72.9956001, 100, 549.7477, 74.78725, 0, 504, 15
 128293662, 2, 33.641338, 72.9956359, 100, 549.6587, 74.87326, 0, 504, 15
 129293262, 2, 33.6413148, 72.9956788, 100, 549.5455, 75.00147, 0, 504, 15
 130293695, 2, 33.6412842, 72.9957158, 100, 549.432, 75.12601, 0, 504, 15
 131293295, 2, 33.6412489, 72.9957369, 100, 549.3416, 75.22552, 0, 504, 15
 132293728, 2, 33.6412096, 72.9957434, 100, 549.2742, 75.30434, 0, 504, 15
 133293328, 2, 33.6411651, 72.9957371, 100, 549.2258, 75.35931, 0, 504, 15
 134293761, 2, 33.6411123, 72.9957211, 100, 549.1877, 75.39976, 0, 504, 15
 135293361, 2, 33.6410512, 72.9956973, 100, 549.1574, 75.43716, 0, 504, 15
 136293794, 2, 33.6409989, 72.9956639, 100, 549.1635, 75.42293, 0, 504, 15
 137293394, 2, 33.6409672, 72.995622, 100, 549.2189, 75.36091, 0, 504, 15
 138293827, 2, 33.6409557, 72.9955782, 100, 549.306, 75.27542, 0, 504, 15
 139293427, 2, 33.6409554, 72.9955285, 100, 549.421, 75.16235, 0, 504, 15
 140293860, 2, 33.6409636, 72.9954668, 100, 549.6475, 74.94043, 0, 504, 15
 141293460, 2, 33.6409788, 72.9953928, 100, 550.0509, 74.53994, 0, 504, 15
 142293893, 2, 33.6410024, 72.9953212, 100, 550.4627, 74.12579, 0, 504, 15
 143293493, 2, 33.6410353, 72.9952722, 100, 550.7811, 73.79743, 0, 504, 15
 144293926, 2, 33.6410743, 72.9952463, 100, 550.9948, 73.58465, 0, 504, 15
 145293526, 2, 33.6411245, 72.9952297, 100, 551.1851, 73.39887, 0, 504, 15
 146293959, 2, 33.6411881, 72.9952174, 100, 551.3818, 73.20572, 0, 504, 15
 147293559, 2, 33.6412636, 72.9952092, 100, 551.5834, 73.00327, 0, 504, 15
 148293992, 2, 33.6413481, 72.9952013, 100, 551.8057, 72.78161, 0, 504, 15
 149293592, 2, 33.6414364, 72.9951938, 100, 552.2527, 72.33876, 0, 504, 15
 150294025, 2, 33.6415171, 72.9952052, 100, 552.8345, 71.75723, 0, 504, 15
 151293625, 2, 33.6415742, 72.9952532, 100, 552.9771, 71.6101, 0, 504, 15
 152294058, 2, 33.6416086, 72.9953224, 100, 552.7899, 71.78624, 0, 504, 15
 153293658, 2, 33.6416359, 72.9954031, 100, 552.4635, 72.10517, 0, 504, 15
 154294091, 2, 33.6416663, 72.9954936, 100, 552.0905, 72.48318, 0, 504, 15
 155293691, 2, 33.6417012, 72.9955901, 100, 552.1385, 72.44242, 0, 504, 15
 156293291, 2, 33.6417312, 72.9956891, 100, 552.1515, 72.44267, 0, 504, 15
 157293724, 2, 33.6417402, 72.9957822, 100, 552.0143, 72.57369, 0, 504, 15
 158293324, 2, 33.6417221, 72.9958597, 100, 551.7084, 72.87389, 0, 504, 15
 159293757, 2, 33.6416873, 72.9959196, 100, 551.3207, 73.25361, 0, 504, 15
 160293357, 2, 33.6416408, 72.9959791, 100, 550.8524, 73.72268, 0, 504, 15
 161293790, 2, 33.6415837, 72.996045, 100, 550.3007, 74.2812, 0, 504, 15
 162293390, 2, 33.6415195, 72.9961148, 100, 549.6974, 74.88898, 0, 504, 15
 163293823, 2, 33.6414525, 72.9961867, 100, 549.0798, 75.50808, 0, 504, 15
 164293423, 2, 33.6413827, 72.9962553, 100, 548.5515, 76.03738, 0, 504, 15
 165293856, 2, 33.6413115, 72.9963084, 100, 548.3116, 76.28084, 0, 504, 15
 166293456, 2, 33.641242, 72.9963339, 100, 548.1233, 76.46082, 0, 504, 15
 167293889, 2, 33.6411801, 72.9963314, 100, 548.0051, 76.57385, 0, 504, 15
 168293489, 2, 33.641125, 72.9963108, 100, 547.9396, 76.63547, 0, 504, 15
 169293922, 2, 33.6410641, 72.9962766, 100, 547.895, 76.68311, 0, 504, 15
 170293522, 2, 33.6409957, 72.9962293, 100, 547.8702, 76.71443, 0, 504, 15
 171293955, 2, 33.6409241, 72.9961713, 100, 547.8716, 76.71526, 0, 504, 15
 172293555, 2, 33.6408527, 72.9961066, 100, 547.8979, 76.6897, 0, 504, 15
 173293988, 2, 33.6407849, 72.9960354, 100, 547.9564, 76.6316, 0, 504, 15
 174293588, 2, 33.6407292, 72.99596, 100, 548.0547, 76.53674, 0, 504, 15
 175294021, 2, 33.6406921, 72.9958854, 100, 548.1884, 76.3936, 0, 504, 15
 176293621, 2, 33.6406715, 72.9958124, 100, 548.3478, 76.22967, 0, 504, 15
 177294054, 2, 33.6406605, 72.995731, 100, 548.5455, 76.03362, 0, 504, 15
 178293654, 2, 33.6406569, 72.9956357, 100, 548.7914, 75.79398, 0, 504, 15
 179294087, 2, 33.6406601, 72.9955321, 100, 549.0675, 75.51825, 0, 504, 15
 180293687, 2, 33.6406679, 72.9954248, 100, 549.4651, 75.1203, 0, 504, 15
 181293287, 2, 33.6406779, 72.9953173, 100, 549.9368, 74.64771, 0, 504, 15
 182293720, 2, 33.6406879, 72.9952103, 100, 550.4132, 74.17036, 0, 504, 15
 183293320, 2, 33.6406974, 72.9951038, 100, 550.8934, 73.68941, 0, 504, 15
 184293753, 2, 33.6407102, 72.9949984, 100, 551.3836, 73.20532, 0, 504, 15
 185293353, 2, 33.6407375, 72.994907, 100, 551.8629, 72.72639, 0, 504, 15
 186293786, 2, 33.6407894, 72.9948514, 100, 552.2729, 72.31393, 0, 504, 15
 187293386, 2, 33.6408539, 72.994827, 100, 552.5923, 71.98671, 0, 504, 15
 188293819, 2, 33.6409266, 72.9948111, 100, 552.9055, 71.66586, 0, 504, 15
 189293419, 2, 33.6410073, 72.9947903, 100, 553.2786, 71.29787, 0, 504, 15
 190293852, 2, 33.6410926, 72.9947635, 100, 553.7113, 70.87191, 0, 504, 15
 191293452, 2, 33.6411797, 72.9947335, 100, 554.1833, 70.40294, 0, 504, 15
 192293885, 2, 33.6412665, 72.9947027, 100, 554.676, 69.9107, 0, 504, 15
 193293485, 2, 33.6413538, 72.9946747, 100, 555.1692, 69.41499, 0, 504, 15
 194293918, 2, 33.6414407, 72.9946568, 100, 555.8063, 68.7859, 0, 504, 15
 195293518, 2, 33.6415187, 72.9946599, 100, 556.4644, 68.12316, 0, 504, 15
 196293951, 2, 33.641582, 72.9946849, 100, 556.847, 67.73368, 0, 504, 15
 197293551, 2, 33.6416373, 72.9947258, 100, 557.0504, 67.52533, 0, 504, 15
 198293984, 2, 33.6416967, 72.994782, 100, 557.1802, 67.39812, 0, 504, 15
 199293584, 2, 33.6417601, 72.9948498, 100, 557.2567, 67.3278, 0, 504, 15
 200294017, 2, 33.6418241, 72.9949243, 100, 557.2831, 67.30303, 0, 504, 15
 201293617, 2, 33.6418875, 72.9950016, 100, 557.2747, 67.31213, 0, 504, 15
 202294050, 2, 33.6419497, 72.9950797, 100, 557.2413, 67.34472, 0, 504, 15
 203293650, 2, 33.6420095, 72.9951599, 100, 557.1627, 67.4219, 0, 504, 15
 204294083, 2, 33.6420626, 72.9952445, 100, 556.9885, 67.60282, 0, 504, 15
 205293683, 2, 33.6420988, 72.9953295, 100, 556.6672, 67.92177, 0, 504, 15
 206293283, 2, 33.6421134, 72.9954093, 100, 556.2051, 68.37758, 0, 504, 15
 207293716, 2, 33.6421121, 72.995486, 100, 555.6394, 68.93949, 0, 504, 15
 208293316, 2, 33.6421011, 72.995574, 100, 555.2634, 69.3185, 0, 504, 15
 209293749, 2, 33.6420839, 72.9956729, 100, 554.8768, 69.70875, 0, 504, 15
 210293349, 2, 33.6420637, 72.9957769, 100, 554.4576, 70.12863, 0, 504, 15
 211293782, 2, 33.6420429, 72.9958803, 100, 554.0405, 70.55563, 0, 504, 15
