Time,VIBE_IMU,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ,VIBE_Clip
 74893364, 0, 0.002890197, 0.0027326, 0.003075831, 0
 74893364, 1, 0.005906149, 0.005724349, 0.005686004, 0
 74993324, 0, 0.00302358, 0.002632954, 0.002746485, 0
 74993324, 1, 0.005682351, 0.005493894, 0.00529543, 0
 75093284, 0, 0.002562872, 0.002814092, 0.002917126, 0
 75093284, 1, 0.005266067, 0.005915497, 0.005448821, 0
 75194077, 0, 0.002490148, 0.002719725, 0.002779295, 0
 75194077, 1, 0.005587427, 0.005785504, 0.00570817, 0
 75294037, 0, 0.002934039, 0.002791821, 0.002641578, 0
 75294037, 1, 0.005747582, 0.005483376, 0.005891209, 0
 75393997, 0, 0.002983848, 0.002968233, 0.002917465, 0
 75393997, 1, 0.005738216, 0.005555592, 0.005874487, 0
 75493957, 0, 0.002789946, 0.003145188, 0.00265966, 0
 75493957, 1, 0.005588715, 0.005537372, 0.00594812, 0
 75593917, 0, 0.002836307, 0.00269322, 0.002806797, 0
 75593917, 1, 0.005687255, 0.005401969, 0.005718889, 0
 75693877, 0, 0.002571823, 0.00279539, 0.002738444, 0
 75693877, 1, 0.005544486, 0.005355349, 0.005515204, 0
 75793837, 0, 0.002537913, 0.00263699, 0.002742006, 0
 75793837, 1, 0.005710852, 0.005123752, 0.005702553, 0
 75893797, 0, 0.002634484, 0.003113023, 0.002839641, 0
 75893797, 1, 0.005613276, 0.004991391, 0.005577588, 0
 75993757, 0, 0.002598117, 0.002865694, 0.002956851, 0
 75993757, 1, 0.005734667, 0.005370781, 0.006001491, 0
 76093717, 0, 0.002608343, 0.002694836, 0.002843766, 0
 76093717, 1, 0.005831346, 0.005476851, 0.005744523, 0
 76193677, 0, 0.002548838, 0.002647087, 0.002949547, 0
 76193677, 1, 0.005379068, 0.005583983, 0.005778032, 0
 76293637, 0, 0.002713347, 0.002918322, 0.002881689, 0
 76293637, 1, 0.005505571, 0.005848983, 0.005407136, 0
 76393597, 0, 0.002783694, 0.002793552, 0.002729981, 0
 76393597, 1, 0.006020545, 0.005782114, 0.005644433, 0
 76493557, 0, 0.00278856, 0.002831805, 0.002644615, 0
 76493557, 1, 0.005893945, 0.005731912, 0.005831355, 0
 76593517, 0, 0.002753688, 0.002799272, 0.002882852, 0
 76593517, 1, 0.005516903, 0.005528168, 0.005415817, 0
 76693477, 0, 0.002740663, 0.002689476, 0.002856801, 0
 76693477, 1, 0.005699441, 0.00569236, 0.005861011, 0
 76793437, 0, 0.002831975, 0.00262256, 0.002873038, 0
 76793437, 1, 0.005521058, 0.005739547, 0.005682718, 0
 76893397, 0, 0.002902783, 0.002617433, 0.002683572, 0
 76893397, 1, 0.005565107, 0.005189757, 0.005640273, 0
 76993357, 0, 0.002394895, 0.00242533, 0.002517325, 0
 76993357, 1, 0.005548985, 0.005570451, 0.005918803, 0
 77093317, 0, 0.00274923, 0.002709015, 0.002569724, 0
 77093317, 1, 0.005487231, 0.005706625, 0.005811122, 0
 77193277, 0, 0.002814557, 0.002879441, 0.00239568, 0
 77193277, 1, 0.005541563, 0.005483618, 0.005998876, 0
 77294070, 0, 0.00286369, 0.002677917, 0.002850414, 0
 77294070, 1, 0.005831215, 0.005382452, 0.00545879, 0
 77394030, 0, 0.002787944, 0.002708073, 0.002709185, 0
 77394030, 1, 0.005351715, 0.005417143, 0.005563939, 0
 77493990, 0, 0.002842233, 0.002583574, 0.002780903, 0
 77493990, 1, 0.005350025, 0.005820328, 0.005848919, 0
 77593950, 0, 0.002983612, 0.002673416, 0.002818449, 0
 77593950, 1, 0.005793239, 0.005577574, 0.005546421, 0
 77693910, 0, 0.002876197, 0.003083981, 0.002822675, 0
 77693910, 1, 0.006197821, 0.005653352, 0.00607298, 0
 77793870, 0, 0.002854141, 0.003180925, 0.002800971, 0
 77793870, 1, 0.005932802, 0.005309243, 0.005748504, 0
 77893830, 0, 0.002712165, 0.002980747, 0.002618804, 0
 77893830, 1, 0.005622079, 0.00563846, 0.00594149, 0
 77993790, 0, 0.002966858, 0.002935822, 0.00285953, 0
 77993790, 1, 0.005548473, 0.005449187, 0.005911845, 0
 78093750, 0, 0.002806491, 0.002723581, 0.002576006, 0
 78093750, 1, 0.005808289, 0.005215408, 0.005582704, 0
 78193710, 0, 0.00272569, 0.002679761, 0.002687954, 0
 78193710, 1, 0.005596542, 0.005364342, 0.005862189, 0
 78293670, 0, 0.00273373, 0.002942609, 0.002905163, 0
 78293670, 1, 0.005604948, 0.005938391, 0.005955865, 0
 78393630, 0, 0.002672567, 0.003211242, 0.002805345, 0
 78393630, 1, 0.005575501, 0.005732322, 0.005955216, 0
 78493590, 0, 0.002582451, 0.002864744, 0.002852605, 0
 78493590, 1, 0.00552842, 0.005490092, 0.005681609, 0
 78593550, 0, 0.002589229, 0.002926912, 0.002595454, 0
 78593550, 1, 0.005918599, 0.005459438, 0.005630617, 0
 78693510, 0, 0.002685449, 0.002797702, 0.002581553, 0
 78693510, 1, 0.005491386, 0.006077425, 0.005319837, 0
 78793470, 0, 0.002591036, 0.002925206, 0.002656087, 0
 78793470, 1, 0.005713397, 0.005856071, 0.005572085, 0
 78893430, 0, 0.002818788, 0.002806234, 0.0029115, 0
 78893430, 1, 0.005868432, 0.006051113, 0.005510604, 0
