Time,XKF1_C,XKF1_Roll,XKF1_Pitch,XKF1_Yaw,XKF1_VN,XKF1_VE,XKF1_VD,XKF1_dPD,XKF1_PN,XKF1_PE,XKF1_PD,XKF1_GX,XKF1_GY,XKF1_GZ,XKF1_OH
 74893364, 0, 0.06, 0.05, 0.66, -0.01689776, 0.01579276, 0.0002308543, 9.33804E-05, -0.01312812, 0.0125257, 0.02748054, 0.04, 0.04, 0.02, 558.1
 74893364, 1, 0.06, 0.05, 0.66, -0.01648689, 0.01586702, -0.0004226831, -2.784042E-05, -0.01288346, 0.01274189, 0.02696411, 0.04, 0.04, 0.02, 558.1
 74993324, 0, 0.06, 0.05, 0.66, -0.01706804, 0.01597333, 0.0002441788, 0.0001167346, -0.01338212, 0.01274493, 0.02749277, 0.04, 0.04, 0.02, 558.1
 74993324, 1, 0.07, 0.05, 0.66, -0.01661169, 0.01606327, -0.0003700207, -2.809531E-05, -0.01300519, 0.01282215, 0.02695856, 0.04, 0.04, 0.02, 558.1
 75093284, 0, 0.06, 0.05, 0.67, -0.01666932, 0.01565569, 0.0002469369, 9.309501E-05, -0.01302553, 0.01239137, 0.02750123, 0.04, 0.04, 0.02, 558.1
 75093284, 1, 0.07, 0.05, 0.66, -0.01635694, 0.01584051, -0.0004085121, -8.525835E-05, -0.01272475, 0.01252712, 0.02695245, 0.04, 0.04, 0.02, 558.1
 75194077, 0, 0.06, 0.05, 0.67, -0.01670468, 0.01575285, 0.0002107432, 7.765642E-05, -0.01329222, 0.01263519, 0.02751118, 0.04, 0.04, 0.02, 558.1
 75194077, 1, 0.07, 0.05, 0.66, -0.01643627, 0.01599486, -0.000242808, 1.268955E-05, -0.01304275, 0.0128262, 0.02694357, 0.04, 0.04, 0.02, 558.1
 75294037, 0, 0.06, 0.05, 0.67, -0.01593107, 0.01513642, 0.0002684403, 9.929408E-05, -0.01290417, 0.01226992, 0.02751672, 0.04, 0.04, 0.02, 558.1
 75294037, 1, 0.06, 0.05, 0.66, -0.01562933, 0.01510762, -0.0002104453, 7.770136E-05, -0.01251614, 0.01230722, 0.02695771, 0.04, 0.04, 0.02, 558.1
 75393997, 0, 0.06, 0.05, 0.67, -0.01565627, 0.01489205, 0.0002511968, 0.0001004442, -0.01308081, 0.01244762, 0.02752993, 0.04, 0.04, 0.02, 558.1
 75393997, 1, 0.06, 0.05, 0.67, -0.01538852, 0.01496225, -0.0002524933, -1.143857E-05, -0.01277776, 0.01255509, 0.026956, 0.04, 0.04, 0.02, 558.1
 75493957, 0, 0.06, 0.05, 0.67, -0.01441932, 0.01371684, 0.000277922, 9.126462E-05, -0.01258708, 0.01198585, 0.02753677, 0.04, 0.04, 0.02, 558.1
 75493957, 1, 0.07, 0.05, 0.67, -0.01415285, 0.01375156, -0.0002837821, -6.386903E-05, -0.01234038, 0.01212095, 0.0269511, 0.04, 0.04, 0.02, 558.1
 75593917, 0, 0.07, 0.05, 0.67, -0.01369283, 0.01305689, 0.0002467475, 8.055427E-05, -0.0125713, 0.01197923, 0.02754947, 0.04, 0.04, 0.02, 558.1
 75593917, 1, 0.07, 0.05, 0.67, -0.01339536, 0.01328557, -0.0003199053, -0.0001431306, -0.01234705, 0.0121371, 0.02694165, 0.04, 0.04, 0.02, 558.1
 75693877, 0, 0.07, 0.05, 0.67, -0.01206576, 0.01144692, 0.00025023, 4.538779E-05, -0.01188041, 0.0113236, 0.02755159, 0.04, 0.04, 0.02, 558.1
 75693877, 1, 0.07, 0.05, 0.67, -0.011668, 0.0117231, -0.0003245418, -0.0001246724, -0.01166781, 0.01149771, 0.02693336, 0.04, 0.04, 0.02, 558.1
 75793837, 0, 0.07, 0.06, 0.67, -0.01095786, 0.0104837, 0.000235251, 5.31787E-05, -0.01162136, 0.01107978, 0.02756062, 0.04, 0.04, 0.02, 558.1
 75793837, 1, 0.07, 0.05, 0.67, -0.0105827, 0.01070916, -0.0002724582, -9.402254E-05, -0.0113908, 0.01126211, 0.02692308, 0.04, 0.04, 0.02, 558.1
 75893797, 0, 0.07, 0.06, 0.67, -0.009119674, 0.00867014, 0.000224735, 1.6468E-05, -0.01074972, 0.01025576, 0.02756146, 0.04, 0.04, 0.02, 558.1
 75893797, 1, 0.07, 0.06, 0.67, -0.008704712, 0.008834872, -0.0003374719, -0.0001257595, -0.01052368, 0.01043163, 0.02691621, 0.04, 0.04, 0.02, 558.1
 75993757, 0, 0.07, 0.06, 0.67, -0.007879559, 0.007461549, 0.0001996148, 2.024842E-05, -0.01026431, 0.009794765, 0.02756627, 0.04, 0.04, 0.02, 558.1
 75993757, 1, 0.07, 0.06, 0.67, -0.007380192, 0.007653902, -0.0002821494, -9.144779E-05, -0.01001231, 0.009956009, 0.0269037, 0.04, 0.04, 0.02, 558.1
 76093717, 0, 0.07, 0.06, 0.67, -0.006091429, 0.005745629, 0.0001987257, 1.807302E-06, -0.009282549, 0.008854811, 0.02756524, 0.04, 0.04, 0.02, 558.1
 76093717, 1, 0.07, 0.06, 0.67, -0.005684187, 0.005871528, -0.0002045951, 4.308118E-05, -0.009041461, 0.009018308, 0.02690464, 0.04, 0.04, 0.02, 558.1
 76193677, 0, 0.07, 0.06, 0.67, -0.004903462, 0.004656066, 0.0001676546, 1.418463E-06, -0.008653772, 0.008256925, 0.02756984, 0.04, 0.04, 0.02, 558.1
 76193677, 1, 0.07, 0.06, 0.67, -0.00448693, 0.004615707, -0.0001705098, 4.481716E-05, -0.008418209, 0.008411346, 0.02690608, 0.04, 0.04, 0.02, 558.1
 76293637, 0, 0.07, 0.06, 0.67, -0.003380907, 0.003260943, 0.0001307078, -5.078097E-05, -0.007657797, 0.007312056, 0.02756485, 0.04, 0.04, 0.02, 558.1
 76293637, 1, 0.07, 0.06, 0.67, -0.002912305, 0.003038735, -0.0001533086, 5.586191E-05, -0.007440533, 0.007439168, 0.02691329, 0.04, 0.04, 0.02, 558.1
 76393597, 0, 0.07, 0.06, 0.67, -0.002356104, 0.002310163, 9.56329E-05, -5.891435E-05, -0.006990406, 0.00668324, 0.02756359, 0.04, 0.04, 0.02, 558.1
 76393597, 1, 0.07, 0.06, 0.67, -0.001942216, 0.001987004, -0.0001793375, -6.589727E-06, -0.006760317, 0.006761563, 0.02691889, 0.04, 0.04, 0.02, 558.1
 76493557, 0, 0.07, 0.06, 0.67, -0.001177131, 0.001190016, 0.0001016088, -5.096695E-05, -0.006061849, 0.005802402, 0.02755604, 0.04, 0.04, 0.02, 558.1
 76493557, 1, 0.07, 0.06, 0.67, -0.0008306933, 0.0008229425, -0.0002415615, -6.436002E-05, -0.005843444, 0.005842267, 0.02691864, 0.04, 0.04, 0.02, 558.1
 76593517, 0, 0.08, 0.07, 0.67, -0.0003818669, 0.0004358445, 0.0001658213, 4.25822E-05, -0.00542726, 0.005204492, 0.027558, 0.04, 0.04, 0.02, 558.1
 76593517, 1, 0.08, 0.06, 0.67, -0.0001399731, 9.019824E-05, -0.0002457837, -0.0001003886, -0.00521157, 0.005197351, 0.02690985, 0.04, 0.04, 0.02, 558.1
 76693477, 0, 0.08, 0.07, 0.67, 0.000520149, -0.0003400367, 0.0001804556, 5.639279E-05, -0.004614239, 0.004436099, 0.02756195, 0.04, 0.04, 0.02, 558.1
 76693477, 1, 0.08, 0.06, 0.67, 0.0007308232, -0.0007836671, -0.0001518843, 3.742251E-05, -0.004357546, 0.004327269, 0.02691696, 0.04, 0.04, 0.02, 558.1
 76793437, 0, 0.08, 0.07, 0.68, 0.001002869, -0.0008227599, 0.0001867688, 8.520528E-05, -0.004062969, 0.003922292, 0.02757102, 0.04, 0.04, 0.02, 558.1
 76793437, 1, 0.08, 0.07, 0.67, 0.001115889, -0.001212725, -1.460049E-05, 0.00016069, -0.003869155, 0.003825035, 0.02692179, 0.04, 0.04, 0.02, 558.1
 76893397, 0, 0.08, 0.07, 0.68, 0.00163502, -0.001376614, 0.0002224803, 8.404272E-05, -0.003393119, 0.003287416, 0.02757405, 0.04, 0.04, 0.02, 558.1
 76893397, 1, 0.08, 0.07, 0.67, 0.001695305, -0.001661769, 2.346662E-05, 0.0001863553, -0.003252986, 0.00321158, 0.02694304, 0.04, 0.04, 0.02, 558.1
 76993357, 0, 0.08, 0.07, 0.68, 0.001954519, -0.0016945, 0.0001798476, 5.593413E-05, -0.00294004, 0.002863816, 0.0275818, 0.04, 0.04, 0.02, 558.1
 76993357, 1, 0.08, 0.07, 0.68, 0.002084185, -0.002010001, -2.885435E-05, 0.0001098575, -0.002827649, 0.002789091, 0.02695734, 0.04, 0.04, 0.02, 558.1
 77093317, 0, 0.08, 0.07, 0.68, 0.002278743, -0.002056982, 0.0001757316, 8.628234E-06, -0.00240742, 0.002353643, 0.02758229, 0.04, 0.04, 0.02, 558.1
 77093317, 1, 0.08, 0.07, 0.68, 0.002371027, -0.002333431, -3.718328E-05, 5.234616E-05, -0.002310503, 0.002281909, 0.02696224, 0.04, 0.04, 0.02, 558.1
 77193277, 0, 0.09, 0.07, 0.68, 0.002435497, -0.002243188, 0.0001741311, 2.567696E-05, -0.002061003, 0.002017423, 0.027587, 0.04, 0.04, 0.02, 558.1
 77193277, 1, 0.08, 0.07, 0.68, 0.002504577, -0.002570494, -3.333005E-05, 2.473941E-05, -0.001969053, 0.001941669, 0.02696376, 0.04, 0.04, 0.02, 558.1
 77294070, 0, 0.09, 0.08, 0.68, 0.002592027, -0.002380941, 0.0001741377, 8.52536E-06, -0.001652117, 0.001621895, 0.02758615, 0.04, 0.04, 0.02, 558.1
 77294070, 1, 0.09, 0.07, 0.68, 0.002511317, -0.002715666, -0.0001601168, -9.507312E-05, -0.00158003, 0.001535011, 0.02696443, 0.04, 0.04, 0.02, 558.1
 77394030, 0, 0.09, 0.08, 0.68, 0.002619058, -0.002316144, 0.0001488951, 1.061566E-05, -0.001394908, 0.001380424, 0.02758995, 0.04, 0.04, 0.02, 558.1
 77394030, 1, 0.09, 0.08, 0.68, 0.00240464, -0.002727403, -0.0002322667, -0.0001746168, -0.001370743, 0.001297719, 0.02695331, 0.04, 0.04, 0.02, 558.1
