Time,XKF2_C,XKF2_AX,XKF2_AY,XKF2_AZ,XKF2_VWN,XKF2_VWE,XKF2_MN,XKF2_ME,XKF2_MD,XKF2_MX,XKF2_MY,XKF2_MZ,XKF2_IDX,XKF2_IDY,XKF2_IS
 74893364, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74893364, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74993324, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74993324, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75093284, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75093284, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75194077, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75194077, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75294037, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75294037, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75393997, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75393997, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75493957, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75493957, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75593917, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75593917, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75693877, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75693877, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75793837, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75793837, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75893797, 0, -0.01, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75893797, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75993757, 0, -0.01, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75993757, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76093717, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76093717, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76193677, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76193677, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76293637, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76293637, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76393597, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76393597, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76493557, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76493557, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76593517, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76593517, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
