Time,XKF3_C,XKF3_IVN,XKF3_IVE,XKF3_IVD,XKF3_IPN,XKF3_IPE,XKF3_IPD,XKF3_IMX,XKF3_IMY,XKF3_IMZ,XKF3_IYAW,XKF3_IVT,XKF3_RErr,XKF3_ErSc
 74893364, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 0, 4.800897E-05
 74893364, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 0, 4.723484E-05
 74993324, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 0, 4.800897E-05
 74993324, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 0, 4.723484E-05
 75093284, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 0, 4.688392E-05
 75093284, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 6.006034E-06, 4.703274E-05
 75194077, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 0, 4.688392E-05
 75194077, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 1.195879E-05, 4.703274E-05
 75294037, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.58, 0, 0, 4.535421E-05
 75294037, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 1.195879E-05, 4.518669E-05
 75393997, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 0, 4.535421E-05
 75393997, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 1.195879E-05, 4.518669E-05
 75493957, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.58, 0, 0, 4.013692E-05
 75493957, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 2.710808E-05, 4.009482E-05
 75593917, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 0, 4.013692E-05
 75593917, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 2.710808E-05, 4.009482E-05
 75693877, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.58, 0, 0, 3.187019E-05
 75693877, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 5.178197E-05, 3.14214E-05
 75793837, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 0, 3.187019E-05
 75793837, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 5.178197E-05, 3.14214E-05
 75893797, 0, -0.01, 0.01, 0, -0.01, 0, 0, 0, 0, 0, 0.57, 0, 0, 2.295376E-05
 75893797, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 7.718489E-05, 2.25493E-05
 75993757, 0, -0.01, 0.01, 0, -0.01, 0, 0, 0, 0, 0, 0.57, 0, 0, 2.295376E-05
 75993757, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.57, 0, 7.718489E-05, 2.25493E-05
 76093717, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.57, 0, 0, 1.548176E-05
 76093717, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.57, 0, 9.83875E-05, 1.508934E-05
 76193677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.57, 0, 0, 1.548176E-05
 76193677, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.57, 0, 9.83875E-05, 1.508934E-05
 76293637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.57, 0, 0, 1.015528E-05
 76293637, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.57, 0, 9.83875E-05, 9.821858E-06
 76393597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.57, 0, 0, 1.015528E-05
 76393597, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.57, 0, 9.83875E-05, 9.821858E-06
 76493557, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.57, 0, 0, 6.855321E-06
 76493557, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.57, 0, 9.83875E-05, 6.467006E-06
 76593517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.57, 0, 0, 6.855321E-06
 76593517, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.56, 0, 9.83875E-05, 6.467006E-06
 76693477, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.56, 0, 0, 4.774161E-06
 76693477, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.56, 0, 9.83875E-05, 4.548347E-06
 76793437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.56, 0, 0, 4.774161E-06
 76793437, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.56, 0, 9.83875E-05, 4.548347E-06
 76893397, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.56, 0, 0, 3.468794E-06
 76893397, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.56, 0, 9.946706E-05, 3.373201E-06
 76993357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.56, 0, 0, 3.468794E-06
 76993357, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.56, 0, 9.946706E-05, 3.373201E-06
 77093317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.56, 0, 0, 2.636634E-06
