Time,XKF4_C,XKF4_SV,XKF4_SP,XKF4_SH,XKF4_SM,XKF4_SVT,XKF4_errRP,XKF4_OFN,XKF4_OFE,XKF4_FS,XKF4_TS,XKF4_SS,XKF4_GPS,XKF4_PI
 74893364, 0, 0, 0, 0, 0, 0, 0.005845601, 0.02741406, -0.02685948, 0, 48, 107327, 0, 0
 74893364, 1, 0, 0, 0, 0, 0, 0.005813518, 0.02821827, -0.02734508, 0, 48, 107327, 0, 0
 74993324, 0, 0, 0, 0, 0, 0, 0.005926053, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 74993324, 1, 0, 0, 0, 0, 0, 0.005903525, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 75093284, 0, 0, 0, 0, 0, 0, 0.005848635, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 75093284, 1, 0, 0, 0, 0, 0, 0.005817099, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 75194077, 0, 0, 0, 0, 0, 0, 0.005929077, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 75194077, 1, 0, 0, 0, 0, 0, 0.005895334, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 75294037, 0, 0, 0, 0, 0, 0, 0.00585985, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 75294037, 1, 0, 0, 0, 0, 0, 0.00583279, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 75393997, 0, 0, 0, 0, 0, 0, 0.005940457, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 75393997, 1, 0, 0, 0, 0, 0, 0.005910612, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 75493957, 0, 0, 0, 0, 0, 0, 0.005891291, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 75493957, 1, 0, 0, 0, 0, 0, 0.005862474, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 75593917, 0, 0, 0, 0, 0, 0, 0.005971738, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 75593917, 1, 0, 0, 0, 0, 0, 0.005942394, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 75693877, 0, 0, 0, 0, 0, 0, 0.00595292, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 75693877, 1, 0, 0, 0, 0, 0, 0.005925459, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 75793837, 0, 0, 0, 0, 0, 0, 0.006033013, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 75793837, 1, 0, 0, 0, 0, 0, 0.006004757, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 75893797, 0, 0, 0, 0, 0, 0, 0.006045295, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 75893797, 1, 0, 0, 0, 0, 0, 0.006018517, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 75993757, 0, 0, 0, 0, 0, 0, 0.006125109, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 75993757, 1, 0, 0, 0, 0, 0, 0.006097882, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 76093717, 0, 0, 0, 0, 0, 0, 0.006161588, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 76093717, 1, 0, 0, 0, 0, 0, 0.006135032, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 76193677, 0, 0, 0, 0, 0, 0, 0.006241074, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 76193677, 1, 0, 0, 0, 0, 0, 0.006207359, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 76293637, 0, 0, 0, 0, 0, 0, 0.006293308, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 76293637, 1, 0, 0, 0, 0, 0, 0.006258489, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 76393597, 0, 0, 0, 0, 0, 0, 0.006372454, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 76393597, 1, 0, 0, 0, 0, 0, 0.006337206, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 76493557, 0, 0, 0, 0, 0, 0, 0.006433285, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 76493557, 1, 0, 0, 0, 0, 0, 0.006398574, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 76593517, 0, 0, 0, 0, 0, 0, 0.0065123, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 76593517, 1, 0, 0, 0, 0, 0, 0.006476919, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 76693477, 0, 0, 0, 0, 0, 0, 0.006578895, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 76693477, 1, 0, 0, 0, 0, 0, 0.006552754, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
