Time,XKQ_C,XKQ_Q1,XKQ_Q2,XKQ_Q3,XKQ_Q4
 74893364, 0, 0.9999827, 0.000601668, 0.0005191487, 0.005835979
 74893364, 1, 0.9999828, 0.0006056045, 0.0004987088, 0.005813039
 74993324, 0, 0.9999826, 0.0006037576, 0.000520541, 0.005844085
 74993324, 1, 0.9999828, 0.0006147767, 0.0005017019, 0.005819998
 75093284, 0, 0.9999825, 0.0006005438, 0.0005168571, 0.005851936
 75093284, 1, 0.9999827, 0.0006086099, 0.0004963611, 0.005831198
 75194077, 0, 0.9999825, 0.0006045622, 0.0005189458, 0.005858312
 75194077, 1, 0.9999827, 0.0006090113, 0.0005018224, 0.005840431
 75294037, 0, 0.9999825, 0.0006041768, 0.0005150095, 0.005861635
 75294037, 1, 0.9999827, 0.0006051917, 0.0004986473, 0.005841208
 75393997, 0, 0.9999825, 0.0006063582, 0.0005173039, 0.005865951
 75393997, 1, 0.9999826, 0.0006047861, 0.0005038637, 0.005849378
 75493957, 0, 0.9999824, 0.0006069033, 0.0005179213, 0.005872229
 75493957, 1, 0.9999825, 0.0006083176, 0.0005038168, 0.005856212
 75593917, 0, 0.9999824, 0.0006115404, 0.0005231284, 0.005877574
 75593917, 1, 0.9999825, 0.0006157416, 0.0005116523, 0.00585975
 75693877, 0, 0.9999824, 0.0006155518, 0.0005269542, 0.005881504
 75693877, 1, 0.9999825, 0.0006182723, 0.0005125981, 0.005861493
 75793837, 0, 0.9999824, 0.0006235547, 0.00053449, 0.005886772
 75793837, 1, 0.9999824, 0.0006280968, 0.0005209708, 0.005870171
 75893797, 0, 0.9999823, 0.0006288878, 0.0005393828, 0.005890948
 75893797, 1, 0.9999824, 0.0006343168, 0.0005285759, 0.005873268
 75993757, 0, 0.9999822, 0.0006377159, 0.0005477924, 0.005896863
 75993757, 1, 0.9999824, 0.0006420214, 0.0005456572, 0.005877519
 76093717, 0, 0.9999822, 0.0006468697, 0.0005556648, 0.005901368
 76093717, 1, 0.9999824, 0.0006456168, 0.0005545744, 0.005875713
 76193677, 0, 0.9999822, 0.0006592093, 0.0005670792, 0.005906303
 76193677, 1, 0.9999824, 0.0006577721, 0.0005577873, 0.005880195
 76293637, 0, 0.9999821, 0.0006687361, 0.0005788082, 0.005913289
 76293637, 1, 0.9999823, 0.0006629113, 0.0005620628, 0.005886371
 76393597, 0, 0.9999821, 0.0006804886, 0.00059131, 0.005919498
 76393597, 1, 0.9999822, 0.0006755308, 0.000570936, 0.005890846
 76493557, 0, 0.9999821, 0.0006923425, 0.0006032149, 0.005923321
 76493557, 1, 0.9999822, 0.0006896908, 0.0005812432, 0.005901488
 76593517, 0, 0.999982, 0.0007064314, 0.0006179848, 0.005927634
 76593517, 1, 0.9999821, 0.0007067711, 0.000593602, 0.005908695
 76693477, 0, 0.9999819, 0.0007197768, 0.000630973, 0.005931401
 76693477, 1, 0.9999821, 0.0007196163, 0.0006113795, 0.005914734
 76793437, 0, 0.9999819, 0.0007320117, 0.0006459544, 0.00593643
 76793437, 1, 0.999982, 0.0007319527, 0.00062319, 0.005922457
 76893397, 0, 0.9999819, 0.0007442835, 0.0006597208, 0.005942198
 76893397, 1, 0.9999819, 0.0007370427, 0.0006319464, 0.005929119
 76993357, 0, 0.9999818, 0.0007593864, 0.0006744936, 0.005947775
 76993357, 1, 0.9999819, 0.0007473202, 0.0006470068, 0.005937753
 77093317, 0, 0.9999818, 0.0007748103, 0.0006868422, 0.005952958
 77093317, 1, 0.9999818, 0.0007594958, 0.0006578753, 0.005943317
 77193277, 0, 0.9999817, 0.0007886827, 0.000700993, 0.005959771
 77193277, 1, 0.9999818, 0.0007757029, 0.0006773366, 0.005948729
 77294070, 0, 0.9999816, 0.0008049242, 0.0007147766, 0.005965804
 77294070, 1, 0.9999817, 0.0007936406, 0.0006914368, 0.005958944
 77394030, 0, 0.9999816, 0.0008186456, 0.0007295068, 0.005972777
 77394030, 1, 0.9999816, 0.000804379, 0.0007086645, 0.005965503
 77493990, 0, 0.9999815, 0.0008332189, 0.0007465949, 0.005980996
 77493990, 1, 0.9999816, 0.0008141622, 0.0007193119, 0.005969979
 77593950, 0, 0.9999815, 0.0008493958, 0.0007625277, 0.00598502
 77593950, 1, 0.9999815, 0.0008353213, 0.0007338797, 0.005973951
 77693910, 0, 0.9999813, 0.0008642106, 0.0007775882, 0.00599419
 77693910, 1, 0.9999815, 0.0008510528, 0.0007506584, 0.00597964
 77793870, 0, 0.9999813, 0.000880397, 0.0007929212, 0.006001318
 77793870, 1, 0.9999814, 0.0008657295, 0.0007639465, 0.005987048
 77893830, 0, 0.9999812, 0.0008951969, 0.0008085986, 0.006007805
 77893830, 1, 0.9999813, 0.0008813894, 0.000780676, 0.005993426
 77993790, 0, 0.9999812, 0.0009112403, 0.000823867, 0.006012646
 77993790, 1, 0.9999812, 0.0008983693, 0.0007949296, 0.006004338
 78093750, 0, 0.9999811, 0.0009264146, 0.0008397462, 0.006019108
 78093750, 1, 0.9999812, 0.000912876, 0.0008114179, 0.006012573
 78193710, 0, 0.999981, 0.000940265, 0.0008549208, 0.006026581
 78193710, 1, 0.9999811, 0.0009298431, 0.0008214128, 0.006025015
 78293670, 0, 0.9999809, 0.0009554253, 0.0008705537, 0.006035487
 78293670, 1, 0.999981, 0.0009490847, 0.0008376864, 0.006030562
 78393630, 0, 0.9999809, 0.0009724696, 0.0008841532, 0.006043564
 78393630, 1, 0.9999809, 0.0009652961, 0.0008522973, 0.006036514
 78493590, 0, 0.9999808, 0.0009869394, 0.0008998221, 0.006052457
 78493590, 1, 0.9999809, 0.0009848131, 0.000869711, 0.006036956
 78593550, 0, 0.9999807, 0.001001238, 0.0009154043, 0.006060538
 78593550, 1, 0.9999809, 0.0009934222, 0.0008896125, 0.006044004
 78693510, 0, 0.9999806, 0.001017277, 0.000931212, 0.006069568
 78693510, 1, 0.9999807, 0.001009008, 0.000907361, 0.006055931
 78793470, 0, 0.9999806, 0.001033884, 0.000947539, 0.006076978
 78793470, 1, 0.9999806, 0.001025184, 0.000921322, 0.006066596
 78893430, 0, 0.9999804, 0.001050191, 0.000963854, 0.0060851
 78893430, 1, 0.9999806, 0.001039537, 0.0009346073, 0.006075942
 78993390, 0, 0.9999804, 0.001066744, 0.0009794311, 0.006092873
