Time,XKTV_C,XKTV_TVS,XKTV_TVD
 75038306, 1, 3.34254E-05, 3.342531E-05
 75161590, 0, 3.491618E-05, 3.491608E-05
 75543937, 1, 3.483915E-05, 3.483906E-05
 75673885, 0, 3.531795E-05, 3.531785E-05
 76051234, 1, 3.727525E-05, 3.727515E-05
 76186180, 0, 3.895101E-05, 3.895091E-05
 76558531, 1, 4.169739E-05, 4.169729E-05
 76698475, 0, 4.342089E-05, 4.342079E-05
 77060830, 1, 4.651936E-05, 4.651927E-05
 77208271, 0, 4.852192E-05, 4.852183E-05
 77566461, 1, 5.184372E-05, 5.184363E-05
 77721399, 0, 5.410578E-05, 5.410571E-05
 78068760, 1, 5.739999E-05, 5.739993E-05
 78233694, 0, 5.996534E-05, 5.99653E-05
 78571059, 1, 6.335606E-05, 6.335603E-05
 78745989, 0, 6.61869E-05, 6.618687E-05
 79083354, 1, 6.965343E-05, 6.965343E-05
 79258284, 0, 7.270084E-05, 7.270087E-05
 79591484, 1, 7.623236E-05, 7.623241E-05
 79771412, 0, 7.947342E-05, 7.947351E-05
 80103779, 1, 8.285373E-05, 8.285386E-05
 80283707, 0, 8.6031E-05, 8.603094E-05
 80606078, 1, 8.904699E-05, 8.904683E-05
 80796002, 0, 9.212187E-05, 9.212153E-05
 81108377, 1, 9.400635E-05, 9.400649E-05
 81305798, 0, 9.693464E-05, 9.693515E-05
 81614008, 1, 0.0001024739, 0.0001024749
 81806431, 0, 0.0001050739, 0.0001050752
 82116307, 1, 0.0001026154, 0.000102617
 82318726, 0, 0.0001030124, 0.000103014
 82623604, 1, 9.698214E-05, 9.698377E-05
 82831021, 0, 9.597897E-05, 9.598053E-05
 83130901, 1, 9.301543E-05, 9.301658E-05
 83340817, 0, 9.213339E-05, 9.213448E-05
 83639031, 1, 8.623405E-05, 8.623488E-05
 83841450, 0, 8.595127E-05, 8.595207E-05
 84151326, 1, 8.490179E-05, 8.490249E-05
 84353745, 0, 8.521906E-05, 8.52197E-05
 84653625, 1, 8.251748E-05, 8.251787E-05
 84866040, 0, 8.368381E-05, 8.36843E-05
 85155924, 1, 8.41061E-05, 8.410649E-05
 85375836, 0, 8.581948E-05, 8.581976E-05
 85661555, 1, 8.492004E-05, 8.492036E-05
 85876469, 0, 8.692177E-05, 8.692207E-05
 86163854, 1, 8.81903E-05, 8.819052E-05
 86388764, 0, 9.051652E-05, 9.051689E-05
 86676149, 1, 9.024134E-05, 9.024163E-05
 86901059, 0, 9.27561E-05, 9.275647E-05
 87178448, 1, 9.392022E-05, 9.39206E-05
 87413354, 0, 9.461478E-05, 9.461527E-05
 87679081, 1, 9.542167E-05, 9.542218E-05
 87926482, 0, 9.798649E-05, 9.798709E-05
 88186378, 1, 9.858959E-05, 9.859027E-05
 88438777, 0, 9.866145E-05, 9.866222E-05
 88688677, 1, 9.884081E-05, 9.884155E-05
 88951072, 0, 0.0001011921, 0.0001011929
 89195974, 1, 0.0001012323, 0.0001012332
 89460868, 0, 0.0001001115, 0.0001001123
 89703271, 1, 9.937964E-05, 9.938052E-05
 89961501, 0, 0.0001008038, 0.0001008049
 90208902, 1, 9.593227E-05, 9.593315E-05
 90473796, 0, 9.699471E-05, 9.699601E-05
 90711201, 1, 9.553962E-05, 9.554088E-05
 90986091, 0, 9.649833E-05, 9.649969E-05
 91213500, 1, 9.075414E-05, 9.075513E-05
 91495887, 0, 9.180749E-05, 9.180867E-05
 91715799, 1, 9.0083E-05, 9.008403E-05
 91996520, 0, 9.125553E-05, 9.125661E-05
 92221430, 1, 8.650965E-05, 8.651059E-05
 92508815, 0, 8.799364E-05, 8.799446E-05
 92726228, 1, 8.690135E-05, 8.690196E-05
 93021110, 0, 8.557361E-05, 8.557432E-05
 93236024, 1, 8.452907E-05, 8.452959E-05
 93530906, 0, 8.638223E-05, 8.638278E-05
 93738323, 1, 8.528559E-05, 8.52861E-05
 94031539, 0, 8.43902E-05, 8.439062E-05
 94243954, 1, 8.34368E-05, 8.343718E-05
 94543834, 0, 8.547365E-05, 8.547404E-05
 94746253, 1, 8.437409E-05, 8.437443E-05
 95056129, 0, 8.390776E-05, 8.390808E-05
 95248552, 1, 8.28335E-05, 8.283381E-05
 95568424, 0, 8.507927E-05, 8.507955E-05
 95758348, 1, 8.396945E-05, 8.396975E-05
 96069057, 0, 8.351562E-05, 8.351594E-05
 96268977, 1, 8.249496E-05, 8.249523E-05
 96581352, 0, 8.459976E-05, 8.46001E-05
 96781272, 1, 8.354905E-05, 8.354944E-05
 97093647, 0, 8.321258E-05, 8.321294E-05
 97283571, 1, 8.216318E-05, 8.216336E-05
 97603443, 0, 8.4386E-05, 8.438625E-05
 97785870, 1, 8.320301E-05, 8.320327E-05
 98104076, 0, 8.295232E-05, 8.295262E-05
 98291501, 1, 8.184318E-05, 8.184347E-05
 98616371, 0, 8.167476E-05, 8.167499E-05
 98793800, 1, 8.277887E-05, 8.27792E-05
 99128666, 0, 8.275143E-05, 8.275172E-05
 99298598, 1, 8.142988E-05, 8.143012E-05
 99638462, 0, 8.140305E-05, 8.140319E-05
 99808394, 1, 8.006274E-05, 8.006283E-05
 100151590, 0, 8.239815E-05, 8.239821E-05
 100316524, 1, 8.097654E-05, 8.097658E-05
 100663885, 0, 8.107301E-05, 8.107309E-05
 100828819, 1, 7.9649E-05, 7.964906E-05
 101176180, 0, 8.206211E-05, 8.206226E-05
 101331118, 1, 8.050862E-05, 8.050877E-05
 101688475, 0, 8.071135E-05, 8.071156E-05
 101833417, 1, 7.906718E-05, 7.906731E-05
 102198271, 0, 8.16686E-05, 8.16688E-05
 102339048, 1, 8.003287E-05, 8.003303E-05
 102711399, 0, 8.03674E-05, 8.036757E-05
 102841347, 1, 7.860304E-05, 7.860319E-05
 103223694, 0, 7.905926E-05, 7.905946E-05
 103353642, 1, 7.945126E-05, 7.945146E-05
 103735989, 0, 8.002407E-05, 8.002439E-05
 103855941, 1, 7.806263E-05, 7.806291E-05
 104248284, 0, 7.871178E-05, 7.871207E-05
 104366570, 1, 7.903564E-05, 7.90359E-05
 104761412, 0, 7.967179E-05, 7.967206E-05
 104876366, 1, 7.772668E-05, 7.77269E-05
 105273707, 0, 7.839294E-05, 7.839313E-05
 105378665, 1, 7.855776E-05, 7.855793E-05
 105786002, 0, 7.933458E-05, 7.933477E-05
 105880964, 1, 7.733069E-05, 7.733083E-05
 106295798, 0, 7.81084E-05, 7.810859E-05
 106394092, 1, 7.816601E-05, 7.81662E-05
 106796431, 0, 7.895193E-05, 7.895208E-05
 106898890, 1, 7.691242E-05, 7.691253E-05
 107308726, 0, 7.775971E-05, 7.775983E-05
 107401189, 1, 7.775203E-05, 7.775216E-05
 107821021, 0, 7.659274E-05, 7.659284E-05
 107903488, 1, 7.649855E-05, 7.649864E-05
 108330817, 0, 7.74957E-05, 7.749569E-05
 108405787, 1, 7.734499E-05, 7.734499E-05
 108831450, 0, 7.621369E-05, 7.621369E-05
 108911418, 1, 7.617944E-05, 7.617942E-05
 109343745, 0, 7.717225E-05, 7.717226E-05
 109413717, 1, 7.504674E-05, 7.504676E-05
 109856040, 0, 7.602583E-05, 7.602588E-05
 109926012, 1, 7.592684E-05, 7.592692E-05
 110365836, 0, 7.69999E-05, 7.699992E-05
 110428311, 1, 7.474666E-05, 7.474668E-05
 110866469, 0, 7.582257E-05, 7.582263E-05
 110933942, 1, 7.564895E-05, 7.564898E-05
 111378764, 0, 7.680244E-05, 7.680253E-05
 111436241, 1, 7.45017E-05, 7.450174E-05
 111891059, 0, 7.575376E-05, 7.575376E-05
 111938540, 1, 7.535628E-05, 7.535629E-05
 112403354, 0, 7.672649E-05, 7.672662E-05
 112443338, 1, 7.428948E-05, 7.428962E-05
 112916482, 0, 7.568789E-05, 7.568816E-05
 112946470, 1, 7.511222E-05, 7.511248E-05
 113428777, 0, 7.465787E-05, 7.465801E-05
 113458765, 1, 7.413466E-05, 7.413481E-05
 113941072, 0, 7.562833E-05, 7.562851E-05
 113961064, 1, 7.500505E-05, 7.50052E-05
 114450868, 0, 7.477911E-05, 7.477922E-05
 114463363, 1, 7.40801E-05, 7.408021E-05
 114951501, 0, 7.595542E-05, 7.59555E-05
 114968994, 1, 7.524197E-05, 7.524203E-05
 115463796, 0, 7.558261E-05, 7.558271E-05
 115471293, 1, 7.476813E-05, 7.476821E-05
 115973592, 1, 7.626299E-05, 7.626302E-05
 115976091, 0, 7.7046E-05, 7.704604E-05
 116485887, 0, 7.681066E-05, 7.681069E-05
 116485887, 1, 7.592994E-05, 7.592994E-05
 116986520, 0, 7.823234E-05, 7.823225E-05
 116994017, 1, 7.73694E-05, 7.73693E-05
 117498815, 0, 7.799001E-05, 7.799E-05
 117506312, 1, 7.71113E-05, 7.711129E-05
 118008611, 1, 8.358704E-05, 8.36044E-05
 118011110, 0, 8.49828E-05, 8.500168E-05
 118510910, 1, 0.0002083306, 0.0002089416
 118520906, 0, 0.0002110049, 0.0002116312
 119016541, 1, 0.0002133089, 0.0002140374
 119021539, 0, 0.0002153974, 0.0002161338
 119518840, 1, 0.0001638906, 0.0001645561
 119533834, 0, 0.0001661404, 0.0001668147
 120031135, 1, 0.0001223682, 0.0001231198
 120046129, 0, 0.0001225542, 0.000123324
 120533434, 1, 0.000115681, 0.0001166175
 120558424, 0, 0.0001171929, 0.0001181557
 121041564, 1, 0.0001119393, 0.0001130994
 121059057, 0, 0.0001133485, 0.0001145318
 121553859, 1, 0.0001184086, 0.000119899
 121571352, 0, 0.0001202481, 0.0001217757
 122056158, 1, 0.0001223131, 0.0001241668
 122083647, 0, 0.0001245595, 0.00012647
 122558457, 1, 0.000132604, 0.0001349991
 122593443, 0, 0.0001314588, 0.0001338188
 123059090, 1, 8.227421E-05, 8.274549E-05
 123094076, 0, 8.320665E-05, 8.364597E-05
 123563888, 1, 8.639885E-05, 8.655107E-05
 123606371, 0, 8.85831E-05, 8.873205E-05
 124066187, 1, 9.127871E-05, 9.151336E-05
 124118666, 0, 9.392789E-05, 9.41933E-05
 124568486, 1, 9.96752E-05, 0.0001003446
 124628462, 0, 9.73406E-05, 9.809828E-05
 125070785, 1, 0.0001202961, 0.0001231297
 125141590, 0, 0.0001331187, 0.0001369016
 125576416, 1, 0.0001321624, 0.0001376275
 125653885, 0, 0.0001101365, 0.000114073
 126078715, 1, 7.600971E-05, 7.7492E-05
 126166180, 0, 7.526246E-05, 7.663326E-05
 126591010, 1, 6.493827E-05, 6.597705E-05
 126678475, 0, 6.181953E-05, 6.280374E-05
 127093309, 1, 5.546394E-05, 5.637042E-05
 127188271, 0, 5.671175E-05, 5.766757E-05
 127598940, 1, 5.081407E-05, 5.181338E-05
 127701399, 0, 4.817291E-05, 4.915961E-05
 128101239, 1, 4.378612E-05, 4.484463E-05
 128213694, 0, 4.207013E-05, 4.311748E-05
 128603538, 1, 4.203037E-05, 4.323197E-05
 128725989, 0, 4.109569E-05, 4.230471E-05
 129108336, 1, 3.864158E-05, 3.979232E-05
 129238284, 0, 3.584486E-05, 3.669149E-05
 129611468, 1, 3.365887E-05, 3.428481E-05
 129751412, 0, 3.509157E-05, 3.573531E-05
 130123763, 1, 3.495853E-05, 3.559873E-05
 130263707, 0, 3.510455E-05, 3.575137E-05
 130626062, 1, 3.494292E-05, 3.55975E-05
 130776002, 0, 3.654191E-05, 3.723601E-05
 131128361, 1, 3.630191E-05, 3.702286E-05
 131285798, 0, 3.671202E-05, 3.746848E-05
 131633992, 1, 3.671489E-05, 3.754455E-05
 131786431, 0, 3.852691E-05, 3.944934E-05
 132136291, 1, 3.887273E-05, 3.993425E-05
 132298726, 0, 3.971118E-05, 4.087558E-05
 132638590, 1, 4.047093E-05, 4.184991E-05
 132811021, 0, 4.153138E-05, 4.305903E-05
 133150885, 1, 4.377931E-05, 4.565254E-05
 133320817, 0, 4.495648E-05, 4.694283E-05
 133659015, 1, 4.616866E-05, 4.83378E-05
 133821450, 0, 4.748279E-05, 4.980784E-05
 134171310, 1, 4.997243E-05, 5.266041E-05
 134333745, 0, 5.11963E-05, 5.406507E-05
 134673609, 1, 5.203791E-05, 5.52179E-05
 134846040, 0, 5.293217E-05, 5.630939E-05
 135175908, 1, 4.518389E-05, 4.704191E-05
 135355836, 0, 4.430001E-05, 4.590097E-05
 135681539, 1, 4.238004E-05, 4.366023E-05
 135856469, 0, 4.251833E-05, 4.372215E-05
 136183838, 1, 4.355792E-05, 4.473862E-05
 136368764, 0, 4.420327E-05, 4.540483E-05
 136696133, 1, 4.345347E-05, 4.462826E-05
 136881059, 0, 4.351998E-05, 4.467253E-05
 137198432, 1, 4.33866E-05, 4.442321E-05
 137393354, 0, 4.292382E-05, 4.383615E-05
 137706562, 1, 4.043084E-05, 4.117035E-05
 137906482, 0, 4.067712E-05, 4.146351E-05
 138218857, 1, 3.976876E-05, 4.0623E-05
 138418777, 0, 4.066684E-05, 4.164287E-05
 138721156, 1, 4.210199E-05, 4.333004E-05
 138931072, 0, 4.360326E-05, 4.507146E-05
 139223455, 1, 4.409996E-05, 4.589202E-05
 139440868, 0, 4.565676E-05, 4.771765E-05
 139724088, 1, 4.695699E-05, 4.930525E-05
 139941501, 0, 4.820571E-05, 5.076471E-05
 140226387, 1, 4.772927E-05, 5.037657E-05
 140453796, 0, 4.924016E-05, 5.210541E-05
 140731185, 1, 5.029602E-05, 5.338978E-05
 140966091, 0, 5.158613E-05, 5.489466E-05
 141233484, 1, 4.848295E-05, 5.134438E-05
 141475887, 0, 4.350677E-05, 4.530919E-05
 141735783, 1, 4.169527E-05, 4.313414E-05
 141976520, 0, 4.151696E-05, 4.279699E-05
 142241414, 1, 3.989119E-05, 4.105266E-05
 142488815, 0, 4.083848E-05, 4.20389E-05
 142743713, 1, 4.103061E-05, 4.22428E-05
 143001110, 0, 4.181748E-05, 4.300772E-05
 143256008, 1, 3.964007E-05, 4.065368E-05
 143510906, 0, 3.980746E-05, 4.067146E-05
 143758307, 1, 4.03069E-05, 4.140522E-05
 144011539, 0, 4.078373E-05, 4.20995E-05
 144263938, 1, 4.229225E-05, 4.392402E-05
 144523834, 0, 4.506386E-05, 4.710854E-05
 144766237, 1, 4.640766E-05, 4.876788E-05
 145036129, 0, 4.761651E-05, 5.028824E-05
 145268536, 1, 4.850173E-05, 5.142865E-05
 145548424, 0, 5.082428E-05, 5.412673E-05
 145770835, 1, 5.140328E-05, 5.489985E-05
 146049057, 0, 5.178239E-05, 5.547095E-05
 146276466, 1, 5.221295E-05, 5.606421E-05
 146561352, 0, 5.439719E-05, 5.862077E-05
 146786262, 1, 5.492219E-05, 5.933561E-05
 147073647, 0, 5.538643E-05, 6.001108E-05
 147291060, 1, 5.566984E-05, 6.04241E-05
 147583443, 0, 5.756747E-05, 6.267193E-05
 147793359, 1, 5.721316E-05, 6.232255E-05
 148084076, 0, 5.672188E-05, 6.17708E-05
 148298990, 1, 5.625066E-05, 6.12051E-05
 148596371, 0, 5.721488E-05, 6.215726E-05
 148801289, 1, 5.636572E-05, 6.114161E-05
 149108666, 0, 5.285091E-05, 5.682344E-05
 149303588, 1, 5.100692E-05, 5.472504E-05
 149618462, 0, 5.111428E-05, 5.521962E-05
 149815883, 1, 5.178175E-05, 5.63645E-05
 150131590, 0, 5.624898E-05, 6.185981E-05
 150324013, 1, 5.614402E-05, 6.15124E-05
 150643885, 0, 5.493414E-05, 5.98687E-05
 150836308, 1, 5.336793E-05, 5.812541E-05
 151156180, 0, 5.235972E-05, 5.687455E-05
 151338607, 1, 4.847768E-05, 5.214868E-05
 151668475, 0, 4.305944E-05, 4.549405E-05
 151840906, 1, 4.308458E-05, 4.574513E-05
 152178271, 0, 4.595618E-05, 4.907953E-05
 152346537, 1, 4.5779E-05, 4.891594E-05
 152691399, 0, 4.753569E-05, 5.09151E-05
 152848836, 1, 4.775307E-05, 5.120852E-05
 153203694, 0, 5.167954E-05, 5.564528E-05
 153358632, 1, 5.189336E-05, 5.594216E-05
 153715989, 0, 5.419811E-05, 5.848516E-05
 153863430, 1, 5.395331E-05, 5.810141E-05
 154228284, 0, 5.46204E-05, 5.875793E-05
 154371560, 1, 5.542941E-05, 5.970966E-05
 154741412, 0, 5.531614E-05, 5.974567E-05
 154883855, 1, 5.40607E-05, 5.84497E-05
 155253707, 0, 5.349938E-05, 5.807843E-05
 155386154, 1, 5.401641E-05, 5.876038E-05
 155766002, 0, 5.034466E-05, 5.425198E-05
 155888453, 1, 4.836281E-05, 5.194397E-05
 156275798, 0, 4.710618E-05, 5.026607E-05
 156396583, 1, 4.73796E-05, 5.048514E-05
 156776431, 0, 4.753797E-05, 5.044444E-05
 156901381, 1, 4.660453E-05, 4.938841E-05
 157288726, 0, 4.681939E-05, 4.957818E-05
 157408678, 1, 4.545983E-05, 4.809879E-05
 157801021, 0, 4.590918E-05, 4.846723E-05
 157910977, 1, 4.405723E-05, 4.641485E-05
 158310817, 0, 4.210526E-05, 4.391176E-05
 158413276, 1, 4.032416E-05, 4.190816E-05
 158811450, 0, 4.2811E-05, 4.486219E-05
 158918907, 1, 4.403326E-05, 4.63331E-05
 159323745, 0, 4.731688E-05, 5.039422E-05
 159421206, 1, 4.685984E-05, 5.006815E-05
 159836040, 0, 5.043517E-05, 5.460621E-05
 159931002, 1, 5.127243E-05, 5.567428E-05
 160345836, 0, 5.423513E-05, 5.952476E-05
 160435800, 1, 5.342309E-05, 5.872532E-05
 160846469, 0, 5.513211E-05, 6.088425E-05
 160941431, 1, 5.546422E-05, 6.126248E-05
 161358764, 0, 5.60566E-05, 6.183727E-05
 161443730, 1, 5.447873E-05, 6.001055E-05
 161871059, 0, 5.586833E-05, 6.161573E-05
 161946029, 1, 5.603347E-05, 6.182131E-05
 162383354, 0, 5.705847E-05, 6.286902E-05
 162448328, 1, 5.518863E-05, 6.070017E-05
 162896482, 0, 5.554458E-05, 6.078905E-05
 162953959, 1, 5.544081E-05, 6.066088E-05
 163408777, 0, 5.43104E-05, 5.902709E-05
 163463755, 1, 5.419756E-05, 5.889157E-05
 163921072, 0, 5.523817E-05, 5.975965E-05
 163968553, 1, 5.503967E-05, 5.953775E-05
 164430868, 0, 5.073237E-05, 5.399066E-05
 164470852, 1, 5.032569E-05, 5.353381E-05
 164931501, 0, 4.997562E-05, 5.294486E-05
 164976483, 1, 4.970154E-05, 5.26605E-05
 165443796, 0, 4.835429E-05, 5.12318E-05
 165478782, 1, 4.807582E-05, 5.095235E-05
 165956091, 0, 4.804795E-05, 5.09217E-05
