Time,BARO_I,BARO_Alt,BARO_Press,BARO_Temp,BARO_CRt,BARO_SMS,BARO_Offset,BARO_GndTemp,BARO_Health
 70194411, 0, -0.0273711, 94798.35, 30.76, 0, 70194, 0, 25.33701, 1
 70194411, 1, 0.2052833, 94796.21, 30.76, 0, 70194, 0, 25.33701, 1
 70294371, 0, -0.0273711, 94798.35, 30.76, 0, 70294, 0, 25.33701, 1
 70294371, 1, 0.1532782, 94796.78, 30.76, 0, 70294, 0, 25.33701, 1
 70394331, 0, -0.0273711, 94798.35, 30.76, 0, 70394, 0, 25.33701, 1
 70394331, 1, 0, 94798.44, 30.76, 0, 70394, 0, 25.33701, 1
 70494291, 0, -0.0273711, 94798.35, 30.76, 0, 70494, 0, 25.33701, 1
 70494291, 1, 0.07663909, 94797.59, 30.76, 0, 70494, 0, 25.33701, 1
 70594251, 0, -0.0273711, 94798.35, 30.77, 0, 70594, 0, 25.33701, 1
 70594251, 1, 0.1259071, 94797.05, 30.77, 0, 70594, 0, 25.33701, 1
 70694211, 0, -0.0273711, 94798.35, 30.77, 0, 70694, 0, 25.33701, 1
 70694211, 1, 0.1012731, 94797.32, 30.77, 0, 70694, 0, 25.33701, 1
 70794171, 0, -0.0273711, 94798.35, 30.77, 0, 70794, 0, 25.33701, 1
 70794171, 1, 0.2107575, 94796.15, 30.77, 0, 70794, 0, 25.33701, 1
 70894131, 0, -0.0273711, 94798.35, 30.77, 0, 70894, 0, 25.33701, 1
 70894131, 1, -0.0273711, 94798.7, 30.77, 0, 70894, 0, 25.33701, 1
 70994091, 0, -0.0273711, 94798.35, 30.77, 0, 70994, 0, 25.33701, 1
 70994091, 1, -0.1313813, 94799.85, 30.78, 0, 70994, 0, 25.33701, 1
 71094051, 0, -0.0273711, 94798.35, 30.78, 0, 71094, 0, 25.33701, 1
 71094051, 1, -0.1806493, 94800.36, 30.78, 0, 71094, 0, 25.33701, 1
 71194011, 0, -0.0273711, 94798.35, 30.78, 0, 71194, 0, 25.33701, 1
 71194011, 1, 0.1450669, 94796.84, 30.78, 0, 71194, 0, 25.33701, 1
 71293971, 0, -0.0273711, 94798.35, 30.78, 0, 71293, 0, 25.33701, 1
 71293971, 1, -0.07663909, 94799.25, 30.78, 0, 71293, 0, 25.33701, 1
 71393931, 0, -0.0273711, 94798.35, 30.78, 0, 71393, 0, 25.33701, 1
 71393931, 1, -0.1806493, 94800.42, 30.78, 0, 71393, 0, 25.33701, 1
 71493891, 0, -0.0273711, 94798.35, 30.78, 0, 71493, 0, 25.33701, 1
 71493891, 1, -0.1587524, 94800.15, 30.79, 0, 71493, 0, 25.33701, 1
 71593851, 0, -0.0273711, 94798.35, 30.79, 0, 71593, 0, 25.33701, 1
 71593851, 1, 0.06569065, 94797.71, 30.79, 0, 71593, 0, 25.33701, 1
 71693811, 0, -0.0273711, 94798.35, 30.79, 0, 71693, 0, 25.33701, 1
 71693811, 1, -0.06569065, 94799.16, 30.79, 0, 71693, 0, 25.33701, 1
 71793771, 0, -0.0273711, 94798.35, 30.79, 0, 71793, 0, 25.33701, 1
 71793771, 1, 0.2052833, 94796.21, 30.79, 0, 71793, 0, 25.33701, 1
 71893731, 0, -0.0273711, 94798.35, 30.79, 0, 71893, 0, 25.33701, 1
 71893731, 1, 0.06569065, 94797.71, 30.79, 0, 71893, 0, 25.33701, 1
 71993691, 0, -0.0273711, 94798.35, 30.79, 0, 71993, 0, 25.33701, 1
 71993691, 1, -0.1313813, 94799.85, 30.8, 0, 71993, 0, 25.33701, 1
 72093651, 0, -0.0273711, 94798.35, 30.8, 0, 72093, 0, 25.33701, 1
 72093651, 1, 0.1915977, 94796.36, 30.8, 0, 72093, 0, 25.33701, 1
 72193611, 0, -0.0273711, 94798.35, 30.8, 0, 72193, 0, 25.33701, 1
 72193611, 1, 0.05747932, 94797.8, 30.8, 0, 72193, 0, 25.33701, 1
 72294404, 0, -0.0273711, 94798.35, 30.8, 0, 72294, 0, 25.33701, 1
 72294404, 1, 0.197072, 94796.3, 30.8, 0, 72294, 0, 25.33701, 1
 72394364, 0, -0.0273711, 94798.35, 30.8, 0, 72394, 0, 25.33701, 1
 72394364, 1, 0.06569065, 94797.71, 30.8, 0, 72394, 0, 25.33701, 1
 72494324, 0, -0.0273711, 94798.35, 30.8, 0, 72494, 0, 25.33701, 1
 72494324, 1, -0.1532782, 94800.12, 30.8, 0, 72494, 0, 25.33701, 1
 72594284, 0, -0.0273711, 94798.35, 30.81, 0, 72594, 0, 25.33701, 1
 72594284, 1, 0.1587524, 94796.7, 30.81, 0, 72594, 0, 25.33701, 1
 72694244, 0, -0.0273711, 94798.35, 30.81, 0, 72694, 0, 25.33701, 1
 72694244, 1, 0.08758754, 94797.47, 30.81, 0, 72694, 0, 25.33701, 1
 72794204, 0, -0.0273711, 94798.35, 30.81, 0, 72794, 0, 25.33701, 1
 72794204, 1, 0.2052833, 94796.21, 30.81, 0, 72794, 0, 25.33701, 1
 72894164, 0, -0.0273711, 94798.35, 30.81, 0, 72894, 0, 25.33701, 1
 72894164, 1, -0.03284533, 94798.77, 30.81, 0, 72894, 0, 25.33701, 1
 72994124, 0, -0.0273711, 94798.35, 30.81, 0, 72994, 0, 25.33701, 1
 72994124, 1, -0.08758754, 94799.37, 30.81, 0, 72994, 0, 25.33701, 1
 73094084, 0, -0.0273711, 94798.35, 30.82, 0, 73094, 0, 25.33701, 1
 73094084, 1, 0.09579886, 94797.38, 30.81, 0, 73094, 0, 25.33701, 1
 73194044, 0, -0.0273711, 94798.35, 30.82, 0, 73194, 0, 25.33701, 1
 73194044, 1, -0.06021643, 94799.09, 30.82, 0, 73194, 0, 25.33701, 1
 73294004, 0, -0.0273711, 94798.35, 30.82, 0, 73294, 0, 25.33701, 1
 73294004, 1, 0.1532782, 94796.78, 30.82, 0, 73294, 0, 25.33701, 1
 73393964, 0, -0.0273711, 94798.35, 30.82, 0, 73393, 0, 25.33701, 1
 73393964, 1, -0.0273711, 94798.7, 30.82, 0, 73393, 0, 25.33701, 1
 73493924, 0, -0.0273711, 94798.35, 30.82, 0, 73493, 0, 25.33701, 1
 73493924, 1, -0.04379377, 94798.88, 30.82, 0, 73493, 0, 25.33701, 1
 73593884, 0, -0.0273711, 94798.35, 30.82, 0, 73593, 0, 25.33701, 1
 73593884, 1, 0.1560153, 94796.75, 30.82, 0, 73593, 0, 25.33701, 1
 73693844, 0, -0.0273711, 94798.35, 30.83, 0, 73693, 0, 25.33701, 1
 73693844, 1, 0.05747932, 94797.8, 30.83, 0, 73693, 0, 25.33701, 1
 73793804, 0, -0.0273711, 94798.35, 30.83, 0, 73793, 0, 25.33701, 1
 73793804, 1, -0.04926799, 94798.98, 30.83, 0, 73793, 0, 25.33701, 1
 73893764, 0, -0.0273711, 94798.35, 30.83, 0, 73893, 0, 25.33701, 1
 73893764, 1, -0.1751751, 94800.33, 30.83, 0, 73893, 0, 25.33701, 1
 73993724, 0, -0.0273711, 94798.35, 30.83, 0, 73993, 0, 25.33701, 1
 73993724, 1, -0.04926799, 94798.98, 30.83, 0, 73993, 0, 25.33701, 1
 74093684, 0, -0.0273711, 94798.35, 30.83, 0, 74093, 0, 25.33701, 1
 74093684, 1, -0.1861235, 94800.48, 30.83, 0, 74093, 0, 25.33701, 1
 74193644, 0, -0.0273711, 94798.35, 30.84, 0, 74193, 0, 25.33701, 1
 74193644, 1, 0.04653088, 94797.92, 30.84, 0, 74193, 0, 25.33701, 1
 74293604, 0, -0.0273711, 94798.35, 30.84, 0, 74293, 0, 25.33701, 1
 74293604, 1, 0.0273711, 94798.14, 30.84, 0, 74293, 0, 25.33701, 1
 74394397, 0, -0.0273711, 94798.35, 30.84, 0, 74394, 0, 25.33701, 1
 74394397, 1, 0.08211331, 94797.53, 30.84, 0, 74394, 0, 25.33701, 1
 74494357, 0, -0.0273711, 94798.35, 30.84, 0, 74494, 0, 25.33701, 1
 74494357, 1, 0.2052833, 94796.21, 30.84, 0, 74494, 0, 25.33701, 1
 74594317, 0, -0.0273711, 94798.35, 30.84, 0, 74594, 0, 25.33701, 1
 74594317, 1, 0.02189688, 94798.2, 30.84, 0, 74594, 0, 25.33701, 1
 74694277, 0, -0.0273711, 94798.35, 30.84, 0, 74694, 0, 25.33701, 1
 74694277, 1, -0.1751751, 94800.33, 30.85, 0, 74694, 0, 25.33701, 1
 74794237, 0, -0.0273711, 94798.35, 30.85, 0, 74794, 0, 25.33701, 1
 74794237, 1, 0.1915977, 94796.36, 30.84, 0, 74794, 0, 25.33701, 1
 74894197, 0, -0.0273711, 94798.35, 30.85, 0, 74894, 0, 25.33701, 1
 74894197, 1, 0.2052833, 94796.21, 30.85, 0, 74894, 0, 25.33701, 1
 74994157, 0, -0.0273711, 94798.35, 30.85, 0, 74994, 0, 25.33701, 1
 74994157, 1, 0, 94798.44, 30.85, 0, 74994, 0, 25.33701, 1
 75094117, 0, -0.0273711, 94798.35, 30.85, 0, 75094, 0, 25.33701, 1
 75094117, 1, 0.01368555, 94798.29, 30.85, 0, 75094, 0, 25.33701, 1
 75194077, 0, -0.0273711, 94798.35, 30.85, 0, 75194, 0, 25.33701, 1
 75194077, 1, 0.08211331, 94797.53, 30.85, 0, 75194, 0, 25.33701, 1
 75294037, 0, -0.0273711, 94798.35, 30.85, 0, 75294, 0, 25.33701, 1
 75294037, 1, -0.03284533, 94798.77, 30.85, 0, 75294, 0, 25.33701, 1
 75393997, 0, -0.0273711, 94798.35, 30.86, 0, 75393, 0, 25.33701, 1
 75393997, 1, 0.2162317, 94796.09, 30.86, 0, 75393, 0, 25.33701, 1
 75493957, 0, -0.0273711, 94798.35, 30.86, 0, 75493, 0, 25.33701, 1
 75493957, 1, -0.04379377, 94798.88, 30.86, 0, 75493, 0, 25.33701, 1
 75593917, 0, -0.0273711, 94798.35, 30.86, 0, 75593, 0, 25.33701, 1
 75593917, 1, 0.05747932, 94797.8, 30.86, 0, 75593, 0, 25.33701, 1
 75693877, 0, -0.0273711, 94798.35, 30.86, 0, 75693, 0, 25.33701, 1
 75693877, 1, 0.08758754, 94797.47, 30.86, 0, 75693, 0, 25.33701, 1
 75793837, 0, -0.0273711, 94798.35, 30.86, 0, 75793, 0, 25.33701, 1
 75793837, 1, -0.01642266, 94798.62, 30.86, 0, 75793, 0, 25.33701, 1
 75893797, 0, -0.0273711, 94798.35, 30.86, 0, 75893, 0, 25.33701, 1
 75893797, 1, -0.03284533, 94798.77, 30.87, 0, 75893, 0, 25.33701, 1
 75993757, 0, -0.0273711, 94798.35, 30.87, 0, 75993, 0, 25.33701, 1
 75993757, 1, 0.172438, 94796.57, 30.87, 0, 75993, 0, 25.33701, 1
 76093717, 0, -0.0273711, 94798.35, 30.87, 0, 76093, 0, 25.33701, 1
 76093717, 1, 0.09579886, 94797.38, 30.87, 0, 76093, 0, 25.33701, 1
 76193677, 0, -0.0273711, 94798.35, 30.87, 0, 76193, 0, 25.33701, 1
 76193677, 1, 0.1067473, 94797.26, 30.87, 0, 76193, 0, 25.33701, 1
 76293637, 0, -0.0273711, 94798.35, 30.87, 0, 76293, 0, 25.33701, 1
 76293637, 1, -0.1040102, 94799.58, 30.87, 0, 76293, 0, 25.33701, 1
 76394430, 0, -0.0273711, 94798.35, 30.87, 0, 76394, 0, 25.33701, 1
 76394430, 1, -0.197072, 94800.54, 30.87, 0, 76394, 0, 25.33701, 1
 76494390, 0, -0.0273711, 94798.35, 30.87, 0, 76494, 0, 25.33701, 1
 76494390, 1, -0.05474221, 94799.04, 30.88, 0, 76494, 0, 25.33701, 1
 76594350, 0, -0.0273711, 94798.35, 30.88, 0, 76594, 0, 25.33701, 1
 76594350, 1, -0.07663909, 94799.25, 30.88, 0, 76594, 0, 25.33701, 1
 76694310, 0, -0.0273711, 94798.35, 30.88, 0, 76694, 0, 25.33701, 1
 76694310, 1, -0.1861235, 94800.48, 30.88, 0, 76694, 0, 25.33701, 1
 76794270, 0, -0.0273711, 94798.35, 30.88, 0, 76794, 0, 25.33701, 1
 76794270, 1, 0.1751751, 94796.52, 30.88, 0, 76794, 0, 25.33701, 1
 76894230, 0, -0.0273711, 94798.35, 30.88, 0, 76894, 0, 25.33701, 1
 76894230, 1, -0.04379377, 94798.88, 30.88, 0, 76894, 0, 25.33701, 1
 76994190, 0, -0.0273711, 94798.35, 30.88, 0, 76994, 0, 25.33701, 1
 76994190, 1, 0.1395926, 94796.91, 30.88, 0, 76994, 0, 25.33701, 1
 77094150, 0, -0.0273711, 94798.35, 30.88, 0, 77094, 0, 25.33701, 1
 77094150, 1, -0.06021643, 94799.09, 30.89, 0, 77094, 0, 25.33701, 1
 77194110, 0, -0.0273711, 94798.35, 30.89, 0, 77194, 0, 25.33701, 1
 77194110, 1, 0.01915977, 94798.23, 30.89, 0, 77194, 0, 25.33701, 1
 77294070, 0, -0.0273711, 94798.35, 30.89, 0, 77294, 0, 25.33701, 1
 77294070, 1, 0.08211331, 94797.53, 30.89, 0, 77294, 0, 25.33701, 1
 77394030, 0, -0.0273711, 94798.35, 30.89, 0, 77394, 0, 25.33701, 1
 77394030, 1, 0.09579886, 94797.38, 30.89, 0, 77394, 0, 25.33701, 1
 77493990, 0, -0.0273711, 94798.35, 30.89, 0, 77493, 0, 25.33701, 1
 77493990, 1, 0.1259071, 94797.05, 30.89, 0, 77493, 0, 25.33701, 1
 77593950, 0, -0.0273711, 94798.35, 30.89, 0, 77593, 0, 25.33701, 1
 77593950, 1, 0.1450669, 94796.84, 30.89, 0, 77593, 0, 25.33701, 1
 77693910, 0, -0.0273711, 94798.35, 30.89, 0, 77693, 0, 25.33701, 1
 77693910, 1, -0.1697008, 94800.27, 30.9, 0, 77693, 0, 25.33701, 1
 77793870, 0, -0.01642266, 94798.23, 30.9, 0.0034271, 77793, 0, 25.33701, 1
 77793870, 1, -0.03284533, 94798.77, 30.9, 0.0034271, 77793, 0, 25.33701, 1
 77893830, 0, 0, 94798.08, 30.9, 0.0222876, 77893, 0, 25.33701, 1
 77893830, 1, 0.2217059, 94796.03, 30.9, 0.0222876, 77893, 0, 25.33701, 1
 77993790, 0, 0.03010822, 94797.74, 30.9, 0.0693131, 77993, 0, 25.33701, 1
 77993790, 1, 0.03831955, 94798.02, 30.9, 0.0693131, 77993, 0, 25.33701, 1
 78093750, 0, 0.06842776, 94797.32, 30.9, 0.1445536, 78093, 0, 25.33701, 1
 78093750, 1, 0.1067473, 94797.26, 30.9, 0.1445536, 78093, 0, 25.33701, 1
 78193710, 0, 0.1204329, 94796.75, 30.9, 0.2386418, 78193, 0, 25.33701, 1
 78193710, 1, 0.01368555, 94798.29, 30.9, 0.2386418, 78193, 0, 25.33701, 1
 78293670, 0, 0.2408657, 94795.46, 30.9, 0.3618118, 78293, 0, 25.33701, 1
 78293670, 1, 0.4570974, 94793.48, 30.9, 0.3618118, 78293, 0, 25.33701, 1
 78393630, 0, 0.3914068, 94793.8, 30.9, 0.5696611, 78393, 0, 25.33701, 1
 78393630, 1, 0.5994272, 94791.94, 30.9, 0.5696611, 78393, 0, 25.33701, 1
 78494423, 0, 0.5830045, 94791.73, 30.9, 0.9029433, 78494, 0, 25.33701, 1
