Time,CTUN_ThI,CTUN_ABst,CTUN_ThO,CTUN_ThH,CTUN_DAlt,CTUN_Alt,CTUN_BAlt,CTUN_DSAlt,CTUN_SAlt,CTUN_TAlt,CTUN_DCRt,CTUN_CRt
 70194411, -2.086163E-07, -2.700062E-13, 0, 0.3456158, -0.02738639, -0.02738639, -0.02, NaN, 0, 0.00261361, 0, 0
 70294371, -2.086163E-07, -2.700062E-13, 0, 0.3456158, -0.02739186, -0.02739186, -0.02, NaN, 0, 0.002608139, 0, 0
 70394331, -2.086163E-07, -2.700062E-13, 0, 0.3456158, -0.0273977, -0.0273977, -0.02, NaN, 0, 0.002602298, 0, 0
 70494291, -2.086163E-07, -2.700062E-13, 0, 0.3456158, -0.02740015, -0.02740015, -0.02, NaN, 0, 0.002599848, 0, 0
 70594251, -2.086163E-07, -2.700062E-13, 0, 0.3456158, -0.0274054, -0.0274054, -0.02, NaN, 0, 0.002594598, 0, 0
 70694211, -2.086163E-07, -2.700062E-13, 0, 0.3456158, -0.02740521, -0.02740521, -0.02, NaN, 0, 0.002594786, 0, 0
 70794171, -2.086163E-07, -2.700062E-13, 0, 0.3456158, -0.02740547, -0.02740547, -0.02, NaN, 0, 0.002594532, 0, 0
 70894131, -2.086163E-07, -2.700062E-13, 0, 0.3456158, -0.02740681, -0.02740681, -0.02, NaN, 0, 0.002593186, 0, 0
 70994091, -2.086163E-07, -2.700062E-13, 0, 0.3456158, -0.02741581, -0.02741581, -0.02, NaN, 0, 0.002584189, 0, 0
 71094051, -2.086163E-07, -2.700062E-13, 0, 0.3456158, -0.02741995, -0.02741995, -0.02, NaN, 0, 0.00258005, 0, 0
 71194011, -2.086163E-07, -2.984279E-13, 0, 0.3456158, -0.02742696, -0.02742696, -0.02, NaN, 0, 0.002573036, 0, 0
 71293971, -2.086163E-07, -2.984279E-13, 0, 0.3456158, -0.02742945, -0.02742945, -0.02, NaN, 0, 0.002570553, 0, 0
 71393931, -2.086163E-07, -2.984279E-13, 0, 0.3456158, -0.02743216, -0.02743216, -0.02, NaN, 0, 0.002567841, 0, 0
 71493891, -2.086163E-07, -3.268497E-13, 0, 0.3456158, -0.02742733, -0.02742733, -0.02, NaN, 0, 0.002572671, 0, 0
 71593851, -2.086163E-07, -3.268497E-13, 0, 0.3456158, -0.02742341, -0.02742341, -0.02, NaN, 0, 0.002576586, 0, 0
 71693811, -2.086163E-07, -3.410605E-13, 0, 0.3456158, -0.02741846, -0.02741846, -0.02, NaN, 0, 0.002581537, 0, 0
 71793771, -2.086163E-07, -3.694822E-13, 0, 0.3456158, -0.02741181, -0.02741181, -0.02, NaN, 0, 0.002588185, 0, 0
 71893731, -2.086163E-07, -3.694822E-13, 0, 0.3456158, -0.02740411, -0.02740411, -0.02, NaN, 0, 0.00259589, 0, 0
 71993691, -2.086163E-07, -3.979039E-13, 0, 0.3456158, -0.0273929, -0.0273929, -0.02, NaN, 0, 0.002607094, 0, 0
 72093651, -2.086163E-07, -3.979039E-13, 0, 0.3456158, -0.02738392, -0.02738392, -0.02, NaN, 0, 0.002616078, 0, 0
 72193611, -2.086163E-07, -4.263256E-13, 0, 0.3456158, -0.02737689, -0.02737689, -0.02, NaN, 0, 0.002623104, 0, 0
 72294404, -2.086163E-07, -4.547474E-13, 0, 0.3456158, -0.02737508, -0.02737508, -0.02, NaN, 0, 0.002624923, 0, 0
 72394364, -2.086163E-07, -4.547474E-13, 0, 0.3456158, -0.02737644, -0.02737644, -0.02, NaN, 0, 0.002623556, 0, 0
 72494324, -2.086163E-07, -4.689582E-13, 0, 0.3456158, -0.02738095, -0.02738095, -0.02, NaN, 0, 0.002619043, 0, 0
 72594284, -2.086163E-07, -4.973799E-13, 0, 0.3456158, -0.02738426, -0.02738426, -0.02, NaN, 0, 0.002615735, 0, 0
 72694244, -2.086163E-07, -4.973799E-13, 0, 0.3456158, -0.02738755, -0.02738755, -0.02, NaN, 0, 0.002612451, 0, 0
 72794204, -2.086163E-07, -5.258016E-13, 0, 0.3456158, -0.02739048, -0.02739048, -0.02, NaN, 0, 0.002609514, 0, 0
 72894164, -2.086163E-07, -5.400125E-13, 0, 0.3456158, -0.02739046, -0.02739046, -0.02, NaN, 0, 0.00260954, 0, 0
 72994124, -2.086163E-07, -5.684342E-13, 0, 0.3456158, -0.02739075, -0.02739075, -0.02, NaN, 0, 0.002609251, 0, 0
 73094084, -2.086163E-07, -5.968559E-13, 0, 0.3456158, -0.02739043, -0.02739043, -0.02, NaN, 0, 0.002609568, 0, 0
 73194044, -2.086163E-07, -5.968559E-13, 0, 0.3456158, -0.0273911, -0.0273911, -0.02, NaN, 0, 0.002608899, 0, 0
 73294004, -2.086163E-07, -6.252776E-13, 0, 0.3456158, -0.02739199, -0.02739199, -0.02, NaN, 0, 0.002608011, 0, 0
