Time,GPA_I,GPA_VDop,GPA_HAcc,GPA_VAcc,GPA_SAcc,GPA_YAcc,GPA_VV,GPA_SMS,GPA_Delta
 70194411, 0, 2, 0.3, 0.3, 0.04, 0, 1, 70167, 200
 70394331, 0, 2, 0.3, 0.3, 0.04, 0, 1, 70367, 200
 70594251, 0, 2, 0.3, 0.3, 0.04, 0, 1, 70567, 200
 70794171, 0, 2, 0.3, 0.3, 0.04, 0, 1, 70767, 200
 70994091, 0, 2, 0.3, 0.3, 0.04, 0, 1, 70967, 200
 71194011, 0, 2, 0.3, 0.3, 0.04, 0, 1, 71167, 200
 71393931, 0, 2, 0.3, 0.3, 0.04, 0, 1, 71367, 200
 71593851, 0, 2, 0.3, 0.3, 0.04, 0, 1, 71567, 200
 71793771, 0, 2, 0.3, 0.3, 0.04, 0, 1, 71767, 200
 71993691, 0, 2, 0.3, 0.3, 0.04, 0, 1, 71967, 200
 72193611, 0, 2, 0.3, 0.3, 0.04, 0, 1, 72167, 200
 72394364, 0, 2, 0.3, 0.3, 0.04, 0, 1, 72367, 200
 72594284, 0, 2, 0.3, 0.3, 0.04, 0, 1, 72567, 200
 72794204, 0, 2, 0.3, 0.3, 0.04, 0, 1, 72767, 200
 72994124, 0, 2, 0.3, 0.3, 0.04, 0, 1, 72967, 200
 73194044, 0, 2, 0.3, 0.3, 0.04, 0, 1, 73167, 200
 73393964, 0, 2, 0.3, 0.3, 0.04, 0, 1, 73367, 200
 73593884, 0, 2, 0.3, 0.3, 0.04, 0, 1, 73567, 200
 73793804, 0, 2, 0.3, 0.3, 0.04, 0, 1, 73767, 200
 73993724, 0, 2, 0.3, 0.3, 0.04, 0, 1, 73967, 200
 74193644, 0, 2, 0.3, 0.3, 0.04, 0, 1, 74167, 200
 74394397, 0, 2, 0.3, 0.3, 0.04, 0, 1, 74367, 200
 74594317, 0, 2, 0.3, 0.3, 0.04, 0, 1, 74567, 200
 74794237, 0, 2, 0.3, 0.3, 0.04, 0, 1, 74767, 200
 74994157, 0, 2, 0.3, 0.3, 0.04, 0, 1, 74967, 200
 75194077, 0, 2, 0.3, 0.3, 0.04, 0, 1, 75167, 200
 75393997, 0, 2, 0.3, 0.3, 0.04, 0, 1, 75367, 200
 75593917, 0, 2, 0.3, 0.3, 0.04, 0, 1, 75567, 200
 75793837, 0, 2, 0.3, 0.3, 0.04, 0, 1, 75767, 200
 75993757, 0, 2, 0.3, 0.3, 0.04, 0, 1, 75967, 200
 76193677, 0, 2, 0.3, 0.3, 0.04, 0, 1, 76167, 200
 76394430, 0, 2, 0.3, 0.3, 0.04, 0, 1, 76367, 200
 76594350, 0, 2, 0.3, 0.3, 0.04, 0, 1, 76567, 200
 76794270, 0, 2, 0.3, 0.3, 0.04, 0, 1, 76767, 200
 76994190, 0, 2, 0.3, 0.3, 0.04, 0, 1, 76967, 200
 77194110, 0, 2, 0.3, 0.3, 0.04, 0, 1, 77167, 200
 77394030, 0, 2, 0.3, 0.3, 0.04, 0, 1, 77367, 200
