Time,IMU_I,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_EG,IMU_EA,IMU_T,IMU_GH,IMU_AH,IMU_GHz,IMU_AHz
 70134435, 0, 0.0009207529, 0.0009739885, 0.0009847669, -0.000147135, -0.001189132, -9.816705, 0, 0, 29.0772, 1, 1, 1000, 1000
 70134435, 1, 0.0009004429, 0.001019453, 0.0009145908, -0.0006366386, -0.003309251, -9.81626, 0, 0, 29.0772, 1, 1, 760, 800
 70174419, 0, 0.001046879, 0.001046453, 0.0009505233, -0.001542296, -0.0007411363, -9.817551, 0, 0, 29.07932, 1, 1, 1000, 1000
 70174419, 1, 0.001112679, 0.0008769479, 0.0008816255, -0.002343999, -0.0003421069, -9.817379, 0, 0, 29.07932, 1, 1, 760, 800
 70214403, 0, 0.0009799339, 0.001028163, 0.0009433681, -0.0006290316, -0.0004103867, -9.817104, 0, 0, 29.08144, 1, 1, 1000, 1000
 70214403, 1, 0.0009216542, 0.001248419, 0.0009619067, -0.0006707109, -0.001530558, -9.816277, 0, 0, 29.08144, 1, 1, 760, 800
 70254387, 0, 0.001051018, 0.001009254, 0.001026914, -0.001374739, -0.001552108, -9.817187, 0, 0, 29.08356, 1, 1, 1000, 1000
 70254387, 1, 0.00114809, 0.001009441, 0.0009899933, -0.002611046, -0.002031069, -9.818628, 0, 0, 29.08356, 1, 1, 760, 800
 70294371, 0, 0.0009618311, 0.0009786924, 0.001007416, -0.00068237, -0.0007362579, -9.817474, 0, 0, 29.08569, 1, 1, 1000, 1000
 70294371, 1, 0.000857442, 0.0008960215, 0.001015258, -0.0008808512, 0.002050209, -9.819202, 0, 0, 29.08569, 1, 1, 760, 800
 70334355, 0, 0.0009716924, 0.001049142, 0.001001977, -0.001274556, -2.398348E-05, -9.818083, 0, 0, 29.08781, 1, 1, 1000, 1000
 70334355, 1, 0.001058757, 0.0009395458, 0.0009115675, -0.00183805, -0.0005551511, -9.819555, 0, 0, 29.08781, 1, 1, 760, 800
 70374339, 0, 0.001045035, 0.001011443, 0.00104087, -0.0008748083, -0.0006720895, -9.81786, 0, 0, 29.08993, 1, 1, 1000, 1000
 70374339, 1, 0.001019696, 0.0009325392, 0.001020968, -0.00278305, -0.00127343, -9.819425, 0, 0, 29.08993, 1, 1, 760, 800
 70414323, 0, 0.0009731116, 0.001106968, 0.001052025, -0.001432014, -0.0001691344, -9.817932, 0, 0, 29.09205, 1, 1, 1000, 1000
 70414323, 1, 0.00141117, 0.0009414289, 0.001205663, -0.001469404, -0.002405556, -9.817982, 0, 0, 29.09205, 1, 1, 760, 800
 70454307, 0, 0.0009372905, 0.001014904, 0.001033969, -0.0007028189, -0.0008391172, -9.817196, 0, 0, 29.09417, 1, 1, 1000, 1000
 70454307, 1, 0.000925059, 0.0009228431, 0.0009209869, 0.0006551641, -0.00198523, -9.818461, 0, 0, 29.09417, 1, 1, 760, 800
 70494291, 0, 0.0009479036, 0.001007555, 0.0009937716, -3.45704E-05, -0.001408193, -9.817478, 0, 0, 29.09629, 1, 1, 1000, 1000
 70494291, 1, 0.001227983, 0.000921821, 0.001005971, -7.082684E-06, -0.0004113862, -9.815488, 0, 0, 29.09629, 1, 1, 760, 800
 70534275, 0, 0.001021565, 0.0009844681, 0.000938205, -0.001610352, -0.0008638266, -9.817554, 0, 0, 29.09841, 1, 1, 1000, 1000
 70534275, 1, 0.00101724, 0.001043578, 0.001128364, -0.002539283, -0.00137351, -9.816653, 0, 0, 29.09841, 1, 1, 760, 800
 70574259, 0, 0.0009738222, 0.0009397858, 0.001009589, -0.001135672, -0.001550636, -9.81724, 0, 0, 29.10053, 1, 1, 1000, 1000
 70574259, 1, 0.0008718873, 0.0009100484, 0.001062714, -0.002934617, -0.001082604, -9.816631, 0, 0, 29.10053, 1, 1, 760, 800
 70614243, 0, 0.001048863, 0.001046449, 0.0009305845, -0.0001415042, -0.0001682042, -9.817593, 0, 0, 29.10265, 1, 1, 1000, 1000
 70614243, 1, 0.0007694871, 0.001064832, 0.0007581424, -0.002886345, -0.002397291, -9.818033, 0, 0, 29.10265, 1, 1, 760, 800
 70654227, 0, 0.001022824, 0.0009976694, 0.001011274, -0.001313359, -0.0008646043, -9.818842, 0, 0, 29.10477, 1, 1, 1000, 1000
 70654227, 1, 0.0008450982, 0.001450535, 0.0007515106, -0.0008926154, -0.002365617, -9.817021, 0, 0, 29.10477, 1, 1, 760, 800
 70694211, 0, 0.0009987135, 0.001026776, 0.001050986, -0.000324077, -0.001923252, -9.817116, 0, 0, 29.10689, 1, 1, 1000, 1000
 70694211, 1, 0.001004085, 0.0009176268, 0.0009980719, -0.0006489021, -0.001349832, -9.818363, 0, 0, 29.10689, 1, 1, 760, 800
 70734195, 0, 0.001030372, 0.001011049, 0.001009767, -0.0002008543, -0.0005572066, -9.817161, 0, 0, 29.10901, 1, 1, 1000, 1000
 70734195, 1, 0.001041969, 0.001014335, 0.0009422148, -0.00178932, -0.0001619948, -9.82021, 0, 0, 29.10901, 1, 1, 760, 800
 70774179, 0, 0.0009671053, 0.0009935247, 0.001018737, -0.0004604773, -7.971757E-07, -9.816999, 0, 0, 29.11113, 1, 1, 1000, 1000
 70774179, 1, 0.0008387115, 0.00117018, 0.001029305, -0.0008742486, -0.003289643, -9.816265, 0, 0, 29.11113, 1, 1, 760, 800
 70814163, 0, 0.001013838, 0.001062668, 0.0009957106, -0.001308176, -0.001020335, -9.816621, 0, 0, 29.11325, 1, 1, 1000, 1000
 70814163, 1, 0.001203085, 0.001278028, 0.0008087125, -0.002685411, -0.002042614, -9.816622, 0, 0, 29.11325, 1, 1, 760, 800
 70854147, 0, 0.001007084, 0.000984522, 0.0009752624, -0.0003497918, -0.000153168, -9.81681, 0, 0, 29.11537, 1, 1, 1000, 1000
 70854147, 1, 0.001136843, 0.0009559608, 0.0007246874, -0.002355857, -0.0004640707, -9.817513, 0, 0, 29.11537, 1, 1, 760, 800
 70894131, 0, 0.0009286197, 0.001013369, 0.00103448, -0.001668301, -0.0009682132, -9.816179, 0, 0, 29.11743, 1, 1, 1000, 1000
 70894131, 1, 0.001109423, 0.001054256, 0.0009395136, -0.001239714, -0.0005779015, -9.816642, 0, 0, 29.11748, 1, 1, 760, 800
 70934115, 0, 0.0009800775, 0.001030293, 0.001017944, -0.0003778718, 0.0005131543, -9.817478, 0, 0, 29.11955, 1, 1, 1000, 1000
 70934115, 1, 0.001126559, 0.001063626, 0.001136745, 0.002088059, -0.001698006, -9.816006, 0, 0, 29.1196, 1, 1, 760, 800
 70974099, 0, 0.0009674485, 0.001075526, 0.001079012, -0.0009336128, 0.0003452553, -9.818545, 0, 0, 29.12167, 1, 1, 1000, 1000
 70974099, 1, 0.001118877, 0.001310702, 0.0009382457, -0.0006305694, -0.00316209, -9.818336, 0, 0, 29.12172, 1, 1, 760, 800
 71014083, 0, 0.0009773271, 0.0009497269, 0.001081301, -0.0004360023, -0.0009648037, -9.817943, 0, 0, 29.12378, 1, 1, 1000, 1000
 71014083, 1, 0.0009286941, 0.001167053, 0.0009902059, -0.0008148673, -0.001035137, -9.818354, 0, 0, 29.12383, 1, 1, 760, 800
 71054067, 0, 0.001023126, 0.0009671853, 0.001018692, -0.0008838702, -0.002215571, -9.817945, 0, 0, 29.1259, 1, 1, 1000, 1000
 71054067, 1, 0.001156937, 0.001037484, 0.001112485, -2.832323E-05, -0.00255711, -9.817732, 0, 0, 29.12595, 1, 1, 760, 800
 71094051, 0, 0.00100106, 0.000977822, 0.001046522, -0.001536217, -0.0009729245, -9.817389, 0, 0, 29.12802, 1, 1, 1000, 1000
 71094051, 1, 0.0008212641, 0.00131406, 0.0009004456, -0.002282491, -0.00123472, -9.81797, 0, 0, 29.12807, 1, 1, 760, 800
 71134035, 0, 0.001065703, 0.001037026, 0.0009960152, -0.0003399117, -0.001159472, -9.8158, 0, 0, 29.13013, 1, 1, 1000, 1000
 71134035, 1, 0.001029488, 0.001205339, 0.0008119205, -0.0005834001, -0.002043411, -9.817276, 0, 0, 29.13018, 1, 1, 760, 800
 71174019, 0, 0.001001076, 0.001072308, 0.001019679, -0.001537657, -0.0003977892, -9.817345, 0, 0, 29.13225, 1, 1, 1000, 1000
 71174019, 1, 0.0009125096, 0.00081282, 0.001093251, -0.0007189407, 0.000628216, -9.81666, 0, 0, 29.1323, 1, 1, 760, 800
 71214003, 0, 0.0009671663, 0.0009793836, 0.001035869, -0.001348321, -0.001211059, -9.818844, 0, 0, 29.13436, 1, 1, 1000, 1000
 71214003, 1, 0.000919764, 0.0008709762, 0.0009535339, -0.002062352, -0.00237041, -9.818701, 0, 0, 29.13441, 1, 1, 760, 800
 71253987, 0, 0.001098496, 0.001055922, 0.001018269, -0.001083515, -0.001513033, -9.8174, 0, 0, 29.13648, 1, 1, 1000, 1000
 71253987, 1, 0.0007488405, 0.001082384, 0.0008347381, -7.450396E-05, -0.003681362, -9.819386, 0, 0, 29.13648, 1, 1, 760, 800
 71293971, 0, 0.001038218, 0.001033474, 0.001047208, -0.0003049514, -0.00161624, -9.816683, 0, 0, 29.13859, 1, 1, 1000, 1000
 71293971, 1, 0.001041409, 0.0009685784, 0.001014024, -0.004058537, -0.002993981, -9.816603, 0, 0, 29.13859, 1, 1, 760, 800
 71333955, 0, 0.001005706, 0.0009718645, 0.001039398, -0.001152011, -0.0008403648, -9.818459, 0, 0, 29.14071, 1, 1, 1000, 1000
 71333955, 1, 0.001220397, 0.0009050289, 0.00104848, -0.002903156, 0.0007888332, -9.817997, 0, 0, 29.14071, 1, 1, 760, 800
 71373939, 0, 0.001030433, 0.001022695, 0.001043183, -0.0002750027, -0.000528425, -9.818102, 0, 0, 29.14282, 1, 1, 1000, 1000
 71373939, 1, 0.0009112297, 0.001085858, 0.001021203, 0.001424667, -0.002722705, -9.818733, 0, 0, 29.14282, 1, 1, 760, 800
 71413923, 0, 0.001052006, 0.001027554, 0.001012833, -0.001428141, -0.0008620665, -9.817513, 0, 0, 29.14494, 1, 1, 1000, 1000
 71413923, 1, 0.0009680714, 0.0009293196, 0.001145456, -0.0005760451, -0.001818644, -9.818909, 0, 0, 29.14494, 1, 1, 760, 800
 71453907, 0, 0.001016114, 0.001070642, 0.001039418, -0.0005789667, -0.002169868, -9.818228, 0, 0, 29.14705, 1, 1, 1000, 1000
 71453907, 1, 0.0009599036, 0.001037942, 0.001033638, -0.003766044, -0.001421804, -9.819155, 0, 0, 29.14705, 1, 1, 760, 800
 71493891, 0, 0.001031574, 0.001047005, 0.001055209, -0.001398062, -0.001784691, -9.817641, 0, 0, 29.14916, 1, 1, 1000, 1000
 71493891, 1, 0.0008160469, 0.001043664, 0.0009980866, 0.001538305, -0.002228745, -9.816507, 0, 0, 29.14916, 1, 1, 760, 800
 71533875, 0, 0.001011436, 0.001046869, 0.001123925, -0.001595466, -0.001276108, -9.818322, 0, 0, 29.15128, 1, 1, 1000, 1000
 71533875, 1, 0.0007298862, 0.001312992, 0.0009498575, -0.0008816763, -7.691899E-05, -9.817103, 0, 0, 29.15128, 1, 1, 760, 800
 71573859, 0, 0.001053335, 0.001003213, 0.001030413, -0.0007580802, -0.0007561232, -9.81768, 0, 0, 29.15339, 1, 1, 1000, 1000
 71573859, 1, 0.001043041, 0.001080519, 0.001002717, -0.002430334, -0.0006700555, -9.818227, 0, 0, 29.15339, 1, 1, 760, 800
