Time,MAV_chan,MAV_txp,MAV_rxp,MAV_rxdp,MAV_flags,MAV_ss,MAV_tf
 70914123, 0, 5759, 400, 0, 6, 0, 0
 71916222, 0, 5821, 404, 0, 6, 0, 0
 72919154, 0, 5884, 407, 0, 6, 0, 0
 73921253, 0, 5947, 410, 0, 6, 0, 0
 74924185, 0, 6010, 413, 0, 6, 0, 0
 75926284, 0, 6096, 417, 0, 6, 0, 0
 76929216, 0, 6206, 421, 0, 6, 0, 0
 77931315, 0, 6315, 424, 0, 6, 0, 0
 78934247, 0, 6424, 427, 0, 6, 0, 0
 79936346, 0, 6535, 430, 0, 6, 0, 0
 80939278, 0, 6645, 435, 0, 6, 0, 0
 81941377, 0, 6754, 438, 0, 6, 0, 0
 82944309, 0, 6890, 441, 0, 6, 0, 0
 83946408, 0, 6999, 444, 0, 6, 0, 0
 84949340, 0, 7085, 457, 0, 6, 0, 0
 85951439, 0, 7151, 461, 0, 6, 0, 0
 86954371, 0, 7214, 464, 0, 6, 0, 0
 87956470, 0, 7277, 467, 0, 6, 0, 0
 88959402, 0, 7340, 470, 0, 6, 0, 0
 89961501, 0, 7403, 473, 0, 6, 0, 0
 90964433, 0, 7490, 479, 0, 6, 0, 0
 91966532, 0, 7601, 482, 0, 6, 0, 0
 92968631, 0, 7710, 485, 0, 6, 0, 0
 93969064, 0, 7819, 488, 0, 6, 0, 0
 94971163, 0, 7928, 491, 0, 6, 0, 0
 95974095, 0, 8037, 494, 0, 6, 0, 0
 96976194, 0, 8146, 497, 0, 6, 0, 0
 97979126, 0, 8255, 500, 0, 6, 0, 0
 98981225, 0, 8364, 503, 0, 6, 0, 0
 99984157, 0, 8473, 506, 0, 6, 0, 0
 100986256, 0, 8537, 521, 0, 6, 0, 0
 101989188, 0, 8600, 524, 0, 6, 0, 0
 102991287, 0, 8663, 527, 0, 6, 0, 0
 103994219, 0, 8726, 530, 0, 6, 0, 0
 104996318, 0, 8789, 533, 0, 6, 0, 0
 105999250, 0, 8898, 537, 0, 6, 0, 0
 107001349, 0, 9007, 540, 0, 6, 0, 0
 108004281, 0, 9116, 543, 0, 6, 0, 0
 109006380, 0, 9225, 546, 0, 6, 0, 0
 110009312, 0, 9334, 549, 0, 6, 0, 0
 111011411, 0, 9444, 554, 0, 6, 0, 0
 112014343, 0, 9553, 557, 0, 6, 0, 0
 113016442, 0, 9662, 560, 0, 6, 0, 0
 114019374, 0, 9771, 563, 0, 6, 0, 0
 115021473, 0, 9885, 566, 0, 6, 0, 0
 116024405, 0, 9999, 569, 0, 6, 0, 0
 117026504, 0, 10112, 572, 0, 6, 0, 0
 118028603, 0, 10225, 575, 0, 6, 0, 0
 119029036, 0, 10338, 578, 0, 6, 0, 0
 120031135, 0, 10452, 581, 0, 6, 0, 0
 121034067, 0, 10565, 587, 0, 6, 0, 0
 122036166, 0, 10678, 590, 0, 6, 0, 0
 123039098, 0, 10772, 605, 0, 6, 0, 0
 124041197, 0, 10837, 608, 0, 6, 0, 0
 125044129, 0, 10902, 611, 0, 6, 0, 0
 126046228, 0, 10967, 614, 0, 6, 0, 0
 127049160, 0, 11032, 617, 0, 6, 0, 0
 128051259, 0, 11097, 620, 0, 6, 0, 0
 129054191, 0, 11162, 623, 0, 6, 0, 0
 130056290, 0, 11231, 628, 0, 6, 0, 0
 131059222, 0, 11296, 631, 0, 6, 0, 0
