Time,MOTB_LiftMax,MOTB_BatVolt,MOTB_ThLimit,MOTB_ThrAvMx,MOTB_FailFlags
 70194411, 0.9728535, 0.9834396, 1, 0.03456159, 2
 70294371, 0.9728535, 0.9834396, 1, 0.03456159, 2
 70394331, 0.9728535, 0.9834396, 1, 0.03456159, 2
 70494291, 0.9728535, 0.9834396, 1, 0.03456159, 2
 70594251, 0.9728535, 0.9834396, 1, 0.03456159, 2
 70694211, 0.9728535, 0.9834396, 1, 0.03456159, 2
 70794171, 0.9728535, 0.9834396, 1, 0.03456159, 2
 70894131, 0.9728535, 0.9834396, 1, 0.03456159, 2
 70994091, 0.9728535, 0.9834396, 1, 0.03456159, 2
 71094051, 0.9728535, 0.9834396, 1, 0.03456159, 2
 71194011, 0.9728535, 0.9834396, 1, 0.03456159, 2
 71293971, 0.9728535, 0.9834396, 1, 0.03456159, 2
 71393931, 0.9728535, 0.9834396, 1, 0.03456159, 2
 71493891, 0.9728535, 0.9834396, 1, 0.03456159, 2
 71593851, 0.9728535, 0.9834396, 1, 0.03456159, 2
 71693811, 0.9728535, 0.9834396, 1, 0.03456159, 2
 71793771, 0.9728535, 0.9834396, 1, 0.03456159, 2
 71893731, 0.9728535, 0.9834396, 1, 0.03456159, 2
 71993691, 0.9728535, 0.9834396, 1, 0.03456159, 2
 72093651, 0.9728535, 0.9834396, 1, 0.03456159, 2
 72193611, 0.9728535, 0.9834396, 1, 0.03456159, 2
 72294404, 0.9728535, 0.9834396, 1, 0.03456159, 2
 72394364, 0.9728535, 0.9834396, 1, 0.03456159, 2
 72494324, 0.9728535, 0.9834396, 1, 0.03456159, 2
 72594284, 0.9728535, 0.9834396, 1, 0.03456159, 2
 72694244, 0.9728535, 0.9834396, 1, 0.03456159, 2
 72794204, 0.9728535, 0.9834396, 1, 0.03456159, 2
 72894164, 0.9728535, 0.9834396, 1, 0.03456159, 2
 72994124, 0.9728535, 0.9834396, 1, 0.03456159, 2
 73094084, 0.9728535, 0.9834396, 1, 0.03456159, 2
