Time,PSCD_TPD,PSCD_PD,PSCD_DVD,PSCD_TVD,PSCD_VD,PSCD_DAD,PSCD_TAD,PSCD_AD
 70194411, 0.02738639, 0.02738639, 7.010328E-05, 7.010328E-05, 7.010328E-05, 6.008148E-05, 6.008148E-05, 6.008148E-05
 70294371, 0.02739186, 0.02739186, 8.2371E-05, 8.2371E-05, 8.2371E-05, 4.577637E-05, 4.577637E-05, 4.577637E-05
 70394331, 0.0273977, 0.0273977, 7.254093E-05, 7.254093E-05, 7.254093E-05, 0.0003757477, 0.0003757477, 0.0003757477
 70494291, 0.02740015, 0.02740015, 9.009861E-05, 9.009861E-05, 9.009861E-05, 3.051758E-05, 3.051758E-05, 3.051758E-05
 70594251, 0.0274054, 0.0274054, 9.138029E-05, 9.138029E-05, 9.138029E-05, 0.0003576279, 0.0003576279, 0.0003576279
 70694211, 0.02740521, 0.02740521, 5.099763E-05, 5.099763E-05, 5.099763E-05, 0.0003824234, 0.0003824234, 0.0003824234
 70794171, 0.02740547, 0.02740547, 6.162904E-05, 6.162904E-05, 6.162904E-05, 0.000213623, 0.000213623, 0.000213623
 70894131, 0.02740681, 0.02740681, 0.0001074249, 0.0001074249, 0.0001074249, 0.001327515, 0.001327515, 0.001327515
 70994091, 0.02741581, 0.02741581, 0.0001303487, 0.0001303487, 0.0001303487, 2.098083E-05, 2.098083E-05, 2.098083E-05
 71094051, 0.02741995, 0.02741995, 0.000110534, 0.000110534, 0.000110534, 0.0001068115, 0.0001068115, 0.0001068115
 71194011, 0.02742696, 0.02742696, 0.0001437456, 0.0001437456, 0.0001437456, 0.0001354218, 0.0001354218, 0.0001354218
 71293971, 0.02742945, 0.02742945, 0.0001239918, 0.0001239918, 0.0001239918, 0.0008039474, 0.0008039474, 0.0008039474
 71393931, 0.02743216, 0.02743216, 5.641665E-05, 5.641665E-05, 5.641665E-05, -0.0008087158, -0.0008087158, -0.0008087158
 71493891, 0.02742733, 0.02742733, 3.837877E-05, 3.837877E-05, 3.837877E-05, -0.0001401901, -0.0001401901, -0.0001401901
 71593851, 0.02742341, 0.02742341, 3.290778E-05, 3.290778E-05, 3.290778E-05, 0.0002622604, 0.0002622604, 0.0002622604
 71693811, 0.02741846, 0.02741846, -4.162063E-06, -4.162063E-06, -4.162063E-06, -0.000330925, -0.000330925, -0.000330925
 71793771, 0.02741181, 0.02741181, -2.875374E-05, -2.875374E-05, -2.875374E-05, 0.0001525879, 0.0001525879, 0.0001525879
 71893731, 0.02740411, 0.02740411, -6.149486E-05, -6.149486E-05, -6.149486E-05, -0.0001792908, -0.0001792908, -0.0001792908
 71993691, 0.0273929, 0.0273929, -9.544152E-05, -9.544152E-05, -9.544152E-05, -0.0001459122, -0.0001459122, -0.0001459122
 72093651, 0.02738392, 0.02738392, -9.264665E-05, -9.264665E-05, -9.264665E-05, 0.0002613068, 0.0002613068, 0.0002613068
 72193611, 0.02737689, 0.02737689, -7.447856E-05, -7.447856E-05, -7.447856E-05, 0.0003547668, 0.0003547668, 0.0003547668
 72294404, 0.02737508, 0.02737508, -4.856086E-05, -4.856086E-05, -4.856086E-05, 0.0002536774, 0.0002536774, 0.0002536774
 72394364, 0.02737644, 0.02737644, -2.76002E-06, -2.76002E-06, -2.76002E-06, 0.0005569458, 0.0005569458, 0.0005569458
 72494324, 0.02738095, 0.02738095, -1.083374E-05, -1.083374E-05, -1.083374E-05, -0.0008239746, -0.0008239746, -0.0008239746
 72594284, 0.02738426, 0.02738426, 6.274888E-06, 6.274888E-06, 6.274888E-06, 0.0001296997, 0.0001296997, 0.0001296997
 72694244, 0.02738755, 0.02738755, 7.918908E-06, 7.918908E-06, 7.918908E-06, 0.0003423691, 0.0003423691, 0.0003423691
 72794204, 0.02739048, 0.02739048, 5.000459E-06, 5.000459E-06, 5.000459E-06, 0.0001430511, 0.0001430511, 0.0001430511
 72894164, 0.02739046, 0.02739046, -1.016961E-05, -1.016961E-05, -1.016961E-05, 0.0002765656, 0.0002765656, 0.0002765656
 72994124, 0.02739075, 0.02739075, 9.72123E-06, 9.72123E-06, 9.72123E-06, 0.0007171631, 0.0007171631, 0.0007171631
 73094084, 0.02739043, 0.02739043, -1.140783E-05, -1.140783E-05, -1.140783E-05, -0.0001115799, -0.0001115799, -0.0001115799
 73194044, 0.0273911, 0.0273911, -5.396705E-06, -5.396705E-06, -5.396705E-06, -0.0002479553, -0.0002479553, -0.0002479553
 73294004, 0.02739199, 0.02739199, 1.164383E-05, 1.164383E-05, 1.164383E-05, -0.0001049042, -0.0001049042, -0.0001049042
 73393964, 0.02739395, 0.02739395, -2.577151E-05, -2.577151E-05, -2.577151E-05, -0.0004768372, -0.0004768372, -0.0004768372
 73493924, 0.0273929, 0.0273929, 4.734703E-05, 4.734703E-05, 4.734703E-05, 0.001540184, 0.001540184, 0.001540184
 73593884, 0.02739803, 0.02739803, 5.33646E-05, 5.33646E-05, 5.33646E-05, -0.0003786087, -0.0003786087, -0.0003786087
 73693844, 0.0273984, 0.0273984, -3.840872E-07, -3.840872E-07, -3.840872E-07, -0.0007629395, -0.0007629395, -0.0007629395
 73793804, 0.02739897, 0.02739897, 2.794559E-05, 2.794559E-05, 2.794559E-05, -0.000374794, -0.000374794, -0.000374794
 73893764, 0.02740232, 0.02740232, 6.127363E-05, 6.127363E-05, 6.127363E-05, 0.0001811981, 0.0001811981, 0.0001811981
 73993724, 0.02741141, 0.02741141, 0.0001375458, 0.0001375458, 0.0001375458, 0.0009431839, 0.0009431839, 0.0009431839
 74093684, 0.02742181, 0.02742181, 0.0001725293, 0.0001725293, 0.0001725293, 0.0004749298, 0.0004749298, 0.0004749298
 74193644, 0.02743486, 0.02743486, 0.0001672194, 0.0001672194, 0.0001672194, 4.291534E-05, 4.291534E-05, 4.291534E-05
 74293604, 0.02743859, 0.02743859, 0.0001125761, 0.0001125761, 0.0001125761, -0.0007104874, -0.0007104874, -0.0007104874
 74394397, 0.02743981, 0.02743981, 0.000111805, 0.000111805, 0.000111805, 0.0004081726, 0.0004081726, 0.0004081726
 74494357, 0.02743992, 0.02743992, 0.0001196928, 0.0001196928, 0.0001196928, 0.0007019043, 0.0007019043, 0.0007019043
 74594317, 0.02744443, 0.02744443, 0.0001258062, 0.0001258062, 0.0001258062, 8.869171E-05, 8.869171E-05, 8.869171E-05
 74694277, 0.0274462, 0.0274462, 0.0001565623, 0.0001565623, 0.0001565623, 6.866455E-05, 6.866455E-05, 6.866455E-05
 74794237, 0.02745463, 0.02745463, 0.0001583513, 0.0001583513, 0.0001583513, -0.0006904602, -0.0006904602, -0.0006904602
 74894197, 0.02745737, 0.02745737, 0.0001760651, 0.0001760651, 0.0001760651, -0.0003509521, -0.0003509521, -0.0003509521
 74994157, 0.02746467, 0.02746467, 0.0001865862, 0.0001865862, 0.0001865862, 0.0002040863, 0.0002040863, 0.0002040863
 75094117, 0.02746671, 0.02746671, 0.0001882441, 0.0001882441, 0.0001882441, -0.0002651215, -0.0002651215, -0.0002651215
 75194077, 0.02747047, 0.02747047, 0.0001503678, 0.0001503678, 0.0001503678, -0.0001983643, -0.0001983643, -0.0001983643
 75294037, 0.02747089, 0.02747089, 0.0002087648, 0.0002087648, 0.0002087648, 0.0003023148, 0.0003023148, 0.0003023148
 75393997, 0.0274789, 0.0274789, 0.0001913708, 0.0001913708, 0.0001913708, -6.961823E-05, -6.961823E-05, -6.961823E-05
 75493957, 0.02748084, 0.02748084, 0.0002196244, 0.0002196244, 0.0002196244, -4.005432E-05, -4.005432E-05, -4.005432E-05
 75593917, 0.02748876, 0.02748876, 0.0001890775, 0.0001890775, 0.0001890775, -0.001617432, -0.001617432, -0.001617432
 75693877, 0.02748627, 0.02748627, 0.0001950028, 0.0001950028, 0.0001950028, 0.0004491806, 0.0004491806, 0.0004491806
 75793837, 0.02749092, 0.02749092, 0.0001814415, 0.0001814415, 0.0001814415, -0.00105381, -0.00105381, -0.00105381
 75893797, 0.027488, 0.027488, 0.0001738012, 0.0001738012, 0.0001738012, -0.0005617142, -0.0005617142, -0.0005617142
 75993757, 0.0274892, 0.0274892, 0.0001505367, 0.0001505367, 0.0001505367, -0.0001592636, -0.0001592636, -0.0001592636
 76093717, 0.02748466, 0.02748466, 0.0001523132, 0.0001523132, 0.0001523132, -0.0002861023, -0.0002861023, -0.0002861023
 76193677, 0.02748589, 0.02748589, 0.0001232021, 0.0001232021, 0.0001232021, -0.001112938, -0.001112938, -0.001112938
 76293637, 0.02747838, 0.02747838, 8.885936E-05, 8.885936E-05, 8.885936E-05, 0.000749588, 0.000749588, 0.000749588
 76394430, 0.02747455, 0.02747455, 5.21919E-05, 5.21919E-05, 5.21919E-05, -0.0009145737, -0.0009145737, -0.0009145737
 76494390, 0.02746444, 0.02746444, 5.829931E-05, 5.829931E-05, 5.829931E-05, 0.0008230209, 0.0008230209, 0.0008230209
 76594350, 0.0274635, 0.0274635, 0.0001251458, 0.0001251458, 0.0001251458, 0.0007686615, 0.0007686615, 0.0007686615
 76694310, 0.02746505, 0.02746505, 0.0001408138, 0.0001408138, 0.0001408138, -0.0004644394, -0.0004644394, -0.0004644394
 76794270, 0.0274712, 0.0274712, 0.0001397694, 0.0001397694, 0.0001397694, -0.0003252029, -0.0003252029, -0.0003252029
 76894230, 0.02747141, 0.02747141, 0.0001692861, 0.0001692861, 0.0001692861, 0.001086235, 0.001086235, 0.001086235
 76994190, 0.0273318, 0.02747562, -0.007819872, -0.007963689, 0.0001292508, -0.2883936, -0.30504, -9.441376E-05
 77094150, 0.02430551, 0.02747388, -0.06103423, -0.0642026, 0.0001219495, -0.7883936, -1.005229, -0.0005025864
 77194110, 0.01360749, 0.02747541, -0.1562909, -0.1701589, 0.0001211546, -1, -1.67727, -0.000412941
 77294070, -0.007021604, 0.02747244, -0.2562909, -0.290785, 0.0001219336, -1, -2.260063, 8.583069E-06
 77394030, -0.0376507, 0.02747358, -0.356291, -0.4214152, 9.804666E-05, -1, -2.897032, -0.0003700256
 77493990, -0.0782798, 0.02747496, -0.456291, -0.5620458, 0.000176837, -1, -3.584507, 0.0007143021
 77593950, -0.1289089, 0.02748273, -0.556291, -0.7126825, 0.0001779879, -1, -4.321837, 0.001020432
 77693910, -0.189538, 0.02748573, -0.6562909, -0.8733146, 0.0001816197, -1, -5.109129, -0.0001373291
 77793870, -0.2601671, 0.0251917, -0.756291, -1.04165, -0.07015185, -1, -5.741353, -1.194001
 77893830, -0.3407961, 0.009978691, -0.8562909, -1.207066, -0.2064004, -1, -5.958496, -1.398578
 77993790, -0.4314252, -0.01878415, -0.956291, -1.368932, -0.3452834, -1, -6.08143, -1.369578
 78093750, -0.5320543, -0.0597032, -1.056291, -1.528642, -0.4789097, -1, -6.206717, -1.315239
 78193710, -0.6426834, -0.1164774, -1.156291, -1.682497, -0.7438816, -1, -6.060911, -5.202701
 78293670, -0.7633125, -0.222616, -1.256291, -1.796988, -1.340958, -1, -4.005556, -5.440735
 78393630, -0.8939416, -0.3789651, -1.356291, -1.871267, -1.715787, -1, -2.187894, -2.698671
 78494423, -1.034571, -0.5521324, -1.456291, -1.938729, -1.858131, -1, -1.487887, -0.8422003
 78594383, -1.1852, -0.7373832, -1.556291, -2.004108, -1.905125, -1, -1.462347, -0.3999853
 78694343, -1.345829, -0.9278372, -1.656291, -2.074283, -1.956776, -1, -1.568867, -0.6579199
 78794303, -1.516459, -1.128975, -1.756291, -2.143775, -2.042944, -1, -1.539254, -0.9752264
 78894263, -1.697087, -1.342866, -1.856291, -2.210512, -2.148926, -1, -1.372646, -1.08473
 78994223, -1.887717, -1.569236, -1.956291, -2.274771, -2.253766, -1, -1.167345, -1.006921
 79094183, -2.088346, -1.80612, -2.056291, -2.338516, -2.346355, -1, -1.003719, -0.8727369
 79194143, -2.298975, -2.052835, -2.156291, -2.402431, -2.427101, -1, -0.9006068, -0.7591743
 79294103, -2.519604, -2.30514, -2.256291, -2.470755, -2.499841, -1, -0.8573711, -0.7034997
 79394063, -2.750103, -2.567541, -2.349328, -2.531889, -2.569737, -0.7533622, -0.5782871, -0.6516705
 79494023, -2.988263, -2.836198, -2.4089, -2.560964, -2.620754, -0.4555, -0.1861608, -0.404706
 79593983, -3.231103, -3.109453, -2.444919, -2.566569, -2.648989, -0.2754059, 0.107253, -0.193161
 79693943, -3.476775, -3.385689, -2.466697, -2.557783, -2.658277, -0.1665161, 0.3114004, -0.02366734
 79793903, -3.724157, -3.66016, -2.479532, -2.54353, -2.653287, -0.05810547, 0.476311, 0.1057892
 79893863, -3.972002, -3.933209, -2.473641, -2.512434, -2.63368, 0.1637016, 0.750941, 0.2805576
 79993823, -4.218301, -4.203629, -2.450047, -2.46472, -2.595713, 0.3006569, 0.940824, 0.4514532
 80093783, -4.46165, -4.469271, -2.415517, -2.407897, -2.543471, 0.3853317, 1.056732, 0.5795155
 80193743, -4.701181, -4.729367, -2.374218, -2.346032, -2.48122, 0.4377876, 1.115031, 0.6646519
 80293703, -4.936356, -4.982879, -2.328723, -2.2822, -2.412551, 0.4703811, 1.130229, 0.719449
 80393663, -5.16684, -5.229417, -2.280613, -2.218036, -2.340069, 0.4907341, 1.114601, 0.7514161
 80493623, -5.392425, -5.468526, -2.230867, -2.154766, -2.266137, 0.5035439, 1.075172, 0.7488041
 80594416, -5.612979, -5.701997, -2.180085, -2.091067, -2.19146, 0.5117043, 1.031617, 0.7458543
 80694376, -5.82842, -5.926045, -2.128638, -2.031013, -2.117841, 0.5170097, 0.9737074, 0.7451744
 80794336, -6.038692, -6.142734, -2.076752, -1.972711, -2.046571, 0.520562, 0.9107022, 0.7122049
 80894296, -6.24376, -6.352141, -2.024568, -1.916186, -1.9779, 0.5230476, 0.8514832, 0.691658
