Time,PSCE_TPE,PSCE_PE,PSCE_DVE,PSCE_TVE,PSCE_VE,PSCE_DAE,PSCE_TAE,PSCE_AE
 70194411, 0.01283045, 0.01283045, 0.01623262, 0.01623262, 0.01623262, 0, -3.222295E-06, -3.272644E-06
 70294371, 0.0124897, 0.0124897, 0.01593992, 0.01593992, 0.01593992, 0, -3.222387E-06, -3.272736E-06
 70394331, 0.01275716, 0.01275716, 0.0161068, 0.0161068, 0.0161068, 0, -3.222474E-06, -3.272825E-06
 70494291, 0.01241298, 0.01241298, 0.01554117, 0.01554117, 0.01554117, 0, -3.222539E-06, -3.272891E-06
 70594251, 0.01262682, 0.01262682, 0.01538697, 0.01538697, 0.01538697, 0, -3.222565E-06, -3.272918E-06
 70694211, 0.01218658, 0.01218658, 0.01431172, 0.01431172, 0.01431172, 0, -3.22259E-06, -3.272943E-06
 70794171, 0.01223244, 0.01223244, 0.01376533, 0.01376533, 0.01376533, 0, -3.222623E-06, -3.272977E-06
 70894131, 0.01161696, 0.01161696, 0.0122927, 0.0122927, 0.0122927, 0, -3.222657E-06, -3.273011E-06
 70994091, 0.01144391, 0.01144391, 0.01143067, 0.01143067, 0.01143067, 0, -3.222709E-06, -3.273064E-06
 71094051, 0.01066514, 0.01066514, 0.009660323, 0.009660323, 0.009660323, 0, -3.222758E-06, -3.273113E-06
 71194011, 0.01026392, 0.01026392, 0.008485914, 0.008485914, 0.008485914, 0, -3.222815E-06, -3.273172E-06
 71293971, 0.009347382, 0.009347382, 0.006715922, 0.006715922, 0.006715922, 0, -3.222862E-06, -3.27322E-06
 71393931, 0.008784259, 0.008784259, 0.00553581, 0.00553581, 0.00553581, 0, -3.222914E-06, -3.273272E-06
 71493891, 0.007824506, 0.007824506, 0.003944921, 0.003944921, 0.003944921, 0, -3.222963E-06, -3.273321E-06
 71593851, 0.007180389, 0.007180389, 0.002908327, 0.002908327, 0.002908327, 0, -3.223022E-06, -3.273382E-06
 71693811, 0.006263993, 0.006263993, 0.001689459, 0.001689459, 0.001689459, 0, -3.223061E-06, -3.273421E-06
 71793771, 0.005639177, 0.005639177, 0.0008471366, 0.0008471366, 0.0008471366, 0, -3.223121E-06, -3.273483E-06
 71893731, 0.004820458, 0.004820458, -8.270172E-05, -8.270172E-05, -8.270172E-05, 0, -3.223162E-06, -3.273524E-06
 71993691, 0.004260922, 0.004260922, -0.0006276644, -0.0006276644, -0.0006276644, 0, -3.223212E-06, -3.273575E-06
 72093651, 0.003582075, 0.003582075, -0.001187749, -0.001187749, -0.001187749, 0, -3.223281E-06, -3.273645E-06
 72193611, 0.003129151, 0.003129151, -0.001583588, -0.001583588, -0.001583588, 0, -3.22334E-06, -3.273705E-06
 72294404, 0.00258678, 0.00258678, -0.001916212, -0.001916212, -0.001916212, 0, -3.223408E-06, -3.273774E-06
 72394364, 0.002228284, 0.002228284, -0.002188241, -0.002188241, -0.002188241, 0, -3.22346E-06, -3.273826E-06
 72494324, 0.001799106, 0.001799106, -0.002360923, -0.002360923, -0.002360923, 0, -3.223524E-06, -3.273891E-06
 72594284, 0.001527663, 0.001527663, -0.002449711, -0.002449711, -0.002449711, 0, -3.223596E-06, -3.273964E-06
 72694244, 0.001206025, 0.001206025, -0.002462075, -0.002462075, -0.002462075, 0, -3.223665E-06, -3.274035E-06
 72794204, 0.001015178, 0.001015178, -0.002472925, -0.002472925, -0.002472925, 0, -3.223733E-06, -3.274103E-06
 72894164, 0.0007751167, 0.0007751167, -0.002430509, -0.002430509, -0.002430509, 0, -3.223789E-06, -3.274161E-06
 72994124, 0.0006528234, 0.0006528234, -0.002264195, -0.002264195, -0.002264195, 0, -3.223852E-06, -3.274225E-06
 73094084, 0.0004914554, 0.0004914554, -0.002131417, -0.002131417, -0.002131417, 0, -3.223921E-06, -3.274295E-06
 73194044, 0.0004291877, 0.0004291877, -0.00190058, -0.00190058, -0.00190058, 0, -3.22399E-06, -3.274365E-06
 73294004, 0.0003260812, 0.0003260812, -0.001694775, -0.001694775, -0.001694775, 0, -3.224093E-06, -3.274469E-06
 73393964, 0.0003134681, 0.0003134681, -0.001429224, -0.001429224, -0.001429224, 0, -3.224161E-06, -3.274538E-06
 73493924, 0.0002543161, 0.0002543161, -0.001181797, -0.001181797, -0.001181797, 0, -3.224217E-06, -3.274595E-06
 73593884, 0.000289341, 0.000289341, -0.0007898167, -0.0007898167, -0.0007898167, 0, -3.224284E-06, -3.274663E-06
 73693844, 0.0002753706, 0.0002753706, -0.0004882228, -0.0004882228, -0.0004882228, 0, -3.224361E-06, -3.274742E-06
 73793804, 0.0003549014, 0.0003549014, -0.0001287878, -0.0001287878, -0.0001287878, 0, -3.224445E-06, -3.274827E-06
 73893764, 0.0003672209, 0.0003672209, 0.0001905535, 0.0001905535, 0.0001905535, 0, -3.224528E-06, -3.274911E-06
 73993724, 0.000479131, 0.000479131, 0.0005580646, 0.0005580646, 0.0005580646, 0, -3.224601E-06, -3.274986E-06
 74093684, 0.0005088407, 0.0005088407, 0.0008506373, 0.0008506373, 0.0008506373, 0, -3.224674E-06, -3.27506E-06
 74193644, 0.0006447642, 0.0006447642, 0.001278252, 0.001278252, 0.001278252, 0, -3.224749E-06, -3.275135E-06
 74293604, 0.0006948051, 0.0006948051, 0.001642443, 0.001642443, 0.001642443, 0, -3.224855E-06, -3.275244E-06
 74394397, 0.0008700522, 0.0008700522, 0.002085225, 0.002085225, 0.002085225, 0, -3.224947E-06, -3.275337E-06
 74494357, 0.0009383229, 0.0009383229, 0.002446211, 0.002446211, 0.002446211, 0, -3.22506E-06, -3.275452E-06
 74594317, 0.001136009, 0.001136009, 0.002890208, 0.002890208, 0.002890208, 0, -3.225149E-06, -3.275542E-06
 74694277, 0.00121294, 0.00121294, 0.003257978, 0.003257978, 0.003257978, 0, -3.225244E-06, -3.275639E-06
 74794237, 0.001434915, 0.001434915, 0.00368664, 0.00368664, 0.00368664, 0, -3.225329E-06, -3.275725E-06
 74894197, 0.001514187, 0.001514187, 0.004039958, 0.004039958, 0.004039958, 0, -3.225434E-06, -3.275831E-06
 74994157, 0.001758533, 0.001758533, 0.004551884, 0.004551884, 0.004551884, 0, -3.225524E-06, -3.275923E-06
 75094117, 0.001849169, 0.001849169, 0.004934576, 0.004934576, 0.004934576, 0, -3.225625E-06, -3.276025E-06
 75194077, 0.002126136, 0.002126136, 0.005465857, 0.005465857, 0.005465857, 0, -3.225732E-06, -3.276134E-06
 75294037, 0.002234494, 0.002234494, 0.005891628, 0.005891628, 0.005891628, 0, -3.225817E-06, -3.27622E-06
 75393997, 0.002545196, 0.002545196, 0.006403862, 0.006403862, 0.006403862, 0, -3.225918E-06, -3.276323E-06
 75493957, 0.002666147, 0.002666147, 0.00676149, 0.00676149, 0.00676149, 0, -3.22604E-06, -3.276447E-06
 75593917, 0.003000624, 0.003000624, 0.007292365, 0.007292365, 0.007292365, 0, -3.226152E-06, -3.276561E-06
 75693877, 0.003116954, 0.003116954, 0.007622841, 0.007622841, 0.007622841, 0, -3.226249E-06, -3.276659E-06
 75793837, 0.003477428, 0.003477428, 0.008209177, 0.008209177, 0.008209177, 0, -3.226359E-06, -3.276771E-06
 75893797, 0.003601689, 0.003601689, 0.008501011, 0.008501011, 0.008501011, 0, -3.226461E-06, -3.276874E-06
 75993757, 0.003984049, 0.003984049, 0.009006745, 0.009006745, 0.009006745, 0, -3.226578E-06, -3.276994E-06
 76093717, 0.004100465, 0.004100465, 0.009306103, 0.009306103, 0.009306103, 0, -3.226683E-06, -3.277099E-06
 76193677, 0.00450409, 0.00450409, 0.009897265, 0.009897265, 0.009897265, 0, -3.226789E-06, -3.277208E-06
 76293637, 0.004629283, 0.004629283, 0.01025133, 0.01025133, 0.01025133, 0, -3.226919E-06, -3.27734E-06
 76394430, 0.005072051, 0.005072051, 0.01081841, 0.01081841, 0.01081841, 0, -3.227045E-06, -3.277468E-06
 76494390, 0.005194697, 0.005194697, 0.01112145, 0.01112145, 0.01112145, 0, -3.227141E-06, -3.277566E-06
 76594350, 0.005649001, 0.005649001, 0.01165497, 0.01165497, 0.01165497, 0, -3.227242E-06, -3.277667E-06
 76694310, 0.005769328, 0.005769328, 0.01197567, 0.01197567, 0.01197567, 0, -3.227338E-06, -3.277765E-06
 76794270, 0.006247608, 0.006247608, 0.01255578, 0.01255578, 0.01255578, 0, -3.227454E-06, -3.277883E-06
 76894230, 0.006362461, 0.006362461, 0.01280669, 0.01280669, 0.01280669, 0, -3.227572E-06, -3.278003E-06
 76994190, 0.007287621, 0.006856304, 0.01174977, 0.01218109, 0.01334931, -0.02349954, -0.03034347, -0.00823519
 77094150, 0.008352301, 0.006960326, 0.009615072, 0.01100705, 0.01354215, -0.01923014, -0.03095366, -0.01953107
 77194110, 0.00922355, 0.007449226, 0.007868207, 0.009642532, 0.01403546, -0.01573641, -0.03276198, -0.0254514
 77294070, 0.009936511, 0.007540557, 0.006438712, 0.008834667, 0.01425608, -0.01287742, -0.0300947, -0.02807418
 77394030, 0.01051994, 0.008057821, 0.005268929, 0.007731049, 0.01485896, -0.01053786, -0.03329238, -0.02956346
 77493990, 0.01099737, 0.008147183, 0.004311671, 0.007161861, 0.01512582, -0.008623342, -0.03147328, -0.0304894
 77593950, 0.01138807, 0.00870137, 0.003528328, 0.006215023, 0.01565386, -0.007056655, -0.03471937, -0.03117981
 77693910, 0.01170778, 0.008781631, 0.002887302, 0.00581345, 0.01585735, -0.005774603, -0.03338845, -0.03209637
 77793870, 0.0119694, 0.009335143, 0.002362737, 0.004996997, 0.01652037, -0.004725474, -0.03868657, -0.03364869
 77893830, 0.0121835, 0.009434735, 0.001933475, 0.004682239, 0.01711598, -0.003866951, -0.03953025, -0.03622555
 77993790, 0.0123587, 0.01006857, 0.001582202, 0.00387233, 0.01801395, -0.003164403, -0.04587414, -0.03943618
 78093750, 0.01250206, 0.01020471, 0.001294747, 0.0035921, 0.01852922, -0.002589494, -0.04575311, -0.04249265
 78193710, 0.01261938, 0.01089325, 0.001059518, 0.002785648, 0.0190587, -0.002119035, -0.05105116, -0.04562319
 78293670, 0.01271539, 0.01081877, 0.0008670244, 0.002763645, 0.01512861, -0.001734049, -0.02601317, -0.0425821
 78393630, 0.01279395, 0.01073825, 0.0007095037, 0.002765207, 0.008998953, -0.001419007, -0.002121782, -0.02775025
 78494423, 0.01285824, 0.009291085, 0.0005806013, 0.004147761, 0.001449757, -0.001161203, 0.02784122, -0.007331493
 78594383, 0.01291085, 0.007670462, 0.0004751177, 0.00571551, -0.005341326, -0.0009502354, 0.04515129, 0.01490158
 78694343, 0.01295391, 0.004784537, 0.0003887984, 0.008558168, -0.01102809, -0.0007775969, 0.06367902, 0.03508696
 78794303, 0.01298914, 0.002046372, 0.0003181616, 0.01126092, -0.01395308, -0.0006363232, 0.06695276, 0.05029224
 78894263, 0.01301797, -0.001351402, 0.0002603581, 0.01462973, -0.01544278, -0.0005207161, 0.07435333, 0.0605585
 78994223, 0.01304156, -0.004254598, 0.0002130562, 0.01750921, -0.01504279, -0.0004261125, 0.07326522, 0.06718932
 79094183, 0.01306086, -0.007768913, 0.0001743482, 0.02100413, -0.01420991, -0.0003486964, 0.08079665, 0.07237479
 79194143, 0.01307666, -0.01054489, 0.0001426727, 0.02376422, -0.01193484, -0.0002853453, 0.07768971, 0.07584147
 79294103, 0.01308959, -0.01388421, 0.0001167519, 0.02709055, -0.009754566, -0.0002335038, 0.08415076, 0.07860316
 79394063, 0.01310017, -0.01631895, 9.554041E-05, 0.02951466, -0.00648842, -0.0001910808, 0.07965467, 0.08021353
 79494023, 0.01310883, -0.0189875, 7.818265E-05, 0.03217451, -0.003621095, -0.0001563653, 0.08362264, 0.08112295
 79593983, 0.01311591, -0.02071806, 6.397843E-05, 0.03389795, -3.173259E-05, -0.0001279569, 0.07802325, 0.0818836
 79693943, 0.01312171, -0.02283351, 5.235482E-05, 0.03600757, 0.003173735, -0.0001047096, 0.08069769, 0.0811144
 79793903, 0.01312645, -0.0239427, 4.2843E-05, 0.03711199, 0.006945611, -8.5686E-05, 0.07363059, 0.07943243
