Time,PSCN_TPN,PSCN_PN,PSCN_DVN,PSCN_TVN,PSCN_VN,PSCN_DAN,PSCN_TAN,PSCN_AN
 70194411, -0.0130842, -0.0130842, -0.01658694, -0.01658694, -0.01658694, 0, -5.455636E-06, -5.540881E-06
 70294371, -0.01273364, -0.01273364, -0.01626712, -0.01626712, -0.01626712, 0, -5.455584E-06, -5.540827E-06
 70394331, -0.01300043, -0.01300043, -0.01636887, -0.01636887, -0.01636887, 0, -5.45553E-06, -5.540774E-06
 70494291, -0.01264078, -0.01264078, -0.01577515, -0.01577515, -0.01577515, 0, -5.455492E-06, -5.540735E-06
 70594251, -0.01285142, -0.01285142, -0.01566449, -0.01566449, -0.01566449, 0, -5.455477E-06, -5.540719E-06
 70694211, -0.0124003, -0.0124003, -0.01455406, -0.01455406, -0.01455406, 0, -5.455461E-06, -5.540703E-06
 70794171, -0.01244691, -0.01244691, -0.01397434, -0.01397434, -0.01397434, 0, -5.455441E-06, -5.540682E-06
 70894131, -0.01181225, -0.01181225, -0.01243172, -0.01243172, -0.01243172, 0, -5.455421E-06, -5.540662E-06
 70994091, -0.01162448, -0.01162448, -0.01148139, -0.01148139, -0.01148139, 0, -5.455391E-06, -5.540631E-06
 71094051, -0.01082098, -0.01082098, -0.009727896, -0.009727896, -0.009727896, 0, -5.455362E-06, -5.540601E-06
 71194011, -0.01040381, -0.01040381, -0.008554511, -0.008554511, -0.008554511, 0, -5.455328E-06, -5.540568E-06
 71293971, -0.009469284, -0.009469284, -0.006755725, -0.006755725, -0.006755725, 0, -5.455301E-06, -5.54054E-06
 71393931, -0.008895556, -0.008895556, -0.00553196, -0.00553196, -0.00553196, 0, -5.45527E-06, -5.540508E-06
 71493891, -0.007919889, -0.007919889, -0.004009977, -0.004009977, -0.004009977, 0, -5.455239E-06, -5.540477E-06
 71593851, -0.007272129, -0.007272129, -0.00296728, -0.00296728, -0.00296728, 0, -5.455204E-06, -5.540441E-06
