Time,RATE_RDes,RATE_R,RATE_ROut,RATE_PDes,RATE_P,RATE_POut,RATE_YDes,RATE_Y,RATE_YOut,RATE_ADes,RATE_A,RATE_AOut
 70194411, -0.3148547, 0.01857072, -0.000781552, -0.2594576, 0.01941887, -0.0006675916, 0.0001576713, 0.03902151, -5.805148E-05, -0.006008148, -0.006008148, 0
 70294371, -0.3152666, 0.0165709, -0.0007731831, -0.2589563, 0.01425495, -0.0006429972, 0.000155748, 0.0376317, -5.678361E-05, -0.004577637, -0.004577637, 0
 70394331, -0.3150986, 0.02767201, -0.0008266188, -0.2591609, 0.01770114, -0.0006603532, 0.0001581519, 0.03836809, -5.979935E-05, -0.03757477, -0.03757477, 0
 70494291, -0.3146887, 0.01564044, -0.0007579419, -0.2596592, 0.01577934, -0.0006493707, 0.0001569499, 0.03668903, -6.084116E-05, -0.003051758, -0.003051758, 0
 70594251, -0.3148683, 0.0196949, -0.0007955316, -0.2594411, 0.01520307, -0.0006566709, 0.0001583925, 0.03794802, -5.786039E-05, -0.03576279, -0.03576279, 0
 70694211, -0.3149039, 0.01843034, -0.0007780131, -0.2593977, 0.01676256, -0.0006558693, 0.0001581526, 0.0398041, -5.679287E-05, -0.03824234, -0.03824234, 0
 70794171, -0.3147886, 0.02189086, -0.0008071644, -0.2595379, 0.0150853, -0.0006421247, 0.0001523926, 0.03719592, -5.808266E-05, -0.0213623, -0.0213623, 0
 70894131, -0.3143747, 0.01426609, -0.000764757, -0.2600397, 0.01584407, -0.0006449062, 0.000161278, 0.03866675, -5.825664E-05, -0.1327515, -0.1327515, 0
 70994091, -0.3209446, 0.01794292, -0.0007990925, -0.2671567, 0.01740271, -0.0006667021, 0.0001658443, 0.03847576, -5.964369E-05, -0.002098083, -0.002098083, 0
 71094051, -0.3211222, 0.01835564, -0.0007908856, -0.2669431, 0.0137493, -0.000649045, 0.0001680086, 0.03919579, -5.862613E-05, -0.01068115, -0.01068115, 0
