Time,TERR_Status,TERR_Lat,TERR_Lng,TERR_Spacing,TERR_TerrH,TERR_CHeight,TERR_Pending,TERR_Loaded,TERR_ROfs
 70294371, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002608139, 0, 504, 15
 71293971, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002570553, 0, 504, 15
 72294404, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002624923, 0, 504, 15
 73294004, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002608011, 0, 504, 15
 74293604, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002561407, 0, 504, 15
 75294037, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002529109, 0, 504, 15
 76293637, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002521614, 0, 504, 15
 77294070, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.002527557, 0, 504, 15
 78293670, 2, 33.6412057, 72.9955929, 100, 549.5793, 0.252616, 0, 504, 15
 79294103, 2, 33.6412059, 72.9955927, 100, 549.5798, 2.33459, 0, 504, 15
 80293703, 2, 33.641206, 72.9955926, 100, 549.5801, 5.012024, 0, 504, 15
 81294136, 2, 33.6412061, 72.9955925, 100, 549.5804, 7.150199, 0, 504, 15
 82293736, 2, 33.641206, 72.9955926, 100, 549.5801, 8.672696, 0, 504, 15
 83294169, 2, 33.6412058, 72.9955928, 100, 549.5795, 9.655059, 0, 504, 15
 84293769, 2, 33.6412058, 72.9955929, 100, 549.5793, 10.04772, 0, 504, 15
 85294202, 2, 33.6412058, 72.9955928, 100, 549.5795, 9.992048, 0, 504, 15
 86293802, 2, 33.6412058, 72.9955928, 100, 549.5795, 10.52949, 0, 504, 15
 87294235, 2, 33.6412058, 72.9955928, 100, 549.5795, 12.14429, 0, 504, 15
 88293835, 2, 33.6412058, 72.9955927, 100, 549.5798, 14.6033, 0, 504, 15
 89294268, 2, 33.6412059, 72.9955927, 100, 549.5798, 17.14076, 0, 504, 15
 90293868, 2, 33.6412059, 72.9955926, 100, 549.58, 19.63295, 0, 504, 15
 91294301, 2, 33.6412059, 72.9955926, 100, 549.58, 22.13326, 0, 504, 15
 92293901, 2, 33.6412059, 72.9955926, 100, 549.58, 24.63149, 0, 504, 15
 93294334, 2, 33.6412059, 72.9955927, 100, 549.5798, 27.1752, 0, 504, 15
 94293934, 2, 33.6412059, 72.9955927, 100, 549.5798, 29.65367, 0, 504, 15
 95294367, 2, 33.6412059, 72.9955927, 100, 549.5798, 32.13412, 0, 504, 15
 96293967, 2, 33.6412059, 72.9955927, 100, 549.5798, 34.62482, 0, 504, 15
