Time,VIBE_IMU,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ,VIBE_Clip
 70194411, 0, 0.003012035, 0.002894203, 0.002789045, 0
 70194411, 1, 0.005480602, 0.00566974, 0.005660133, 0
 70294371, 0, 0.00285741, 0.00287146, 0.002878895, 0
 70294371, 1, 0.00567267, 0.005621925, 0.005861506, 0
 70394331, 0, 0.002724432, 0.002652196, 0.002985613, 0
 70394331, 1, 0.00559662, 0.005391743, 0.00520429, 0
 70494291, 0, 0.002701668, 0.002583048, 0.002996512, 0
 70494291, 1, 0.005346534, 0.005682653, 0.005306267, 0
 70594251, 0, 0.002760279, 0.002538064, 0.00299691, 0
 70594251, 1, 0.00576148, 0.005540504, 0.005215675, 0
 70694211, 0, 0.00307277, 0.00291027, 0.003001571, 0
 70694211, 1, 0.00595239, 0.005394462, 0.005396559, 0
 70794171, 0, 0.002884197, 0.002988118, 0.002870204, 0
 70794171, 1, 0.006054521, 0.005526064, 0.005398578, 0
 70894131, 0, 0.002906878, 0.002860083, 0.002976406, 0
 70894131, 1, 0.005477818, 0.005752676, 0.005166722, 0
 70994091, 0, 0.00288286, 0.002956825, 0.003000444, 0
 70994091, 1, 0.005894634, 0.005113524, 0.005540295, 0
 71094051, 0, 0.002732252, 0.002875776, 0.002957546, 0
 71094051, 1, 0.006154506, 0.00521497, 0.005080667, 0
 71194011, 0, 0.002819741, 0.002916632, 0.002779258, 0
 71194011, 1, 0.005597771, 0.005577021, 0.005387515, 0
 71293971, 0, 0.002877897, 0.003025471, 0.002924729, 0
 71293971, 1, 0.005545066, 0.005755449, 0.005641785, 0
 71393931, 0, 0.002700102, 0.003011604, 0.002920658, 0
 71393931, 1, 0.005699529, 0.005896844, 0.005678073, 0
 71493891, 0, 0.002766882, 0.00277971, 0.002774568, 0
 71493891, 1, 0.005605702, 0.005537644, 0.00532737, 0
 71593851, 0, 0.002464083, 0.002644063, 0.002791123, 0
 71593851, 1, 0.005404774, 0.00533034, 0.005649267, 0
 71693811, 0, 0.00259696, 0.002841463, 0.002695762, 0
 71693811, 1, 0.005548983, 0.005411445, 0.005989893, 0
 71793771, 0, 0.002705057, 0.002748529, 0.00277693, 0
 71793771, 1, 0.005684725, 0.005300914, 0.005927599, 0
 71893731, 0, 0.002800763, 0.002847108, 0.002804152, 0
 71893731, 1, 0.005683545, 0.005141503, 0.005822384, 0
 71993691, 0, 0.002700406, 0.002572728, 0.00281825, 0
 71993691, 1, 0.005327069, 0.005381554, 0.00563504, 0
 72093651, 0, 0.002828332, 0.002969289, 0.002763237, 0
 72093651, 1, 0.005426831, 0.005509909, 0.0055565, 0
 72193611, 0, 0.00283252, 0.002767989, 0.002631628, 0
 72193611, 1, 0.005541342, 0.005402382, 0.005485118, 0
 72294404, 0, 0.00271344, 0.002619481, 0.002601044, 0
 72294404, 1, 0.005375487, 0.005406973, 0.005720281, 0
 72394364, 0, 0.002673348, 0.002758394, 0.002702501, 0
 72394364, 1, 0.005394085, 0.005651128, 0.005813668, 0
 72494324, 0, 0.002816762, 0.002987695, 0.002930677, 0
 72494324, 1, 0.006077951, 0.005288783, 0.005848567, 0
 72594284, 0, 0.002843937, 0.002605973, 0.002603012, 0
 72594284, 1, 0.005618284, 0.005548359, 0.006096078, 0
 72694244, 0, 0.002849686, 0.00249416, 0.003121296, 0
 72694244, 1, 0.005767419, 0.005675666, 0.005809317, 0
 72794204, 0, 0.002975815, 0.002605255, 0.002897136, 0
 72794204, 1, 0.005710782, 0.005745798, 0.005511565, 0
 72894164, 0, 0.003184882, 0.00307998, 0.002649305, 0
 72894164, 1, 0.00557225, 0.005892992, 0.006048194, 0
 72994124, 0, 0.002696708, 0.003024301, 0.002674799, 0
 72994124, 1, 0.005253921, 0.005782743, 0.005577078, 0
 73094084, 0, 0.002701307, 0.002848724, 0.002636399, 0
 73094084, 1, 0.005423107, 0.005712299, 0.005624579, 0
 73194044, 0, 0.003009528, 0.002938233, 0.002658496, 0
 73194044, 1, 0.005243492, 0.00558942, 0.005222627, 0
 73294004, 0, 0.002906461, 0.002961276, 0.002670549, 0
 73294004, 1, 0.005272801, 0.00571458, 0.005642308, 0
 73393964, 0, 0.003034574, 0.002678322, 0.00270894, 0
 73393964, 1, 0.005627471, 0.005750245, 0.005814651, 0
 73493924, 0, 0.002973334, 0.002631723, 0.002921481, 0
 73493924, 1, 0.005795652, 0.005544454, 0.005626283, 0
 73593884, 0, 0.002856661, 0.002707091, 0.002831403, 0
 73593884, 1, 0.005463503, 0.005514803, 0.005595066, 0
 73693844, 0, 0.002831408, 0.002944326, 0.002607609, 0
 73693844, 1, 0.00562313, 0.005773508, 0.005364291, 0
 73793804, 0, 0.002704054, 0.002886777, 0.002784617, 0
 73793804, 1, 0.005992647, 0.00551253, 0.005533944, 0
 73893764, 0, 0.002756571, 0.002896993, 0.002882043, 0
