Time,XKF1_C,XKF1_Roll,XKF1_Pitch,XKF1_Yaw,XKF1_VN,XKF1_VE,XKF1_VD,XKF1_dPD,XKF1_PN,XKF1_PE,XKF1_PD,XKF1_GX,XKF1_GY,XKF1_GZ,XKF1_OH
 70194411, 0, 0.06, 0.05, 0.64, -0.01658694, 0.01623262, 7.010328E-05, 5.490101E-05, -0.0130842, 0.01283046, 0.02738639, 0.03, 0.04, 0.02, 558.1
 70194411, 1, 0.06, 0.05, 0.64, -0.01590349, 0.01630542, 0.0002796261, 0.000130088, -0.01287759, 0.01273565, 0.02746588, 0.03, 0.04, 0.01, 558.1
 70294371, 0, 0.06, 0.05, 0.64, -0.01626712, 0.01593992, 8.2371E-05, 5.64041E-05, -0.01273364, 0.01248971, 0.02739186, 0.03, 0.04, 0.02, 558.1
 70294371, 1, 0.06, 0.05, 0.64, -0.01564119, 0.01608925, 0.0002293778, 5.742352E-05, -0.01255973, 0.01245179, 0.02747776, 0.03, 0.04, 0.01, 558.1
 70394331, 0, 0.06, 0.05, 0.64, -0.01636887, 0.0161068, 7.254093E-05, 4.807279E-05, -0.01300043, 0.01275716, 0.0273977, 0.03, 0.04, 0.02, 558.1
 70394331, 1, 0.06, 0.05, 0.64, -0.01590533, 0.01630334, 0.0001354324, -1.285821E-05, -0.01283388, 0.01275893, 0.02748399, 0.03, 0.04, 0.01, 558.1
 70494291, 0, 0.06, 0.05, 0.64, -0.01577515, 0.01554117, 9.009861E-05, 4.578729E-05, -0.01264078, 0.01241298, 0.02740015, 0.03, 0.04, 0.02, 558.1
 70494291, 1, 0.07, 0.05, 0.64, -0.01526746, 0.01567257, 0.0001291417, -4.091126E-05, -0.01249159, 0.01243596, 0.02747513, 0.03, 0.04, 0.01, 558.1
 70594251, 0, 0.06, 0.05, 0.64, -0.01566449, 0.01538697, 9.138029E-05, 4.714888E-05, -0.01285142, 0.01262683, 0.0274054, 0.03, 0.04, 0.02, 558.1
 70594251, 1, 0.07, 0.05, 0.65, -0.01522013, 0.01546215, 7.069727E-05, -8.676319E-05, -0.01269918, 0.01266093, 0.02747317, 0.03, 0.04, 0.01, 558.1
