Time,XKF2_C,XKF2_AX,XKF2_AY,XKF2_AZ,XKF2_VWN,XKF2_VWE,XKF2_MN,XKF2_ME,XKF2_MD,XKF2_MX,XKF2_MY,XKF2_MZ,XKF2_IDX,XKF2_IDY,XKF2_IS
 70194411, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70194411, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70294371, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70294371, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70394331, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70394331, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70494291, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70494291, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70594251, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70594251, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70694211, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70694211, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70794171, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70794171, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70894131, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70894131, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70994091, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 70994091, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71094051, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71094051, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71194011, 0, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71194011, 1, 0, 0, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71293971, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71293971, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71393931, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71393931, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71493891, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71493891, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71593851, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71593851, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71693811, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71693811, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71793771, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71793771, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71893731, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71893731, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71993691, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 71993691, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72093651, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72093651, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72193611, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72193611, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72294404, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72294404, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72394364, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72394364, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72494324, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72494324, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72594284, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72594284, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72694244, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72694244, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72794204, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72794204, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72894164, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72894164, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72994124, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 72994124, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73094084, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73094084, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73194044, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73194044, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73294004, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73294004, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73393964, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73393964, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73493924, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73493924, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73593884, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73593884, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73693844, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73693844, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73793804, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73793804, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73893764, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73893764, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73993724, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 73993724, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74093684, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74093684, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74193644, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74193644, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74293604, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74293604, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74394397, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74394397, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74494357, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74494357, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74594317, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74594317, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74694277, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74694277, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74794237, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74794237, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74894197, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74894197, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74994157, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 74994157, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75094117, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75094117, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75194077, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75194077, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75294037, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75294037, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75393997, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75393997, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75493957, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75493957, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75593917, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75593917, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75693877, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75693877, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75793837, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75793837, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75893797, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75893797, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75993757, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 75993757, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76093717, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76093717, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76193677, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76193677, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76293637, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76293637, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76394430, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76394430, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76494390, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76494390, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76594350, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76594350, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76694310, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76694310, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76794270, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76794270, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76894230, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76894230, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76994190, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 76994190, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77094150, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77094150, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77194110, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77194110, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77294070, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77294070, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77394030, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77394030, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77493990, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77493990, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77593950, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77593950, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77693910, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77693910, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77793870, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77793870, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77893830, 0, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
 77893830, 1, -0.01, 0.01, -0.01, 0, 0, 309, 15, 395, 0, 0, 0, 0, 0, 0
