Time,XKF3_C,XKF3_IVN,XKF3_IVE,XKF3_IVD,XKF3_IPN,XKF3_IPE,XKF3_IPD,XKF3_IMX,XKF3_IMY,XKF3_IMZ,XKF3_IYAW,XKF3_IVT,XKF3_RErr,XKF3_ErSc
 70194411, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 4.755242E-05
 70194411, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 4.666219E-05
 70294371, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 4.659102E-05
 70294371, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 7.116978E-08, 4.612867E-05
 70394331, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 4.659102E-05
 70394331, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 7.116978E-08, 4.612867E-05
 70494291, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 4.535837E-05
 70494291, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 8.414645E-07, 4.479331E-05
 70594251, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 4.535837E-05
 70594251, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 8.414645E-07, 4.479331E-05
 70694211, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 4.122948E-05
 70694211, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 8.414645E-07, 4.055045E-05
 70794171, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 4.122948E-05
 70794171, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 8.414645E-07, 4.055045E-05
 70894131, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 3.357897E-05
 70894131, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 1.478443E-05, 3.299017E-05
 70994091, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 3.357897E-05
 70994091, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 1.478443E-05, 3.299017E-05
 71094051, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 2.480875E-05
 71094051, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 3.114728E-05, 2.428064E-05
 71194011, 0, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 0, 2.480875E-05
 71194011, 1, -0.01, 0.01, 0, -0.01, 0.01, 0, 0, 0, 0, 0.55, 0, 3.114728E-05, 2.428064E-05
 71293971, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.55, 0, 0, 1.71001E-05
 71293971, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.55, 0, 3.832782E-05, 1.628386E-05
 71393931, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.55, 0, 0, 1.71001E-05
 71393931, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 3.832782E-05, 1.628386E-05
 71493891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.55, 0, 0, 1.121853E-05
 71493891, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 3.832782E-05, 1.065377E-05
 71593851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 0, 1.121853E-05
 71593851, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 3.832782E-05, 1.065377E-05
 71693811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 0, 7.424765E-06
 71693811, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 3.832782E-05, 7.102492E-06
 71793771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 0, 7.424765E-06
 71793771, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 3.832782E-05, 7.102492E-06
 71893731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 0, 5.125354E-06
 71893731, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 3.832782E-05, 5.064189E-06
 71993691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 0, 5.125354E-06
 71993691, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 3.832782E-05, 5.064189E-06
 72093651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 0, 3.682862E-06
 72093651, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 3.832782E-05, 3.628481E-06
 72193611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 0, 3.682862E-06
 72193611, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.54, 0, 3.832782E-05, 3.628481E-06
 72294404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 0, 2.777644E-06
 72294404, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 3.832782E-05, 2.701034E-06
 72394364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 0, 2.777644E-06
 72394364, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 3.832782E-05, 2.701034E-06
 72494324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 0, 2.148298E-06
 72494324, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 3.998603E-05, 2.114524E-06
 72594284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 0, 2.148298E-06
 72594284, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 3.998603E-05, 2.114524E-06
 72694244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 0, 1.685919E-06
 72694244, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 4.127185E-05, 1.658138E-06
 72794204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 0, 1.685919E-06
 72794204, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 4.127185E-05, 1.658138E-06
 72894164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 0, 1.32775E-06
 72894164, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.53, 0, 4.226301E-05, 1.300761E-06
 72994124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 0, 1.32775E-06
 72994124, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 4.226301E-05, 1.300761E-06
 73094084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 0, 1.043312E-06
 73094084, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 4.226301E-05, 1.02423E-06
 73194044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 0, 1.043312E-06
 73194044, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 4.226301E-05, 1.02423E-06
 73294004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 0, 8.24016E-07
 73294004, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 4.306387E-05, 8.180731E-07
 73393964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 0, 8.24016E-07
 73393964, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 4.306387E-05, 8.180731E-07
 73493924, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 0, 6.706244E-07
 73493924, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.51, 0, 4.384749E-05, 6.76007E-07
 73593884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.52, 0, 0, 6.706244E-07
 73593884, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.51, 0, 4.406286E-05, 6.76007E-07
 73693844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.51, 0, 0, 5.990722E-07
 73693844, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.51, 0, 4.57066E-05, 6.361827E-07
