Time,XKF4_C,XKF4_SV,XKF4_SP,XKF4_SH,XKF4_SM,XKF4_SVT,XKF4_errRP,XKF4_OFN,XKF4_OFE,XKF4_FS,XKF4_TS,XKF4_SS,XKF4_GPS,XKF4_PI
 70194411, 0, 0, 0, 0, 0, 0, 0.005931036, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 70194411, 1, 0, 0, 0, 0, 0, 0.005904844, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 70294371, 0, 0, 0, 0, 0, 0, 0.005851144, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 70294371, 1, 0, 0, 0, 0, 0, 0.005820158, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 70394331, 0, 0, 0, 0, 0, 0, 0.005931603, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 70394331, 1, 0, 0, 0, 0, 0, 0.005900212, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 70494291, 0, 0, 0, 0, 0, 0, 0.005857687, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 70494291, 1, 0, 0, 0, 0, 0, 0.005827133, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 70594251, 0, 0, 0, 0, 0, 0, 0.005938123, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 70594251, 1, 0, 0, 0, 0, 0, 0.005907136, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 70694211, 0, 0, 0, 0, 0, 0, 0.005881744, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 70694211, 1, 0, 0, 0, 0, 0, 0.005855347, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 70794171, 0, 0, 0, 0, 0, 0, 0.0059621, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 70794171, 1, 0, 0, 0, 0, 0, 0.005933095, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 70894131, 0, 0, 0, 0, 0, 0, 0.005934948, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 70894131, 1, 0, 0, 0, 0, 0, 0.005907711, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 70994091, 0, 0, 0, 0, 0, 0, 0.006014378, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 70994091, 1, 0, 0, 0, 0, 0, 0.005987475, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 71094051, 0, 0, 0, 0, 0, 0, 0.006019443, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 71094051, 1, 0, 0, 0, 0, 0, 0.005993851, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 71194011, 0, 0, 0, 0, 0, 0, 0.006099577, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 71194011, 1, 0, 0, 0, 0, 0, 0.006073312, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 71293971, 0, 0, 0, 0, 0, 0, 0.006130979, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 71293971, 1, 0, 0, 0, 0, 0, 0.006104927, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 71393931, 0, 0, 0, 0, 0, 0, 0.006210782, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 71393931, 1, 0, 0, 0, 0, 0, 0.006175967, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 71493891, 0, 0, 0, 0, 0, 0, 0.006258526, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
 71493891, 1, 0, 0, 0, 0, 0, 0.006225754, 0.02821827, -0.02734508, 0, 48, 113471, 0, 0
 71593851, 0, 0, 0, 0, 0, 0, 0.006337801, 0.02741406, -0.02685948, 0, 48, 113471, 0, 0
