Time,XKF5_C,XKF5_NI,XKF5_FIX,XKF5_FIY,XKF5_AFI,XKF5_HAGL,XKF5_offset,XKF5_RI,XKF5_rng,XKF5_Herr,XKF5_eAng,XKF5_eVel,XKF5_ePos
 70194411, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001044514, 0.001040161, 0.001543897
 70294371, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001315201, 0.0002157663, 0.0002397547
 70394331, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001125254, 0.00107302, 0.001657075
 70494291, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001405294, 0.0006367791, 0.0001737755
 70594251, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001207607, 0.000797336, 0.001663855
 70694211, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001373987, 0.001348268, 0.0001892968
 70794171, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001183266, 0.0003520474, 0.001586546
 70894131, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001281407, 0.001854449, 0.0001572054
 70994091, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001149532, 6.693718E-05, 0.001559306
 71094051, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001200234, 0.001796572, 6.992241E-05
 71194011, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001125374, 0.000166165, 0.001711513
 71293971, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001146577, 0.001164236, 0.0005553827
 71393931, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001106607, 0.0006229521, 0.002074573
 71493891, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001113202, 0.0001865981, 0.001257394
 71593851, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001086103, 0.001303152, 0.002612376
 71693811, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001089131, 0.0008600954, 0.002052742
 71793771, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001078058, 0.001990833, 0.003197364
 71893731, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001078693, 0.001742964, 0.002790748
 71993691, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001069458, 0.002541257, 0.003707826
 72093651, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001067556, 0.002394832, 0.003386565
 72193611, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001059692, 0.002915571, 0.004083687
 72294404, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001058213, 0.002784593, 0.00377891
 72394364, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.000105529, 0.003101277, 0.004282635
 72494324, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001045598, 0.00297933, 0.003987354
 72594284, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001038691, 0.003155091, 0.004341286
 72694244, 0, 0, 0, 0, 0, 0.1, 0.13, 0, 0, 0.5, 0.0001036696, 0.003015388, 0.004033873
