Time,XKTV_C,XKTV_TVS,XKTV_TVD
 70504287, 1, 3.407231E-05, 3.407221E-05
 70576758, 0, 3.514217E-05, 3.514208E-05
 71006586, 1, 3.596913E-05, 3.596903E-05
 71089053, 0, 3.62337E-05, 3.62336E-05
 71508885, 1, 3.900603E-05, 3.900592E-05
 71598849, 0, 4.029326E-05, 4.029316E-05
 72011184, 1, 4.354368E-05, 4.354357E-05
 72111144, 0, 4.500621E-05, 4.500612E-05
 72516815, 1, 4.866716E-05, 4.866706E-05
 72621773, 0, 5.023822E-05, 5.023813E-05
 73019114, 1, 5.413872E-05, 5.413864E-05
 73134068, 0, 5.590218E-05, 5.590211E-05
 73531409, 1, 5.988824E-05, 5.988818E-05
 73646363, 0, 6.189173E-05, 6.189168E-05
 74033708, 1, 6.592798E-05, 6.592795E-05
 74158658, 0, 6.821591E-05, 6.821589E-05
 74539339, 1, 7.230933E-05, 7.230933E-05
 74669287, 0, 7.477971E-05, 7.477974E-05
 75041638, 1, 7.88142E-05, 7.881426E-05
 75181582, 0, 8.159551E-05, 8.159562E-05
 75543937, 1, 8.549714E-05, 8.549727E-05
 75693877, 0, 8.836576E-05, 8.836592E-05
 76051234, 1, 9.201874E-05, 9.201895E-05
 76206172, 0, 9.52628E-05, 9.526307E-05
 76564362, 1, 9.870253E-05, 9.870283E-05
 76719300, 0, 0.0001014598, 0.0001014601
 77076657, 1, 0.0001043404, 0.0001043408
 77231595, 0, 0.000106828, 0.0001068284
 77578956, 1, 0.0001101107, 0.0001101112
 77741391, 0, 0.0001125402, 0.0001125407
 78081255, 1, 0.000113769, 0.0001137695
 78253686, 0, 0.0001156293, 0.0001156297
 78586886, 1, 0.0001170536, 0.0001170564
 78764315, 0, 0.0001176926, 0.0001176928
 79089185, 1, 0.0001148147, 0.0001148148
 79276610, 0, 0.0001152248, 0.0001152261
 79591484, 1, 0.0001308109, 0.0001308141
 79788905, 0, 0.000130901, 0.0001309051
 80103779, 1, 0.0001291396, 0.0001291436
 80301200, 0, 0.0001287182, 0.0001287219
 80611909, 1, 0.0001203071, 0.00012031
 80811829, 0, 0.0001167639, 0.0001167665
 81124204, 1, 0.000111624, 0.0001116259
 81324124, 0, 0.0001075669, 0.0001075686
 81626503, 1, 9.684799E-05, 9.684927E-05
 81836419, 0, 9.407757E-05, 9.40788E-05
 82128802, 1, 9.0934E-05, 9.093463E-05
 82348714, 0, 8.962022E-05, 8.962059E-05
 82634433, 1, 8.442666E-05, 8.442693E-05
 82859343, 0, 8.456638E-05, 8.456649E-05
 83136732, 1, 8.422403E-05, 8.422396E-05
 83371638, 0, 8.521035E-05, 8.52103E-05
 83649027, 1, 8.343384E-05, 8.343376E-05
 83881434, 0, 8.525028E-05, 8.525019E-05
 84151326, 1, 8.598051E-05, 8.598041E-05
 84393729, 0, 8.829622E-05, 8.82963E-05
 84653625, 1, 8.770468E-05, 8.770485E-05
 84904358, 0, 9.04675E-05, 9.046777E-05
 85159256, 1, 9.147327E-05, 9.147352E-05
 85416653, 0, 9.267309E-05, 9.267344E-05
