Time,XKY0_C,XKY0_YC,XKY0_YCS,XKY0_Y0,XKY0_Y1,XKY0_Y2,XKY0_Y3,XKY0_Y4,XKY0_W0,XKY0_W1,XKY0_W2,XKY0_W3,XKY0_W4
 70294371, 0, 249.4105, 14.93501, 216.0031, 288.0031, 0.003105244, 72.00311, 144.0031, 0.2, 0.2, 0.2, 0.2, 0.2
 70294371, 1, 251.4768, 15.01794, 216.0033, 288.0033, 0.00332289, 72.00332, 144.0033, 0.2, 0.2, 0.2, 0.2, 0.2
 70394331, 0, 305.39, 14.45166, 216.0068, 288.0067, 0.006754799, 72.00676, 144.0068, 0.2, 0.2, 0.2, 0.2, 0.2
 70394331, 1, 246.0271, 14.80896, 216.0071, 288.0071, 0.007145245, 72.00715, 144.0071, 0.2, 0.2, 0.2, 0.2, 0.2
 70494291, 0, 255.4315, 14.90308, 216.0106, 288.0106, 0.01059245, 72.0106, 144.0106, 0.2, 0.2, 0.2, 0.2, 0.2
 70494291, 1, 261.1299, 14.70335, 216.011, 288.011, 0.01098455, 72.01099, 144.011, 0.2, 0.2, 0.2, 0.2, 0.2
 70594251, 0, 265.3006, 14.5802, 216.0145, 288.0145, 0.0145342, 72.01453, 144.0145, 0.2, 0.2, 0.2, 0.2, 0.2
 70594251, 1, 144.9309, 14.26857, 216.015, 288.015, 0.01496053, 72.01496, 144.015, 0.2, 0.2, 0.2, 0.2, 0.2
 70694211, 0, 309.7612, 14.55432, 216.0182, 288.0182, 0.01817782, 72.01818, 144.0182, 0.2, 0.2, 0.2, 0.2, 0.2
 70694211, 1, 119.6494, 14.62677, 216.0193, 288.0193, 0.01931575, 72.01932, 144.0193, 0.2, 0.2, 0.2, 0.2, 0.2
 70794171, 0, 320.6862, 14.90637, 216.0218, 288.0218, 0.02180036, 72.0218, 144.0218, 0.2, 0.2, 0.2, 0.2, 0.2
 70794171, 1, 80.53257, 14.31229, 216.0224, 288.0224, 0.02235962, 72.02235, 144.0224, 0.2, 0.2, 0.2, 0.2, 0.2
 70894131, 0, 326.2549, 14.94928, 216.0255, 288.0255, 0.02554552, 72.02554, 144.0255, 0.2, 0.2, 0.2, 0.2, 0.2
 70894131, 1, 60.47939, 14.34932, 216.026, 288.026, 0.02597927, 72.02598, 144.026, 0.2, 0.2, 0.2, 0.2, 0.2
 70994091, 0, 323.662, 15.02455, 216.0293, 288.0293, 0.02930165, 72.0293, 144.0293, 0.2, 0.2, 0.2, 0.2, 0.2
 70994091, 1, 87.75591, 14.41851, 216.0292, 288.0292, 0.02922896, 72.02923, 144.0292, 0.2, 0.2, 0.2, 0.2, 0.2
 71094051, 0, 317.2921, 14.78227, 216.0332, 288.0331, 0.03315114, 72.03315, 144.0332, 0.2, 0.2, 0.2, 0.2, 0.2
 71094051, 1, 61.29623, 14.33826, 216.033, 288.033, 0.03300237, 72.033, 144.033, 0.2, 0.2, 0.2, 0.2, 0.2
 71194011, 0, 320.0471, 14.88147, 216.037, 288.037, 0.03704504, 72.03704, 144.037, 0.2, 0.2, 0.2, 0.2, 0.2
 71194011, 1, 65.96085, 14.29052, 216.0369, 288.0369, 0.03693736, 72.03694, 144.0369, 0.2, 0.2, 0.2, 0.2, 0.2
 71293971, 0, 320.7649, 14.90839, 216.041, 288.041, 0.04099508, 72.041, 144.041, 0.2, 0.2, 0.2, 0.2, 0.2
 71293971, 1, 59.01169, 14.37125, 216.0403, 288.0403, 0.04034868, 72.04034, 144.0403, 0.2, 0.2, 0.2, 0.2, 0.2
 71393931, 0, 321.4608, 14.93518, 216.0449, 288.0449, 0.04490693, 72.04491, 144.0449, 0.2, 0.2, 0.2, 0.2, 0.2
 71393931, 1, 39.74304, 14.8923, 216.044, 288.044, 0.04397849, 72.04398, 144.044, 0.2, 0.2, 0.2, 0.2, 0.2
 71493891, 0, 323.3884, 15.01208, 216.0488, 288.0488, 0.04876603, 72.04876, 144.0488, 0.2, 0.2, 0.2, 0.2, 0.2
 71493891, 1, 40.50889, 14.86357, 216.0477, 288.0477, 0.04767117, 72.04767, 144.0477, 0.2, 0.2, 0.2, 0.2, 0.2
 71593851, 0, 324.0316, 15.03858, 216.0527, 288.0527, 0.05267414, 72.05267, 144.0527, 0.2, 0.2, 0.2, 0.2, 0.2
 71593851, 1, 35.11506, 15.00079, 216.0517, 288.0516, 0.05165629, 72.05166, 144.0517, 0.2, 0.2, 0.2, 0.2, 0.2
 71693811, 0, 326.7673, 14.92983, 216.0567, 288.0567, 0.05667511, 72.05667, 144.0567, 0.2, 0.2, 0.2, 0.2, 0.2
 71693811, 1, 25.15811, 14.64775, 216.0557, 288.0557, 0.05566308, 72.05566, 144.0556, 0.2, 0.2, 0.2, 0.2, 0.2
 71793771, 0, 328.7778, 14.85392, 216.0604, 288.0604, 0.06041586, 72.06042, 144.0604, 0.2, 0.2, 0.2, 0.2, 0.2
 71793771, 1, 17.78233, 14.45827, 216.0594, 288.0594, 0.05945256, 72.05945, 144.0594, 0.2, 0.2, 0.2, 0.2, 0.2
 71893731, 0, 328.1946, 14.87539, 216.0643, 288.0643, 0.06434107, 72.06434, 144.0643, 0.2, 0.2, 0.2, 0.2, 0.2
 71893731, 1, 10.89083, 14.33865, 216.0638, 288.0638, 0.06376005, 72.06376, 144.0638, 0.2, 0.2, 0.2, 0.2, 0.2
 71993691, 0, 327.7091, 14.89384, 216.0681, 288.0681, 0.06810859, 72.06811, 144.0681, 0.2, 0.2, 0.2, 0.2, 0.2
 71993691, 1, 7.989854, 14.30549, 216.0672, 288.0672, 0.06722356, 72.06722, 144.0672, 0.2, 0.2, 0.2, 0.2, 0.2
 72093651, 0, 327.9532, 14.88443, 216.072, 288.072, 0.07203053, 72.07204, 144.072, 0.2, 0.2, 0.2, 0.2, 0.2
 72093651, 1, 8.492878, 14.31011, 216.0708, 288.0707, 0.07075807, 72.07076, 144.0708, 0.2, 0.2, 0.2, 0.2, 0.2
 72193611, 0, 332.181, 14.73508, 216.076, 288.076, 0.07605757, 72.07606, 144.076, 0.2, 0.2, 0.2, 0.2, 0.2
 72193611, 1, 7.040949, 14.29647, 216.0741, 288.0741, 0.07412525, 72.07412, 144.0741, 0.2, 0.2, 0.2, 0.2, 0.2
 72294404, 0, 332.4407, 14.72628, 216.0799, 288.0799, 0.07991192, 72.07992, 144.0799, 0.2, 0.2, 0.2, 0.2, 0.2
 72294404, 1, 353.0013, 14.29703, 216.0788, 288.0788, 0.07882313, 72.07882, 144.0788, 0.2, 0.2, 0.2, 0.2, 0.2
 72394364, 0, 331.1728, 14.76887, 216.084, 288.084, 0.08397326, 72.08397, 144.084, 0.2, 0.2, 0.2, 0.2, 0.2
 72394364, 1, 350.8857, 14.31809, 216.0823, 288.0823, 0.082317, 72.08232, 144.0823, 0.2, 0.2, 0.2, 0.2, 0.2
 72494324, 0, 329.0727, 14.84277, 216.0879, 288.0879, 0.08792434, 72.08793, 144.0879, 0.2, 0.2, 0.2, 0.2, 0.2
