flight_folder,label,csv_path,hz,anchor_idx,anchor_time,anchor_source,window_sec,window_rows
2022-07-26 05-49-12 (No Failure),NoFailure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 05-49-12 (No Failure)/2022-07-26 05-49-12 (No Failure).csv,28.58286171611502,63495,583811382.0,no_failure_middle,3.0,86
2022-07-26 06-25-08 (RC Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 06-25-08 (RC Failure)/2022-07-26 06-25-08 (RC Failure).csv,28.58286171611502,57250,191194325.0,failure_status_or_metadata,3.0,86
2022-07-26 06-46-30 (GPS Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 06-46-30 (GPS Failure)/2022-07-26 06-46-30 (GPS Failure).csv,28.58286171611502,46240,267192247.0,failure_status_or_metadata,3.0,86
2022-07-26 17-02-53 (Accelerometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 17-02-53 (Accelerometer Failure)/2022-07-26 17-02-53 (Accelerometer Failure).csv,40.016006402561025,52396,170989910.0,failure_status_or_metadata,3.0,120
2022-07-26 18-11-42 (Gyro Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 18-11-42 (Gyro Failure)/2022-07-26 18-11-42 (Gyro Failure).csv,28.58286171611502,46947,182280392.0,failure_status_or_metadata,3.0,86
2022-07-26 18-26-44 (Compass Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 18-26-44 (Compass Failure)/2022-07-26 18-26-44 (Compass Failure).csv,28.58286171611502,49959,278496890.0,failure_status_or_metadata,3.0,86
2022-07-26 18-37-31 (Barometer Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 18-37-31 (Barometer Failure)/2022-07-26 18-37-31 (Barometer Failure).csv,28.58286171611502,51431,241409231.0,failure_status_or_metadata,3.0,86
2022-07-26 20-33-38 (No Failure),NoFailure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 20-33-38 (No Failure)/2022-07-26 20-33-38 (No Failure).csv,28.58286171611502,45742,266794073.0,no_failure_middle,3.0,86
2022-07-26 20-43-46 (RC Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 20-43-46 (RC Failure)/2022-07-26 20-43-46 (RC Failure).csv,50.02000800320128,47702,880246927.0,failure_status_or_metadata,3.0,150
2022-07-26 20-51-21 (GPS Failure),Failure,/home/liubo/software_falut/datasets/BASiC/Processed Data/2022-07-26 20-51-21 (GPS Failure)/2022-07-26 20-51-21 (GPS Failure).csv,28.58286171611502,55308,1353998184.0,failure_status_or_metadata,3.0,86
